model,term,estimate,std.error,statistic,p.value
"OLS: excess_1d ~ rev + guide (n=19, R2=0.17)",(Intercept),-1.6233070730969639,3.29802904686728,-0.4922052080283844,0.6292594288789295
"OLS: excess_1d ~ rev + guide (n=19, R2=0.17)",rev_surprise,-0.44097798307401126,1.8314006807847623,-0.24078727702834013,0.8127782554192554
"OLS: excess_1d ~ rev + guide (n=19, R2=0.17)",guide_vs_street,0.8651781705154159,1.0308340145482051,0.8392992065697473,0.4136663916659603
"OLS: + nights (n=16, R2=0.18)",(Intercept),-0.6290472657466697,3.14893864021336,-0.19976485337423022,0.8450096622470066
"OLS: + nights (n=16, R2=0.18)",rev_surprise,-0.4743829317885828,2.0712460973089906,-0.22903262553151543,0.8227004706277179
"OLS: + nights (n=16, R2=0.18)",guide_vs_street,0.8370029666078928,0.9146920090048642,0.9150653535483567,0.37817842039553473
"OLS: + nights (n=16, R2=0.18)",nights_surprise,1.7017386270072277,1.3042198085539725,1.3047943420626285,0.21643081160409292
"Logit: P(up day) (n=19, McFadden R2=0.24)",(Intercept),-1.2873087574556685,0.9927944135234259,-1.2966518948137629,0.1947509881028403
"Logit: P(up day) (n=19, McFadden R2=0.24)",rev_surprise,0.008332856336663563,0.49192249813765,0.016939368230179747,0.9864849859604439
"Logit: P(up day) (n=19, McFadden R2=0.24)",guide_vs_street,0.41767448690151754,0.24706825361698398,1.690522682647099,0.09092800250483214
