acquired_at_utc,accession,form,filing_date,report_date,bytes,sha256,local_path,http_status,classification,license_tier
2026-09-05T19:42:51+00:00,0001559720-26-000027,10-Q,2026-08-06,2026-06-30,1391182,1369d236b787c4c5bb7d46fddaee0979cfc416492f5e88e009a311008b6ef0a7,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-26-000027/abnb-20260630.htm,200,ok,public_domain
2026-09-05T19:42:52+00:00,0001559720-26-000014,10-Q,2026-05-07,2026-03-31,1123474,e50c6471c5017ad661ad452dbc7fd1a09e6bbb66689a62449e65bbfae556b70f,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-26-000014/abnb-20260331.htm,200,ok,public_domain
2026-09-05T19:42:53+00:00,0001559720-26-000004,10-K,2026-02-12,2025-12-31,2131290,61bac47250511a2263631ebd99e92b1d42caf305d27ba9d9fbfa7b11aa199c02,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-26-000004/abnb-20251231.htm,200,ok,public_domain
2026-09-05T19:42:54+00:00,0001559720-25-000030,10-Q,2025-11-06,2025-09-30,1478287,d035ac6f9fdd9d483b74398451dfd35021aea217138d881606aeb498baf00496,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-25-000030/abnb-20250930.htm,200,ok,public_domain
2026-09-05T19:42:55+00:00,0001559720-25-000025,10-Q,2025-08-06,2025-06-30,1427753,8f76a837c074468880bcce43e0b03a37a76bffff86c19808f7926bcd4b1962e8,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-25-000025/abnb-20250630.htm,200,ok,public_domain
2026-09-05T19:42:58+00:00,0001559720-25-000017,10-Q,2025-05-01,2025-03-31,1158219,874dc6235d6322ff411a97788ba03084c5b69edc7a43851e5805cf2e2e6c1a41,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-25-000017/abnb-20250331.htm,200,ok,public_domain
2026-09-05T19:43:00+00:00,0001559720-25-000010,10-K,2025-02-13,2024-12-31,2185059,8afa6bf1c30f773575c571bc44a517ff944ba45b6af4cccd322523dc81460851,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-25-000010/abnb-20241231.htm,200,ok,public_domain
2026-09-05T19:43:05+00:00,0001559720-24-000032,10-Q,2024-11-07,2024-09-30,1377194,ac4f77883c6bfd014ef7553f40cb5839fa2fcf43baeccf782e4a5f6027e54da5,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-24-000032/abnb-20240930.htm,200,ok,public_domain
2026-09-05T19:43:09+00:00,0001559720-24-000024,10-Q,2024-08-06,2024-06-30,1345670,a3f83411bbc153327c69249b3689a5b97c1814c890560b702b2952520c10aa72,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-24-000024/abnb-20240630.htm,200,ok,public_domain
2026-09-05T19:43:10+00:00,0001559720-24-000017,10-Q,2024-05-08,2024-03-31,1102762,454db572d5b9321c004e5855cffa2371b31bab4e669cd6f3c2afd13d4b91ad0f,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-24-000017/abnb-20240331.htm,200,ok,public_domain
2026-09-05T19:43:11+00:00,0001559720-24-000006,10-K,2024-02-16,2023-12-31,2482453,b434c9931e87ae03b06e26fdc4cf9d73704b804c3719dfb76fa627dbbdc9cbbd,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-24-000006/abnb-20231231.htm,200,ok,public_domain
2026-09-05T19:43:12+00:00,0001559720-23-000020,10-Q,2023-11-01,2023-09-30,1493405,f9881dd030f9abe637318f948d0aa2581c89cf10fd9af5e227e2311003f9aa73,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-23-000020/abnb-20230930.htm,200,ok,public_domain
2026-09-05T19:43:13+00:00,0001559720-23-000015,10-Q,2023-08-03,2023-06-30,1446994,3380c30d5681ffd4670e586f5e622426587d0708f13a0ad5e0a477bfab8bf252,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-23-000015/abnb-20230630.htm,200,ok,public_domain
2026-09-05T19:43:14+00:00,0001559720-23-000010,10-Q,2023-05-09,2023-03-31,1483959,70ce8cc3cdf68dc243a1fd5995fc6837a3beb19d75b1bdf2f1d089f8e6d99e92,raw_expansion/v2_2026-09-05/sec_edgar/filings/0001559720-23-000010/abnb-20230331.htm,200,ok,public_domain
