quarter,nights_m,nights_yoy_pct,gbv_busd,gbv_yoy_pct,adr_usd,implied_adr_usd,adr_yoy_pct,revenue_musd,revenue_yoy_pct,adj_ebitda_musd,adj_ebitda_margin_pct,take_rate_pct,bea_accom_nominal_yoy_pct,bea_accom_real_yoy_pct,bea_accom_price_yoy_pct,bea_hotels_nominal_yoy_pct,bea_hotels_real_yoy_pct,bea_hotels_price_yoy_pct,bea_inbound_foreign_travel_nominal_yoy_pct,bea_outbound_us_travel_nominal_yoy_pct,cpi_lodging_yoy_pct,cpi_airfare_yoy_pct,cpi_all_yoy_pct,adr_real_yoy_pct,share_gap_nights_vs_bea_real_pct
2021Q1,64.4,13.0,10.3,52.0,159.82,159.94,,887.0,5.0,-59.0,-7.0,8.6,-38.8,-31.6,-10.4,-38.7,-29.1,-12.9,-75.8,-70.0,-11.7,-21.2,1.9,,44.6
2021Q2,83.1,197.0,13.4,320.0,161.45,161.25,,1335.0,299.0,217.0,16.0,10.0,187.6,161.8,8.9,170.6,142.0,11.7,314.5,397.4,10.6,20.2,4.8,,35.2
2021Q3,79.7,29.0,11.9,48.0,149.15,149.31,,2237.0,67.0,1101.0,49.0,18.8,77.0,51.3,15.3,70.7,40.8,21.3,223.1,471.2,19.2,8.8,5.2,,-22.3
2021Q4,73.4,59.0,11.3,91.0,153.61,153.95,,1532.0,78.0,333.0,22.0,13.6,83.3,51.9,18.8,80.8,43.0,26.2,238.4,211.1,23.1,-2.7,6.8,,7.1
2022Q1,102.1,59.0,17.2,67.0,168.07,168.46,5.2,1509.0,70.0,229.0,15.0,8.8,71.0,41.1,19.7,67.4,31.5,27.1,210.4,204.1,23.4,13.3,8.0,-14.7,17.9
2022Q2,103.7,25.0,17.0,27.0,163.74,163.93,1.4,2104.0,58.0,711.0,34.0,12.4,52.2,32.9,13.3,45.9,23.3,18.5,206.2,190.9,16.2,35.2,8.6,-12.7,-7.9
2022Q3,99.7,25.0,15.6,31.0,156.44,156.47,4.9,2884.0,29.0,1457.0,51.0,18.5,26.4,22.9,2.1,25.9,22.2,3.0,199.9,106.5,2.8,34.4,8.3,2.0,2.1
2022Q4,88.2,20.0,13.5,20.0,152.81,153.06,-0.5,1902.0,24.0,506.0,27.0,14.1,21.0,16.5,3.4,27.0,21.9,4.3,95.3,90.8,3.9,35.7,7.1,-4.2,3.5
2023Q1,121.1,19.0,20.4,19.0,168.43,168.46,0.2,1818.0,20.0,262.0,14.0,8.9,21.3,13.7,6.4,28.8,19.5,7.9,69.4,84.8,7.1,22.9,5.7,-6.4,5.3
2023Q2,115.1,11.0,19.1,13.0,166.01,165.94,1.4,2484.0,18.0,819.0,33.0,13.0,9.5,5.5,3.7,11.5,7.2,4.0,31.3,38.1,3.8,-11.4,4.0,-2.3,5.5
2023Q3,113.2,14.0,18.3,17.0,161.38,161.66,3.2,3397.0,18.0,1834.0,54.0,18.6,9.0,3.5,5.4,9.3,3.2,6.0,26.4,21.4,5.6,-15.0,3.6,-2.3,10.5
2023Q4,98.8,12.0,15.5,15.0,156.73,156.88,2.6,2218.0,17.0,738.0,33.0,14.3,7.0,5.9,1.1,5.9,5.7,0.2,21.6,17.6,0.6,-11.6,3.2,2.0,6.1
2024Q1,132.6,9.0,22.9,12.0,172.88,172.7,2.6,2142.0,18.0,424.0,20.0,9.4,5.9,5.7,0.2,4.6,5.6,-0.9,22.4,15.1,-0.6,-6.7,3.2,3.2,3.3
2024Q2,125.1,9.0,21.2,11.0,169.53,169.46,2.1,2748.0,11.0,894.0,33.0,13.0,3.7,4.1,-0.4,2.1,3.9,-1.7,12.6,11.2,-1.2,-5.6,3.2,3.3,4.9
2024Q3,122.8,8.0,20.1,10.0,163.64,163.68,1.4,3732.0,10.0,1958.0,52.0,18.6,1.1,1.4,-0.2,-0.4,1.1,-1.5,10.4,11.9,-0.9,-0.7,2.7,2.3,6.6
2024Q4,111.0,12.0,17.6,13.0,158.13,158.56,0.9,2480.0,12.0,765.0,31.0,14.1,0.5,-1.7,2.2,-0.5,-2.3,1.8,7.6,14.0,1.8,5.6,2.7,-0.9,13.7
2025Q1,143.1,8.0,24.5,7.0,171.34,171.21,-0.9,2272.0,6.0,417.0,18.0,9.3,-2.0,-2.8,0.8,-3.7,-3.7,-0.1,-0.4,9.7,0.5,0.1,2.7,-1.4,10.8
2025Q2,134.4,7.0,23.5,11.0,174.48,174.85,2.9,3096.0,13.0,1043.0,34.0,13.2,-0.1,1.1,-1.1,-1.2,1.4,-2.6,-5.0,8.4,-1.6,-6.2,2.5,4.6,5.9
2025Q3,133.6,9.0,22.9,14.0,171.29,171.41,4.7,4095.0,10.0,2051.0,50.0,17.9,0.4,2.1,-1.6,-0.5,2.7,-3.1,-8.6,5.2,-1.9,2.5,2.9,6.7,6.9
2025Q4,121.9,10.0,20.4,16.0,167.51,167.35,5.9,2778.0,12.0,786.0,28.0,13.6,1.1,2.8,-1.7,0.4,3.7,-3.2,-8.3,3.9,,,,,7.2
2026Q1,156.2,9.0,29.2,19.0,186.82,186.94,9.0,2678.0,18.0,519.0,19.0,9.2,3.6,4.7,-1.0,3.8,6.2,-2.2,-4.8,-3.4,-0.2,7.9,2.7,9.2,4.3
2026Q2,148.3,10.0,27.2,16.0,183.73,183.41,5.3,3608.0,17.0,1261.0,35.0,13.3,5.4,0.9,4.5,6.2,1.2,4.9,-0.4,-3.7,4.7,24.6,3.8,0.6,9.1
