bridge,component,margin_pts
FY2022->FY2025,Cost of revenue: cash cost per night (3.81 -> 3.91 $/night),-0.5
FY2022->FY2025,Operations & support: cash cost per night (2.48 -> 2.32 $/night),0.76
FY2022->FY2025,Product development: cash cost per night (2.42 -> 2.51 $/night),-0.4
FY2022->FY2025,Sales & marketing: cash cost per night (3.56 -> 4.46 $/night),-4.2
FY2022->FY2025,G&A: cash cost per night (1.89 -> 2.01 $/night),-0.54
FY2022->FY2025,Revenue per night: take rate,0.72
FY2022->FY2025,Revenue per night: FX,0.68
FY2022->FY2025,Revenue per night: ADR ex-FX,3.67
FY2022->FY2025,D&A and other add-backs / revenue,0.34
FY2022->FY2025,Residual (identity gaps in the stack),0.0
FY2022->FY2025,TOTAL change in Adj. EBITDA margin,0.54
FY2023->FY2025,Cost of revenue: cash cost per night (3.80 -> 3.91 $/night),-0.52
FY2023->FY2025,Operations & support: cash cost per night (2.50 -> 2.32 $/night),0.79
FY2023->FY2025,Product development: cash cost per night (2.36 -> 2.51 $/night),-0.68
FY2023->FY2025,Sales & marketing: cash cost per night (3.64 -> 4.46 $/night),-3.71
FY2023->FY2025,G&A: cash cost per night (4.03 -> 2.01 $/night),9.15
FY2023->FY2025,Revenue per night: take rate,-0.61
FY2023->FY2025,Revenue per night: FX,0.0
FY2023->FY2025,Revenue per night: ADR ex-FX,3.12
FY2023->FY2025,D&A and other add-backs / revenue,-8.92
FY2023->FY2025,Residual (identity gaps in the stack),-0.36
FY2023->FY2025,TOTAL change in Adj. EBITDA margin,-1.73
FY2024->FY2025,Cost of revenue: cash cost per night (3.82 -> 3.91 $/night),-0.41
FY2024->FY2025,Operations & support: cash cost per night (2.43 -> 2.32 $/night),0.46
FY2024->FY2025,Product development: cash cost per night (2.38 -> 2.51 $/night),-0.57
FY2024->FY2025,Sales & marketing: cash cost per night (4.02 -> 4.46 $/night),-1.92
FY2024->FY2025,G&A: cash cost per night (1.88 -> 2.01 $/night),-0.56
FY2024->FY2025,Revenue per night: take rate,-0.82
FY2024->FY2025,Revenue per night: FX,0.0
FY2024->FY2025,Revenue per night: ADR ex-FX,1.92
FY2024->FY2025,D&A and other add-backs / revenue,0.59
FY2024->FY2025,Residual (identity gaps in the stack),-0.0
FY2024->FY2025,TOTAL change in Adj. EBITDA margin,-1.3
