scenario,period,revenue_musd,rev_growth_pct,nights_m,adr,take_rate_pct,cor_pct_rev,ops_pct_rev,pd_pct_rev,sm_pct_rev,ga_pct_rev,adj_ebitda_musd,adj_ebitda_margin_pct
Base,FY2026E,14215,16.1,586.3,180.8,13.41,17.0,9.1,10.4,20.9,7.5,5105,35.9
Base,FY2027E,15959,12.3,639.1,186.3,13.41,17.0,8.4,10.1,21.8,7.0,5830,36.5
Base,Q3 2026E,4730,,,,,,,,,,2318,49.0
Base,Q4 2026E (implied),3199,,,,,,,,,,1007,31.5
Bear,FY2026E,14030,14.6,583.6,180.0,13.36,17.1,9.3,10.6,21.0,7.7,4946,35.3
Bear,FY2027E,14629,4.3,618.7,179.0,13.21,17.3,9.2,11.0,22.0,7.7,4942,33.8
Bear,Q3 2026E,4700,,,,,,,,,,2270,48.3
Bear,Q4 2026E (implied),3044,,,,,,,,,,896,29.4
Bull,FY2026E,14473,18.2,589.0,182.6,13.46,16.8,8.8,10.2,20.0,7.4,5461,37.7
Bull,FY2027E,16683,15.3,647.9,189.9,13.56,16.7,7.8,9.5,20.5,6.6,6639,39.8
Bull,Q3 2026E,4800,,,,,,,,,,2410,50.2
Bull,Q4 2026E (implied),3387,,,,,,,,,,1271,37.5
