q,market,reviews,mention_any,share_solo,cond_solo,share_couple,cond_couple,share_family,cond_family,share_group,cond_group,headcount_n,headcount_mean,headcount_ge4,review_len_mean,accommodates_mean,accommodates_ge5,entire_share
2009Q4,australia_nsw_sydney_2026-06-16,1,0.0,0.0,,0.0,,0.0,,0.0,,0,,,475.0,1.0,0.0,0.0
2010Q1,australia_nsw_sydney_2026-06-16,1,0.0,0.0,,0.0,,0.0,,0.0,,0,,,171.0,1.0,0.0,0.0
2010Q2,australia_nsw_sydney_2026-06-16,1,0.0,0.0,,0.0,,0.0,,0.0,,0,,,86.0,1.0,0.0,0.0
2010Q4,australia_nsw_sydney_2026-06-16,7,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0,,,357.14285714285717,1.8571428571428572,0.0,0.5714285714285714
2011Q1,australia_nsw_sydney_2026-06-16,13,0.07692307692307693,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0,,,306.9230769230769,2.769230769230769,0.0,0.8461538461538461
2011Q2,australia_nsw_sydney_2026-06-16,17,0.11764705882352941,0.0,0.0,0.058823529411764705,0.5,0.058823529411764705,0.5,0.058823529411764705,0.5,1,3.0,0.0,357.5882352941176,3.0,0.0,0.8823529411764706
2011Q3,australia_nsw_sydney_2026-06-16,25,0.0,0.0,,0.0,,0.0,,0.0,,0,,,286.04,2.52,0.0,0.84
2011Q4,australia_nsw_sydney_2026-06-16,32,0.0,0.0,,0.0,,0.0,,0.0,,0,,,307.03125,2.15625,0.0,0.5625
2012Q1,australia_nsw_sydney_2026-06-16,48,0.08333333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.5,0.041666666666666664,0.5,2,4.0,1.0,368.7083333333333,2.4583333333333335,0.0,0.625
2012Q2,australia_nsw_sydney_2026-06-16,53,0.09433962264150944,0.018867924528301886,0.2,0.05660377358490566,0.6,0.03773584905660377,0.4,0.0,0.0,0,,,479.77358490566036,2.641509433962264,0.018867924528301886,0.7169811320754716
2012Q3,australia_nsw_sydney_2026-06-16,62,0.16129032258064516,0.0,0.0,0.08064516129032258,0.5,0.06451612903225806,0.4,0.016129032258064516,0.1,2,3.0,0.0,440.9516129032258,2.6451612903225805,0.016129032258064516,0.7741935483870968
2012Q4,australia_nsw_sydney_2026-06-16,118,0.09322033898305085,0.01694915254237288,0.18181818181818182,0.025423728813559324,0.2727272727272727,0.0423728813559322,0.45454545454545453,0.00847457627118644,0.09090909090909091,0,,,449.40677966101697,2.542372881355932,0.01694915254237288,0.6440677966101694
2013Q1,australia_nsw_sydney_2026-06-16,183,0.1092896174863388,0.0,0.0,0.0546448087431694,0.5,0.03278688524590164,0.3,0.03278688524590164,0.3,3,3.6666666666666665,0.6666666666666666,462.8469945355191,2.721311475409836,0.04371584699453552,0.6666666666666666
2013Q2,australia_nsw_sydney_2026-06-16,120,0.15833333333333333,0.008333333333333333,0.05263157894736842,0.1,0.631578947368421,0.03333333333333333,0.21052631578947367,0.03333333333333333,0.21052631578947367,2,4.0,0.5,460.80833333333334,2.8583333333333334,0.03333333333333333,0.7666666666666667
2013Q3,australia_nsw_sydney_2026-06-16,163,0.08588957055214724,0.0,0.0,0.049079754601226995,0.5714285714285714,0.03067484662576687,0.35714285714285715,0.024539877300613498,0.2857142857142857,1,2.0,0.0,468.20245398773005,3.1533742331288344,0.07975460122699386,0.8159509202453987
2013Q4,australia_nsw_sydney_2026-06-16,375,0.09866666666666667,0.0,0.0,0.04533333333333334,0.4594594594594595,0.037333333333333336,0.3783783783783784,0.021333333333333333,0.21621621621621623,3,3.3333333333333335,0.3333333333333333,426.84,2.6853333333333333,0.05333333333333334,0.728
2014Q1,australia_nsw_sydney_2026-06-16,567,0.14285714285714285,0.010582010582010581,0.07407407407407407,0.05114638447971781,0.35802469135802467,0.059964726631393295,0.41975308641975306,0.029982363315696647,0.20987654320987653,15,5.066666666666666,0.8666666666666667,413.5432098765432,3.019400352733686,0.09347442680776014,0.7742504409171076
2014Q2,australia_nsw_sydney_2026-06-16,398,0.12060301507537688,0.002512562814070352,0.020833333333333332,0.06281407035175879,0.5208333333333334,0.04522613065326633,0.375,0.017587939698492462,0.14583333333333334,8,3.375,0.5,430.3894472361809,3.148241206030151,0.09296482412060302,0.8165829145728644
2014Q3,australia_nsw_sydney_2026-06-16,513,0.13255360623781676,0.005847953216374269,0.04411764705882353,0.04093567251461988,0.3088235294117647,0.07797270955165692,0.5882352941176471,0.017543859649122806,0.1323529411764706,16,4.0,0.625,441.67836257309943,3.1871345029239766,0.10331384015594541,0.8888888888888888
2014Q4,australia_nsw_sydney_2026-06-16,852,0.1255868544600939,0.004694835680751174,0.037383177570093455,0.0539906103286385,0.42990654205607476,0.0528169014084507,0.4205607476635514,0.03051643192488263,0.24299065420560748,24,3.75,0.5833333333333334,405.1420187793427,3.125586854460094,0.1467136150234742,0.8392018779342723
2015Q1,australia_nsw_sydney_2026-06-16,1224,0.13071895424836602,0.0016339869281045752,0.0125,0.051470588235294115,0.39375,0.061274509803921566,0.46875,0.02696078431372549,0.20625,33,4.181818181818182,0.7272727272727273,402.171568627451,3.2606209150326797,0.16013071895424835,0.8276143790849673
