horizon,percentile,revenue_loss_pct,compliance_cost_pct_rev,total_ebitda_hit_musd,value_per_share_usd,one_off_cash_musd
2027,5,0.0171,0.0,11.2075,0.4349,0.0
2027,10,0.0511,0.0521,22.8118,0.8851,0.0
2027,25,0.196,0.0982,41.0188,1.5916,0.0
2027,50,0.451,0.1297,71.8922,2.7895,76.0
2027,75,0.8489,0.1652,117.4761,4.5582,76.0
2027,90,1.9474,0.1964,239.6358,9.298,96.0
2027,95,2.7443,0.2121,328.9269,12.7626,96.0
2027,99,5.4404,0.2329,629.6748,24.4318,96.0
2027,mean,0.7523,0.1261,104.1539,4.0412,49.7947
2027,P(revenue loss > 0.5%),0.4603,,,,
2027,P(revenue loss > 1%),0.1952,,,,
2027,P(revenue loss > 2%),0.0966,,,,
2030,5,0.2684,0.0,50.0644,1.9425,0.0
2030,10,0.4442,0.0923,72.2803,2.8045,0.0
2030,25,0.8788,0.1249,123.6331,4.7971,20.0
2030,50,1.7084,0.1597,217.5469,8.441,76.0
2030,75,3.0662,0.2009,369.2384,14.3267,96.0
2030,90,4.1437,0.2376,490.0785,19.0154,96.0
2030,95,6.3825,0.2556,739.9383,28.7101,96.0
2030,99,8.2311,0.2801,946.7,36.7326,96.0
2030,mean,2.197,0.1596,270.8991,10.5111,65.2641
2030,P(revenue loss > 0.5%),0.8815,,,,
2030,P(revenue loss > 1%),0.7073,,,,
2030,P(revenue loss > 2%),0.4445,,,,
