cash_flow,base_musd,ev_musd,wacc_pct,terminal_growth_pct,years,implied_growth_pct
fcf_ltm,4827.0,99049.18,9.0,2.5,10,5.991
fcf_ltm,4827.0,99049.18,9.0,3.0,10,5.335
fcf_ltm,4827.0,99049.18,9.0,4.0,10,3.827
fcf_ltm,4827.0,99049.18,10.0,2.5,10,8.061
fcf_ltm,4827.0,99049.18,10.0,3.0,10,7.497
fcf_ltm,4827.0,99049.18,10.0,4.0,10,6.226
fcf_ltm,4827.0,99049.18,11.0,2.5,10,9.991
fcf_ltm,4827.0,99049.18,11.0,3.0,10,9.498
fcf_ltm,4827.0,99049.18,11.0,4.0,10,8.4
sbc_adjusted_fcf_ltm,3131.0,99049.18,9.0,2.5,10,11.711
sbc_adjusted_fcf_ltm,3131.0,99049.18,9.0,3.0,10,10.991
sbc_adjusted_fcf_ltm,3131.0,99049.18,9.0,4.0,10,9.342
sbc_adjusted_fcf_ltm,3131.0,99049.18,10.0,2.5,10,13.943
sbc_adjusted_fcf_ltm,3131.0,99049.18,10.0,3.0,10,13.322
sbc_adjusted_fcf_ltm,3131.0,99049.18,10.0,4.0,10,11.926
sbc_adjusted_fcf_ltm,3131.0,99049.18,11.0,2.5,10,16.024
sbc_adjusted_fcf_ltm,3131.0,99049.18,11.0,3.0,10,15.48
sbc_adjusted_fcf_ltm,3131.0,99049.18,11.0,4.0,10,14.27
