scope,term,coef,se,p,n,r2
pooled_market_FE,accommodates,0.007731737770335902,0.0024052124075390675,0.001306373862556335,128676,0.15621843124575607
pooled_market_FE,bedrooms,0.0034013700118289978,0.005192292548540758,0.5124158750374828,128676,0.15621843124575607
pooled_market_FE,lprice,-0.2071150120734557,0.006446462353931065,1.7651580104510327e-226,128676,0.15621843124575607
pooled_market_FE,np.log1p(minimum_nights),-0.660848701185267,0.005843417809484521,0.0,128676,0.15621843124575607
pooled_market_FE,multi_host[T.True],-0.04425450870555732,0.006387265194131842,4.25165341928356e-12,128676,0.15621843124575607
es_menorca,accommodates,-0.0008748998761889379,0.018719176974585635,0.962721916807082,2673,0.11889549804120225
it_bergamo,accommodates,-0.009832683466656614,0.01707263426722158,0.5646608652742888,2689,0.07959726513116816
it_milan,accommodates,0.044146926967822284,0.008669917812719318,3.543696084355862e-07,16517,0.07853569409572059
it_puglia,accommodates,-0.07345307604842238,0.004999765274431327,7.328874319823191e-49,23219,0.05571409767260416
it_sicily,accommodates,-0.05679777974249937,0.005221629986059625,1.4770954588436552e-27,28370,0.04461270826786057
mn_twin-cities-msa,accommodates,0.04966947268982542,0.010102140987301623,8.80029914998663e-07,3452,0.26123397978480645
mt_bozeman,accommodates,0.06174204516838251,0.03370637679750469,0.06698695335620308,401,0.602650258232535
se_stockholm,accommodates,0.09892822513806769,0.022046976101204624,7.218016185450983e-06,1951,0.3348418412351708
tx_austin,accommodates,0.06024068845007507,0.009114689099478237,3.8643526052212346e-11,7415,0.27748227559753524
uk_bristol,accommodates,0.09761942573587658,0.02149462498885303,5.583583241963868e-06,1566,0.19029586433104329
uk_edinburgh,accommodates,-0.03630442979566521,0.019617422698787627,0.06422398352455042,3579,0.08521240007251796
uk_greater-manchester,accommodates,0.051989401351466784,0.01340763137728119,0.00010549294436634909,3830,0.12504751720183804
uk_london,accommodates,0.03413962078693397,0.005026437305070811,1.1058060844525158e-11,33014,0.11438788782364606
