company,year,revenue_musd,revenue_growth_pct,gross_bookings_busd,take_rate_pct,marketing_musd,marketing_pct_rev,selling_and_marketing_pct_rev,personnel_pct_rev,sbc_musd,sbc_pct_rev,op_income_musd,op_margin_pct,da_musd,ebitda_proxy_musd,ebitda_proxy_margin_pct,reported_adj_ebitda_margin_pct,cfo_musd,capex_musd,fcf_musd,fcf_margin_pct,fcf_conversion_pct,buybacks_musd,buybacks_pct_fcf,diluted_shares_m,diluted_shares_change_pct
ABNB,2021,5992,77.4,46.9,12.78,723,12.1,19.8,,899,15.0,429,7.2,138,1466,24.5,26.6,2313,25,2288,38.2,156.1,0,0.0,616.0,116.9
ABNB,2022,8399,40.2,63.3,13.27,1030,12.3,18.0,,930,11.1,1802,21.5,81,2813,33.5,34.6,3430,25,3405,40.5,121.1,1500,44.0,680.0,10.4
ABNB,2023,9917,18.1,73.3,13.53,1208,12.2,17.8,,1120,11.3,1518,15.3,44,2682,27.0,36.8,3884,47,3837,38.7,143.1,2252,58.7,662.0,-2.6
ABNB,2024,11102,11.9,81.8,13.57,1455,13.1,19.3,,1407,12.7,2553,23.0,65,4025,36.3,36.4,4518,34,4484,40.4,111.4,3430,76.5,645.0,-2.6
ABNB,2025,12241,10.3,91.3,13.41,1595,13.0,21.1,,1592,13.0,2544,20.8,91,4227,34.5,35.1,4646,33,4613,37.7,109.1,3789,82.1,623.0,-3.4
BKNG,2021,10958,61.2,,,3801,34.7,,21.1,370,3.4,2496,22.8,421,3287,30.0,,2820,304,2516,23.0,76.5,163,6.5,41.4,0.5
BKNG,2022,17090,56.0,121.3,14.09,5993,35.1,,14.4,404,2.4,5102,29.9,451,5957,34.9,,6554,368,6186,36.2,103.8,6621,107.0,40.1,-3.2
BKNG,2023,21365,25.0,150.6,14.19,6773,31.7,,15.4,530,2.5,5835,27.3,504,6869,32.2,,7344,345,6999,32.8,101.9,10377,148.3,36.5,-8.8
BKNG,2024,23739,11.1,165.6,14.34,7278,30.7,,14.1,599,2.5,7555,31.8,591,8745,36.8,,8323,429,7894,33.3,90.3,6509,82.5,34.1,-6.8
BKNG,2025,26917,13.4,186.1,14.46,8186,30.4,,12.6,613,2.3,8825,32.8,623,10061,37.4,,9409,322,9087,33.8,90.3,6440,70.9,32.6,-4.2
EXPE,2021,8598,65.4,,,2700,31.4,40.7,,418,4.9,186,2.2,814,1418,16.5,,3748,673,3075,35.8,216.9,165,5.4,149.7,5.9
EXPE,2022,11667,35.7,,,3900,33.4,46.5,,374,3.2,1085,9.3,792,2251,19.3,,3440,662,2778,23.8,123.4,607,21.9,161.8,8.0
EXPE,2023,12839,10.0,,,3800,29.6,47.6,,413,3.2,1033,8.0,807,2253,17.5,,2690,846,1844,14.4,81.8,2137,115.9,150.2,-7.1
EXPE,2024,13691,6.6,,,4000,29.2,50.0,,458,3.3,1319,9.6,838,2615,19.1,,3085,756,2329,17.0,89.1,1839,79.0,137.9,-8.2
EXPE,2025,14733,7.6,,,3900,26.5,49.9,,398,2.7,1871,12.7,887,3156,21.4,,3880,770,3110,21.1,98.5,1930,62.1,131.9,-4.3
