market,date_a,date_b,segment,weight,n_matched,share_unchanged,excess_share_12_20,baseline_share_12_20,mean_jump_pp,theta,share_gt_10,share_lt_m10
austin,2026-03-25,2026-04-23,all,count,7058,0.25701331822045903,0.0008033954827952096,0.0882673942701228,11.500000000000043,0.8333333333333364,0.17767072825162936,0.25545480306035706
austin,2026-03-25,2026-04-23,all,nights,7058,0.25701331822045903,0.002180261832829808,0.09579089339663358,11.500000000000044,0.8333333333333365,0.17767072825162936,0.25545480306035706
austin,2026-03-25,2026-04-23,entire,count,6241,0.24467232815253967,0.0019890260631001363,0.0867283950617284,11.655172413793148,0.8445777111444309,0.1767344976766544,0.25717032526838646
austin,2026-03-25,2026-04-23,entire,nights,6241,0.24467232815253967,0.0022957052576293565,0.09648698485070495,11.599635278514633,0.8405532810517848,0.1767344976766544,0.25717032526838646
austin,2026-04-23,2026-05-25,all,count,7402,0.2560118886787355,0.0015683996514667437,0.07868138251524834,11.500000000000043,0.8333333333333364,0.1609024587949203,0.26614428532828965
austin,2026-04-23,2026-05-25,all,nights,7402,0.2560118886787355,0.002365512559878901,0.0887104045015953,11.500000000000043,0.8333333333333364,0.1609024587949203,0.26614428532828965
austin,2026-04-23,2026-05-25,entire,count,6468,0.23593073593073594,0.0006149243809207251,0.08271563902276882,11.500000000000043,0.8333333333333364,0.1725417439703154,0.26051329622758196
austin,2026-04-23,2026-05-25,entire,nights,6468,0.23593073593073594,0.002077864899604686,0.08881277388807737,11.525857425031468,0.8352070597848889,0.1725417439703154,0.26051329622758196
austin,2026-05-25,2026-06-22,all,count,7742,0.33905967450271246,0.0023151909017059312,0.08688058489033305,12.909356725146242,0.9354606322569741,0.19788168431929734,0.17321105657452854
austin,2026-05-25,2026-06-22,all,nights,7742,0.33905967450271246,0.007332238697051117,0.09975171658871529,12.637528557533578,0.9157629389517085,0.19788168431929734,0.17321105657452854
austin,2026-05-25,2026-06-22,entire,count,6601,0.31161945159824267,0.004433811802232856,0.08669856459330144,12.71582733812954,0.9214367636325753,0.19466747462505682,0.18785032570822602
austin,2026-05-25,2026-06-22,entire,nights,6601,0.31161945159824267,0.0064118466466146756,0.10002235885969815,12.702308139374024,0.9204571115488422,0.19466747462505682,0.18785032570822602
austin,2026-06-22,2026-07-18,all,count,7857,0.22285859742904415,0.0010541766746730726,0.07698158526821457,11.500000000000043,0.8333333333333364,0.15247549955453735,0.20402189130711468
austin,2026-06-22,2026-07-18,all,nights,7857,0.22285859742904415,0.0045133685977866425,0.08176943743732573,13.42596363636368,0.9728959156785275,0.15247549955453735,0.20402189130711468
austin,2026-06-22,2026-07-18,entire,count,6658,0.21583057975367978,0.000728539752929997,0.08324358568261007,11.500000000000043,0.8333333333333364,0.16311204565935716,0.19885851607089217
austin,2026-06-22,2026-07-18,entire,nights,6658,0.21583057975367978,0.0030683221738282544,0.08339339144123646,12.768323408153961,0.9252408266778233,0.16311204565935716,0.19885851607089217
austin,2026-07-18,2026-08-25,all,count,7686,0.17824616185271924,0.0008439402324294402,0.11442999446596569,14.500000000000046,1.0507246376811628,0.2544886807181889,0.15625813166796773
austin,2026-07-18,2026-08-25,all,nights,7686,0.17824616185271924,0.0007086938881387735,0.11901068860702241,13.574143594556592,0.9836335938084486,0.2544886807181889,0.15625813166796773
austin,2026-07-18,2026-08-25,entire,count,6555,0.17009916094584288,0.0030584024727509326,0.11478770131771596,12.957446808510683,0.9389454209065712,0.26880244088482075,0.15987795575896263
austin,2026-07-18,2026-08-25,entire,nights,6555,0.17009916094584288,0.0024292705795444054,0.11876256366180576,13.71052631578952,0.9935163996948927,0.26880244088482075,0.15987795575896263
bangkok,2026-06-29,2026-07-23,all,count,19716,0.26333941976060055,0.007509657481328867,0.08288436775688901,13.541152263374531,0.9812429176358355,0.15799350781091498,0.08059444106309596
bangkok,2026-06-29,2026-07-23,all,nights,19716,0.26333941976060055,0.011363270830181169,0.11661160559514208,12.76357726986794,0.9248969036136188,0.15799350781091498,0.08059444106309596
bangkok,2026-06-29,2026-07-23,entire,count,11230,0.21772039180765806,0.011970367693558586,0.0953744692384136,14.209433962264201,1.0296691277003043,0.1867319679430098,0.09323241317898487
bangkok,2026-06-29,2026-07-23,entire,nights,11230,0.21772039180765806,0.011751491293896191,0.1258729951795276,12.974937428126948,0.9402128571106483,0.1867319679430098,0.09323241317898487
bangkok,2026-07-23,2026-08-30,all,count,19272,0.2711187214611872,0.001261174968071519,0.08635057471264368,11.500000000000043,0.8333333333333364,0.1553549190535492,0.1358447488584475
bangkok,2026-07-23,2026-08-30,all,nights,19272,0.2711187214611872,0.002239770948673041,0.12079209498374162,12.105997592207553,0.8772462023338805,0.1553549190535492,0.1358447488584475
bangkok,2026-07-23,2026-08-30,entire,count,10923,0.20049436967865972,0.0029168234851336093,0.09696085811065111,11.661290322580689,0.8450210378681658,0.17165613842351002,0.16323354389819647
bangkok,2026-07-23,2026-08-30,entire,nights,10923,0.20049436967865972,0.005293528167307452,0.12003428807220473,12.366679039841667,0.8961361623073671,0.17165613842351002,0.16323354389819647
barcelona,2026-03-21,2026-04-20,all,count,6697,0.08929371360310587,0.007975034674063795,0.14261442441054092,13.486956521739174,0.9773156899810995,0.5012692250261311,0.18142451844109303
