proxy,quarter,reading_yoy_pct,months_in,last_2q26_full_quarter,knowable_before_5nov
cpi_lodging_sa,3Q26,3.535624339667942,"Jul,Aug",4.156956590493451,"yes, September value publishes before 5 Nov"
cpi_lodging_nsa,3Q26,2.458390435976565,"Jul,Aug",5.504370926364769,"yes, September value publishes before 5 Nov"
cpi_hotels_motels_nsa,3Q26,2.421212535669137,"Jul,Aug",5.012474749159527,"yes, September value publishes before 5 Nov"
bea_hotels_price,3Q26,3.550809881458683,Jul,4.959556496474186,"yes, September value publishes before 5 Nov"
hicp_ea_accommodation,3Q26,4.6,Jul,4.266666666666667,"yes, September value publishes before 5 Nov"
ine_iph_spain,3Q26,5.91,Jul,4.873333333333333,"yes, September value publishes before 5 Nov"
mar_revpar,3Q26,,,3.4,yes (reported 1-8 days before ABNB) but not held today
hlt_revpar,3Q26,,,3.9,yes (reported 1-8 days before ABNB) but not held today
mgmt_adr_guide,3Q26,2.0,6 Aug letter,2.0,yes (given 6 Aug)
str_us_hotel_adr_july_month,3Q26,5.7,Jul,,yes; no held history to test
str_us_hotel_adr_aug_weeks_mean,3Q26,2.6249999999999996,Aug weeks 2-29 (Labor Day week excluded),,yes; no held history to test
ia_quote_seq_jun_aug_2026_quote_all,3Q26,-0.9318102167925416,"13 markets, mean of market medians",,sequential only; no y/y and no history; not tested
ia_quote_seq_jun_aug_2026_quote_entire,3Q26,-1.6592106741568668,"13 markets, mean of market medians",,sequential only; no y/y and no history; not tested
ia_quote_seq_jun_sep_2025_listed_all,3Q25,-2.907656880823901,"9 markets, mean of market medians",,sequential only; no y/y and no history; not tested
ia_quote_seq_jun_sep_2025_listed_entire,3Q25,-3.698109860194658,"9 markets, mean of market medians",,sequential only; no y/y and no history; not tested
