model,window,n_S1,rmse_pp_S1,ratio_vs_naive_S1,ratio_vs_prior_year_S1,ratio_vs_ar1_S1,jackknife_ratio_min_S1,jackknife_ratio_max_S1,n_J3,rmse_pp_J3,ratio_vs_naive_J3,ratio_vs_prior_year_J3,ratio_vs_ar1_J3,jackknife_ratio_min_J3,jackknife_ratio_max_J3,diff_rmse_pp,diff_ratio_vs_naive,diff_ratio_vs_prior_year,diff_ratio_vs_ar1,diff_jackknife_ratio_min,diff_jackknife_ratio_max,max_abs_diff
naive_last_q,1Q24-2Q26,10,0.9082951062292475,1.0,0.5200882648923051,0.793694204607557,1.0,1.0,10,0.9082951062292476,1.0,0.5200882648923051,0.793694204607557,1.0,1.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16
naive_last_q,2Q24-2Q26,9,0.816496580927726,1.0,0.45098761680169736,0.7715302674743837,1.0,1.0,9,0.816496580927726,1.0,0.4509876168016973,0.7715302674743837,1.0,1.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,5.551115123125783e-17
prior_year_q,1Q24-2Q26,10,1.746424919657298,1.9227505550564008,1.0,1.5260759724542288,1.6143297699232972,2.2173557826083448,10,1.746424919657298,1.9227505550564008,1.0,1.5260759724542288,1.6143297699232972,2.2173557826083448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prior_year_q,2Q24-2Q26,9,1.8104634152000358,2.2173557826083448,1.0,1.7107571000416877,1.8484227510682363,2.4289915602982237,9,1.810463415200036,2.2173557826083448,1.0,1.7107571000416877,1.8484227510682365,2.428991560298224,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16
ar1_expanding,1Q24-2Q26,10,1.1443892382688556,1.259931084534567,0.6552753716394631,1.0,1.1507137911011143,1.3439647330256503,10,1.1443892382688556,1.259931084534567,0.6552753716394631,1.0,1.1507137911011145,1.3439647330256503,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16
ar1_expanding,2Q24-2Q26,9,1.0582819823783975,1.2961254304040664,0.5845365189340042,1.0,1.1474677042823214,1.4197625313837645,9,1.0582819823783975,1.2961254304040664,0.5845365189340042,1.0,1.1474677042823214,1.4197625313837643,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
v2_measured_last_q,1Q24-2Q26,10,0.8074352188485817,0.8889569186391615,0.46233606137905153,0.7055599544696941,0.8353852868798487,0.9374957137602413,10,0.8074352188485817,0.8889569186391615,0.4623360613790515,0.7055599544696941,0.8353852868798487,0.9374957137602412,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
v2_measured_last_q,2Q24-2Q26,9,0.7193430284085004,0.881011684814605,0.39732536010898684,0.6797271808330696,0.7996399681656441,0.9496931349515081,9,0.7193430284085004,0.881011684814605,0.3973253601089868,0.6797271808330696,0.7996399681656441,0.949693134951508,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
v2_measured_persistence,1Q24-2Q26,10,0.9029570741655287,0.9941230201207629,0.5170317166241057,0.7890296797368114,0.8700835603116134,1.051595588076546,10,0.9029570741655288,0.9941230201207628,0.5170317166241057,0.7890296797368114,0.8700835603116134,1.051595588076546,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16
v2_measured_persistence,2Q24-2Q26,9,0.8509627373551408,1.0422122483210565,0.4700248180718521,0.8040982947122235,0.8777815912172834,1.129722065969925,9,0.8509627373551408,1.0422122483210563,0.4700248180718521,0.8040982947122235,0.8777815912172834,1.129722065969925,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16
