model,target,window,fx_estimator,fx_estimator_source,n,rmse_pp,bias_pp,mae_pp,rmse_naive_pp,rmse_prior_year_pp,rmse_ar1_pp,ratio_vs_naive,ratio_vs_prior_year,ratio_vs_ar1,sign_accuracy_vs_naive,jackknife_ratio_min,jackknife_ratio_max,jackknife_below_1,jackknife_n,knowable_before_print,scoring,residual_rule,mix_variant,v3_pre_registered_rule,v2_pre_registered_rule
naive_last_q,t1_exfx_integer_fair,1Q24-2Q26,none,none,10,0.9082951062292475,-0.35,0.75,0.9082951062292475,1.746424919657298,1.2649110640673518,1.0,0.5200882648923051,0.7180703308172536,0.0,1.0,1.0,0,10,yes,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,,,False,False
naive_last_q,t1_exfx_integer_fair,2Q24-2Q26,none,none,9,0.816496580927726,-0.2222222222222222,0.6666666666666666,0.816496580927726,1.8104634152000358,1.1547005383792515,1.0,0.45098761680169736,0.7071067811865476,0.0,1.0,1.0,0,9,yes,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,,,False,False
prior_year_q,t1_exfx_integer_fair,1Q24-2Q26,none,none,10,1.746424919657298,-0.7,1.5,0.9082951062292475,1.746424919657298,1.2649110640673518,1.9227505550564008,1.0,1.3806701271484076,0.42857142857142855,1.6143297699232972,2.2173557826083448,0,10,yes,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,,,False,False
prior_year_q,t1_exfx_integer_fair,2Q24-2Q26,none,none,9,1.8104634152000358,-0.8888888888888888,1.5555555555555556,0.816496580927726,1.8104634152000358,1.1547005383792515,2.2173557826083448,1.0,1.567907310185565,0.3333333333333333,1.8484227510682363,2.4289915602982237,0,9,yes,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,,,False,False
ar1_expanding,t1_exfx_integer_fair,1Q24-2Q26,none,none,10,1.2649110640673518,-0.8,1.0,0.9082951062292475,1.746424919657298,1.2649110640673518,1.3926212476455828,0.7242859683401482,1.0,0.14285714285714285,1.2865350418053538,1.4855627054164149,0,10,yes,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,,,False,False
ar1_expanding,t1_exfx_integer_fair,2Q24-2Q26,none,none,9,1.1547005383792515,-0.6666666666666666,0.8888888888888888,0.816496580927726,1.8104634152000358,1.1547005383792515,1.414213562373095,0.6377928041432807,1.0,0.16666666666666666,1.2649110640673518,1.5491933384829666,0,9,yes,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,,,False,False
naive_last_q,t2_reported_usd_yoy,1Q24-2Q26,eur,est_from_eur,10,1.19884558755992,-0.4937984001581778,1.009621203514741,1.19884558755992,4.0710384766601555,2.6820387327036515,1.0,0.29448151729173594,0.4469904080585047,0.0,1.0,1.0,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
naive_last_q,t2_reported_usd_yoy,2Q24-2Q26,eur,est_from_eur,9,1.0329163412900277,-0.3059929844817968,0.8791294326557559,1.0329163412900277,4.214249424169417,2.8270416667211404,1.0,0.2451009034648215,0.3653700451072675,0.0,1.0,1.0,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
prior_year_q,t2_reported_usd_yoy,1Q24-2Q26,eur,est_from_eur,10,4.0710384766601555,-1.7619281509458413,3.154367843589396,1.19884558755992,4.0710384766601555,2.6820387327036515,3.3957988575878035,1.0,1.5178895170377764,0.1,2.3818519692964775,4.079952321120377,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
prior_year_q,t2_reported_usd_yoy,2Q24-2Q26,eur,est_from_eur,9,4.214249424169417,-1.6879367593301267,3.2350919733785206,1.0329163412900277,4.214249424169417,2.8270416667211404,4.079952321120377,1.0,1.490692363603253,0.1111111111111111,2.943401609304973,4.577580869493932,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
