affected_booking_share,incremental_churn,demand_recapture,relative_take_rate_change,net_booking_value_change,revenue_change,revenue_change_usd_m,adjusted_ebitda_change_usd_m,adjusted_ebitda_change,interpretation
0.5,0.02,0,0,-0.01,-0.010000000000000009,-36.080000000000034,-25.25600000000002,-0.02002854877081683,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.02,0,0.01,-0.01,-9.999999999998899e-05,-0.36079999999996026,-0.2525599999999722,-0.00020028548770814608,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.02,0,0.02,-0.01,0.009800000000000031,35.35840000000011,24.750880000000077,0.01962797779540054,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.02,0.5,0,-0.005,-0.0050000000000000044,-18.040000000000017,-12.62800000000001,-0.010014274385408415,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.02,0.5,0.01,-0.005,0.00495000000000001,17.859600000000036,12.501720000000024,0.00991413164155434,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.02,0.5,0.02,-0.005,0.014899999999999913,53.75919999999969,37.63143999999978,0.029842537668516873,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.02,0.75,0,-0.0025,-0.0024999999999999467,-9.019999999999808,-6.313999999999865,-0.005007137192704096,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.02,0.75,0.01,-0.0025,0.0074750000000001204,26.969800000000433,18.8788600000003,0.014971340206185806,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.02,0.75,0.02,-0.0025,0.017449999999999966,62.959599999999874,44.07171999999991,0.03494981760507526,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.05,0,0,-0.025,-0.025000000000000022,-90.20000000000007,-63.14000000000005,-0.05007137192704207,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.05,0,0.01,-0.025,-0.015249999999999986,-55.02199999999995,-38.515399999999964,-0.03054353687549561,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.05,0,0.02,-0.025,-0.00550000000000006,-19.844000000000218,-13.890800000000151,-0.011015701823949366,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.05,0.5,0,-0.0125,-0.012499999999999956,-45.09999999999984,-31.569999999999883,-0.02503568596352092,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.05,0.5,0.01,-0.0125,-0.0026249999999999885,-9.470999999999957,-6.6296999999999695,-0.005257494052339389,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.05,0.5,0.02,-0.0125,0.007249999999999979,26.157999999999923,18.310599999999944,0.014520697858842144,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.05,0.75,0,-0.00625,-0.006249999999999978,-22.54999999999992,-15.784999999999942,-0.01251784298176046,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.05,0.75,0.01,-0.00625,0.0036875000000000657,13.304500000000237,9.313150000000165,0.007385527359238831,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.05,0.75,0.02,-0.00625,0.013624999999999998,49.15899999999999,34.41129999999999,0.0272888977002379,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.1,0,0,-0.05,-0.050000000000000044,-180.40000000000015,-126.2800000000001,-0.10014274385408414,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.1,0,0.01,-0.05,-0.04050000000000009,-146.12400000000034,-102.28680000000023,-0.08111562252180828,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.1,0,0.02,-0.05,-0.031000000000000028,-111.8480000000001,-78.29360000000007,-0.06208850118953217,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
0.5,0.1,0.5,0,-0.025,-0.025000000000000022,-90.20000000000007,-63.14000000000005,-0.05007137192704207,"Hypothetical sensitivity using Q2 2026 scale, not a forecast; assumed 70% incremental contribution margin; exposure 1; take-rate change is company-wide and relative, not fee percentage points"
