market,cohort,start_month,end_month,start_vintage,end_vintage,start_complete,end_complete,interval_days,vintage_gap_days,cross_market_duplicate_ids_excluded,baseline_ids,missing_ids,disappearance_rate,reobserved_next_vintage,still_missing_next_vintage,baseline_reviews,missing_baseline_reviews
austin,all_listings,2026-06,2026-07,2026-06-22,2026-07-18,2026-07-02,2026-07-19,17,26,0,11295,458,0.040548915449313855,61,397,137348.0,3830.0
austin,reviewed_str_homes,2026-06,2026-07,2026-06-22,2026-07-18,2026-07-02,2026-07-19,17,26,0,6605,256,0.03875851627554883,37,219,124102.0,3134.0
barcelona,all_listings,2026-06,2026-07,2026-06-24,2026-07-16,2026-07-03,2026-07-19,16,22,0,15293,398,0.026024978748447003,99,299,201980.0,2940.0
barcelona,reviewed_str_homes,2026-06,2026-07,2026-06-24,2026-07-16,2026-07-03,2026-07-19,16,22,0,5880,98,0.016666666666666666,26,72,167121.0,1321.0
chicago,all_listings,2026-06,2026-07,2026-06-24,2026-07-20,2026-07-03,2026-07-21,18,26,0,8660,250,0.028868360277136258,73,177,124877.0,2102.0
chicago,reviewed_str_homes,2026-06,2026-07,2026-06-24,2026-07-20,2026-07-03,2026-07-21,18,26,0,4204,83,0.01974310180780209,28,55,100799.0,1454.0
london,all_listings,2026-06,2026-07,2026-06-19,2026-07-16,2026-07-01,2026-07-23,22,27,0,92638,4747,0.05124247069237246,699,4048,566386.0,22997.0
london,reviewed_str_homes,2026-06,2026-07,2026-06-19,2026-07-16,2026-07-01,2026-07-23,22,27,0,33161,1866,0.05627092065981122,302,1564,365407.0,16645.0
los-angeles,all_listings,2026-06,2026-07,2026-06-15,2026-07-12,2026-06-23,2026-07-14,21,27,0,43751,1865,0.042627597083495235,279,1586,373559.0,11603.0
los-angeles,reviewed_str_homes,2026-06,2026-07,2026-06-15,2026-07-12,2026-06-23,2026-07-14,21,27,0,13930,554,0.039770279971284996,126,428,290030.0,8369.0
mexico-city,all_listings,2026-06,2026-07,2026-06-15,2026-07-14,2026-07-06,2026-07-15,9,29,0,31430,1196,0.03805281578110086,98,1098,487065.0,8843.0
mexico-city,reviewed_str_homes,2026-06,2026-07,2026-06-15,2026-07-14,2026-07-06,2026-07-15,9,29,0,16141,441,0.027321727278359458,52,389,369259.0,7076.0
nashville,all_listings,2026-06,2026-07,2026-06-26,2026-07-21,2026-07-03,2026-07-21,18,25,0,10242,283,0.027631322007420425,30,253,176463.0,2610.0
nashville,reviewed_str_homes,2026-06,2026-07,2026-06-26,2026-07-21,2026-07-03,2026-07-21,18,25,0,7026,149,0.021206945630515228,17,132,165230.0,2224.0
new-orleans,all_listings,2026-06,2026-07,2026-06-16,2026-07-15,2026-06-25,2026-07-15,20,29,0,7189,189,0.02629016553067186,50,139,85350.0,1797.0
new-orleans,reviewed_str_homes,2026-06,2026-07,2026-06-16,2026-07-15,2026-06-25,2026-07-15,20,29,0,2973,69,0.02320887991927346,28,41,67617.0,1383.0
new-york-city,all_listings,2026-06,2026-07,2026-06-14,2026-07-12,2026-06-23,2026-07-13,20,28,0,30259,1118,0.03694768498628507,134,984,133715.0,3455.0
new-york-city,reviewed_str_homes,2026-06,2026-07,2026-06-14,2026-07-12,2026-06-23,2026-07-13,20,28,0,1526,38,0.02490170380078637,11,27,42280.0,971.0
paris,all_listings,2026-06,2026-07,2026-06-16,2026-07-15,2026-06-29,2026-07-22,23,29,0,77679,2213,0.028489038221398318,304,1909,555497.0,17664.0
paris,reviewed_str_homes,2026-06,2026-07,2026-06-16,2026-07-15,2026-06-29,2026-07-22,23,29,0,33655,1158,0.034407963155548955,119,1039,459904.0,14972.0
rome,all_listings,2026-06,2026-07,2026-06-20,2026-07-18,2026-07-07,2026-07-21,14,28,0,37084,580,0.015640168266637902,87,493,563587.0,4484.0
rome,reviewed_str_homes,2026-06,2026-07,2026-06-20,2026-07-18,2026-07-07,2026-07-21,14,28,0,21932,260,0.011854824001459055,28,232,462966.0,3317.0
san-diego,all_listings,2026-06,2026-07,2026-06-27,2026-07-21,2026-07-02,2026-07-23,21,24,0,13225,449,0.03395085066162571,157,292,192420.0,4842.0
san-diego,reviewed_str_homes,2026-06,2026-07,2026-06-27,2026-07-21,2026-07-02,2026-07-23,21,24,0,7263,209,0.028775987883794575,89,120,165617.0,3346.0
sydney,all_listings,2026-06,2026-07,2026-06-16,2026-07-15,2026-06-29,2026-07-15,16,29,0,20573,764,0.0371360521071307,66,698,217964.0,4391.0
sydney,reviewed_str_homes,2026-06,2026-07,2026-06-16,2026-07-15,2026-06-29,2026-07-15,16,29,0,11581,334,0.028840341939383472,36,298,182248.0,3417.0
austin,all_listings,2026-07,2026-08,2026-07-18,2026-08-25,2026-07-19,2026-08-30,42,38,0,11172,635,0.056838524883637664,,,136834.0,5416.0
austin,reviewed_str_homes,2026-07,2026-08,2026-07-18,2026-08-25,2026-07-19,2026-08-30,42,38,0,6535,333,0.05095638867635807,,,124167.0,4747.0
barcelona,all_listings,2026-07,2026-08,2026-07-16,2026-08-23,2026-07-19,2026-08-29,41,38,0,15777,637,0.040375229764847566,,,204982.0,3215.0
barcelona,reviewed_str_homes,2026-07,2026-08,2026-07-16,2026-08-23,2026-07-19,2026-08-29,41,38,0,5914,101,0.017078119715928305,,,167729.0,1738.0
chicago,all_listings,2026-07,2026-08,2026-07-20,2026-08-27,2026-07-21,2026-08-30,40,38,0,8698,350,0.04023913543343297,,,128026.0,3265.0
chicago,reviewed_str_homes,2026-07,2026-08,2026-07-20,2026-08-27,2026-07-21,2026-08-30,40,38,0,4271,140,0.032779208616249125,,,104436.0,2397.0
london,all_listings,2026-07,2026-08,2026-07-16,2026-08-18,2026-07-23,2026-08-30,38,33,0,91965,4556,0.049540586092535206,,,571751.0,24253.0
london,reviewed_str_homes,2026-07,2026-08,2026-07-16,2026-08-18,2026-07-23,2026-08-30,38,33,0,33432,2132,0.06377123713807131,,,368186.0,17373.0
los-angeles,all_listings,2026-07,2026-08,2026-07-12,2026-08-10,2026-07-14,2026-08-21,38,29,0,43805,2194,0.05008560666590572,,,378400.0,12038.0
los-angeles,reviewed_str_homes,2026-07,2026-08,2026-07-12,2026-08-10,2026-07-14,2026-08-21,38,29,0,14007,735,0.05247376311844078,,,291655.0,8899.0
mexico-city,all_listings,2026-07,2026-08,2026-07-14,2026-08-30,2026-07-15,2026-09-03,50,47,0,31244,2038,0.0652285238765843,,,494584.0,15138.0
mexico-city,reviewed_str_homes,2026-07,2026-08,2026-07-14,2026-08-30,2026-07-15,2026-09-03,50,47,0,16706,906,0.05423201245061655,,,374477.0,11264.0
nashville,all_listings,2026-07,2026-08,2026-07-21,2026-08-27,2026-07-21,2026-08-30,40,37,0,10173,462,0.045414332055440876,,,177618.0,4685.0
nashville,reviewed_str_homes,2026-07,2026-08,2026-07-21,2026-08-27,2026-07-21,2026-08-30,40,37,0,7011,284,0.04050777349878762,,,166042.0,4115.0
new-orleans,all_listings,2026-07,2026-08,2026-07-15,2026-08-15,2026-07-15,2026-08-27,43,31,0,7205,195,0.027064538514920196,,,85899.0,2032.0
new-orleans,reviewed_str_homes,2026-07,2026-08,2026-07-15,2026-08-15,2026-07-15,2026-08-27,43,31,0,2994,97,0.03239812959251837,,,66713.0,1664.0
new-york-city,all_listings,2026-07,2026-08,2026-07-12,2026-08-10,2026-07-13,2026-08-21,39,29,0,30096,974,0.03236310473152578,,,133791.0,3546.0
new-york-city,reviewed_str_homes,2026-07,2026-08,2026-07-12,2026-08-10,2026-07-13,2026-08-21,39,29,0,1537,65,0.04229017566688354,,,42786.0,1789.0
paris,all_listings,2026-07,2026-08,2026-07-15,2026-08-15,2026-07-22,2026-08-29,38,31,0,78071,2336,0.02992148172817051,,,553739.0,16455.0
paris,reviewed_str_homes,2026-07,2026-08,2026-07-15,2026-08-15,2026-07-22,2026-08-29,38,31,0,33404,1184,0.035444856903364866,,,457590.0,14098.0
rome,all_listings,2026-07,2026-08,2026-07-18,2026-08-25,2026-07-21,2026-08-31,41,38,0,37151,667,0.017953756291889854,,,567275.0,5340.0
rome,reviewed_str_homes,2026-07,2026-08,2026-07-18,2026-08-25,2026-07-21,2026-08-31,41,38,0,21894,341,0.015575043390883347,,,465920.0,4404.0
san-diego,all_listings,2026-07,2026-08,2026-07-21,2026-08-29,2026-07-23,2026-08-30,38,39,0,13192,534,0.04047907822922984,,,191180.0,5739.0
san-diego,reviewed_str_homes,2026-07,2026-08,2026-07-21,2026-08-29,2026-07-23,2026-08-30,38,39,0,7219,249,0.03449231195456434,,,164413.0,4683.0
sydney,all_listings,2026-07,2026-08,2026-07-15,2026-08-15,2026-07-15,2026-08-28,44,31,0,20736,956,0.04610339506172839,,,217539.0,4864.0
sydney,reviewed_str_homes,2026-07,2026-08,2026-07-15,2026-08-15,2026-07-15,2026-08-28,44,31,0,11633,432,0.03713573454826786,,,181894.0,3907.0
