market,cohort,baseline_vintage,first_missing_vintage,first_missing_complete,followup_vintage,followup_complete,negative_excluded,baseline_ids,january_missing,cumulative_reobserved,newly_reobserved,return_share,never_reobserved_yet
toronto,all_listings,2025-12-12,2026-01-16,2026-01-17,2026-02-17,2026-02-18,False,21602,6840,1007,1007,0.14722222222222223,5833
toronto,reviewed_str_homes,2025-12-12,2026-01-16,2026-01-17,2026-02-17,2026-02-18,False,6948,1025,348,348,0.33951219512195124,677
toronto,all_listings,2025-12-12,2026-01-16,2026-01-17,2026-03-19,2026-03-20,False,21602,6840,1094,87,0.15994152046783625,5746
toronto,reviewed_str_homes,2025-12-12,2026-01-16,2026-01-17,2026-03-19,2026-03-20,False,6948,1025,396,48,0.38634146341463416,629
toronto,all_listings,2025-12-12,2026-01-16,2026-01-17,2026-04-18,2026-04-18,True,21602,6840,1165,71,0.1703216374269006,5675
toronto,reviewed_str_homes,2025-12-12,2026-01-16,2026-01-17,2026-04-18,2026-04-18,True,6948,1025,436,40,0.4253658536585366,589
toronto,all_listings,2025-12-12,2026-01-16,2026-01-17,2026-05-23,2026-06-04,False,21602,6840,1224,59,0.17894736842105263,5616
toronto,reviewed_str_homes,2025-12-12,2026-01-16,2026-01-17,2026-05-23,2026-06-04,False,6948,1025,465,29,0.45365853658536587,560
toronto,all_listings,2025-12-12,2026-01-16,2026-01-17,2026-06-15,2026-06-28,False,21602,6840,4738,3514,0.6926900584795321,2102
toronto,reviewed_str_homes,2025-12-12,2026-01-16,2026-01-17,2026-06-15,2026-06-28,False,6948,1025,726,261,0.7082926829268292,299
toronto,all_listings,2025-12-12,2026-01-16,2026-01-17,2026-07-14,2026-07-16,False,21602,6840,4762,24,0.6961988304093567,2078
toronto,reviewed_str_homes,2025-12-12,2026-01-16,2026-01-17,2026-07-14,2026-07-16,False,6948,1025,730,4,0.7121951219512195,295
vaud,all_listings,2025-12-11,2026-01-15,2026-01-15,2026-02-13,2026-02-13,False,5519,1855,1648,1648,0.8884097035040431,207
vaud,reviewed_str_homes,2025-12-11,2026-01-15,2026-01-15,2026-02-13,2026-02-13,False,2122,305,232,232,0.760655737704918,73
vaud,all_listings,2025-12-11,2026-01-15,2026-01-15,2026-03-16,2026-03-17,False,5519,1855,1657,9,0.8932614555256064,198
vaud,reviewed_str_homes,2025-12-11,2026-01-15,2026-01-15,2026-03-16,2026-03-17,False,2122,305,239,7,0.7836065573770492,66
vaud,all_listings,2025-12-11,2026-01-15,2026-01-15,2026-04-14,2026-04-15,False,5519,1855,1657,0,0.8932614555256064,198
vaud,reviewed_str_homes,2025-12-11,2026-01-15,2026-01-15,2026-04-14,2026-04-15,False,2122,305,239,0,0.7836065573770492,66
vaud,all_listings,2025-12-11,2026-01-15,2026-01-15,2026-05-23,2026-06-06,False,5519,1855,1663,6,0.8964959568733154,192
vaud,reviewed_str_homes,2025-12-11,2026-01-15,2026-01-15,2026-05-23,2026-06-06,False,2122,305,243,4,0.7967213114754098,62
vaud,all_listings,2025-12-11,2026-01-15,2026-01-15,2026-06-15,2026-06-22,False,5519,1855,1666,3,0.8981132075471698,189
vaud,reviewed_str_homes,2025-12-11,2026-01-15,2026-01-15,2026-06-15,2026-06-22,False,2122,305,244,1,0.8,61
vaud,all_listings,2025-12-11,2026-01-15,2026-01-15,2026-07-12,2026-07-12,False,5519,1855,1669,3,0.8997304582210243,186
vaud,reviewed_str_homes,2025-12-11,2026-01-15,2026-01-15,2026-07-12,2026-07-12,False,2122,305,244,0,0.8,61
new-zealand,all_listings,2025-12-11,2026-01-16,2026-01-24,2026-02-13,2026-02-16,False,49899,5296,1323,1323,0.24981117824773413,3973
new-zealand,reviewed_str_homes,2025-12-11,2026-01-16,2026-01-24,2026-02-13,2026-02-16,False,33585,2818,734,734,0.2604684173172463,2084
new-zealand,all_listings,2025-12-11,2026-01-16,2026-01-24,2026-03-17,2026-03-23,False,49899,5296,1679,356,0.3170317220543807,3617
new-zealand,reviewed_str_homes,2025-12-11,2026-01-16,2026-01-24,2026-03-17,2026-03-23,False,33585,2818,939,205,0.33321504613200853,1879
new-zealand,all_listings,2025-12-11,2026-01-16,2026-01-24,2026-04-16,2026-04-22,False,49899,5296,1854,175,0.35007552870090636,3442
new-zealand,reviewed_str_homes,2025-12-11,2026-01-16,2026-01-24,2026-04-16,2026-04-22,False,33585,2818,1034,95,0.36692689850958127,1784
new-zealand,all_listings,2025-12-11,2026-01-16,2026-01-24,2026-05-23,2026-06-03,False,49899,5296,1991,137,0.37594410876132933,3305
new-zealand,reviewed_str_homes,2025-12-11,2026-01-16,2026-01-24,2026-05-23,2026-06-03,False,33585,2818,1118,84,0.39673527324343505,1700
new-zealand,all_listings,2025-12-11,2026-01-16,2026-01-24,2026-06-19,2026-06-23,False,49899,5296,3406,1415,0.6431268882175226,1890
new-zealand,reviewed_str_homes,2025-12-11,2026-01-16,2026-01-24,2026-06-19,2026-06-23,False,33585,2818,1875,757,0.6653655074520937,943
new-zealand,all_listings,2025-12-11,2026-01-16,2026-01-24,2026-07-12,2026-07-16,False,49899,5296,3428,22,0.6472809667673716,1868
new-zealand,reviewed_str_homes,2025-12-11,2026-01-16,2026-01-24,2026-07-12,2026-07-16,False,33585,2818,1887,12,0.669623846699787,931
