window,selection,side,horizon_days,n_signals,n_executable_returns,mean_pct,ci_lo_pct,ci_hi_pct
W1,all_nonzero_signals,positive,1,0,0,,,
W1,all_nonzero_signals,positive,5,0,0,,,
W1,all_nonzero_signals,positive,20,0,0,,,
W1,all_nonzero_signals,negative,1,0,0,,,
W1,all_nonzero_signals,negative,5,0,0,,,
W1,all_nonzero_signals,negative,20,0,0,,,
W1,all_nonzero_signals,signed_pooled,1,0,0,,,
W1,all_nonzero_signals,signed_pooled,5,0,0,,,
W1,all_nonzero_signals,signed_pooled,20,0,0,,,
W1,abs_signal_gt_1pp,positive,1,0,0,,,
W1,abs_signal_gt_1pp,positive,5,0,0,,,
W1,abs_signal_gt_1pp,positive,20,0,0,,,
W1,abs_signal_gt_1pp,negative,1,0,0,,,
W1,abs_signal_gt_1pp,negative,5,0,0,,,
W1,abs_signal_gt_1pp,negative,20,0,0,,,
W1,abs_signal_gt_1pp,signed_pooled,1,0,0,,,
W1,abs_signal_gt_1pp,signed_pooled,5,0,0,,,
W1,abs_signal_gt_1pp,signed_pooled,20,0,0,,,
W2,all_nonzero_signals,positive,1,0,0,,,
W2,all_nonzero_signals,positive,5,0,0,,,
W2,all_nonzero_signals,positive,20,0,0,,,
W2,all_nonzero_signals,negative,1,0,0,,,
W2,all_nonzero_signals,negative,5,0,0,,,
W2,all_nonzero_signals,negative,20,0,0,,,
W2,all_nonzero_signals,signed_pooled,1,0,0,,,
W2,all_nonzero_signals,signed_pooled,5,0,0,,,
W2,all_nonzero_signals,signed_pooled,20,0,0,,,
W2,abs_signal_gt_1pp,positive,1,0,0,,,
W2,abs_signal_gt_1pp,positive,5,0,0,,,
W2,abs_signal_gt_1pp,positive,20,0,0,,,
W2,abs_signal_gt_1pp,negative,1,0,0,,,
W2,abs_signal_gt_1pp,negative,5,0,0,,,
W2,abs_signal_gt_1pp,negative,20,0,0,,,
W2,abs_signal_gt_1pp,signed_pooled,1,0,0,,,
W2,abs_signal_gt_1pp,signed_pooled,5,0,0,,,
W2,abs_signal_gt_1pp,signed_pooled,20,0,0,,,
