window,prior_basis,signal,horizon_days,n_pairs,n_strong,mean_excess_pct,mean_signal_aligned_excess_pct,sign_hits,corr
W1,PIT,s1_pct,20,11,9,-1.6740018598978053,-0.44253850835649466,5,0.01563853647400472
W1,PIT,s1_pct,60,11,9,-0.9294330898557983,-0.03297494950286693,4,-0.13847952189514776
W1,PIT,t_pct,20,2,2,-1.53338154765536,-2.5204520796866023,0,
W1,PIT,t_pct,60,2,2,-2.653106344865163,7.773510330903287,2,
W2,PIT,s1_pct,20,9,7,-1.3032314452928122,-0.9833468154591628,4,-0.05154814792586559
W2,PIT,s1_pct,60,9,7,-3.646819395697108,-1.2524545245781755,3,-0.03991072695360413
W2,PIT,t_pct,20,2,2,-1.53338154765536,-2.5204520796866023,0,
W2,PIT,t_pct,60,2,2,-2.653106344865163,7.773510330903287,2,
W1,full_sample,s1_pct,20,13,10,-2.487709694520078,-2.4535761774048823,3,-0.2572230594356388
W1,full_sample,s1_pct,60,13,10,-3.9197269882440886,-3.2011073227305773,4,-0.3424051318578877
W1,full_sample,t_pct,20,2,2,-1.53338154765536,-2.5204520796866023,0,
W1,full_sample,t_pct,60,2,2,-2.653106344865163,7.773510330903287,2,
W2,full_sample,s1_pct,20,9,6,-0.21911742094802822,-0.16222822575603532,3,0.011694209979146634
W2,full_sample,s1_pct,60,9,6,-4.038996941040563,-2.841297498518045,2,0.05466753153633409
W2,full_sample,t_pct,20,2,2,-1.53338154765536,-2.5204520796866023,0,
W2,full_sample,t_pct,60,2,2,-2.653106344865163,7.773510330903287,2,
