window,prior_basis,n_origins,signal,outcome,n_pairs,n_strong,hits,hit_rate,wilson_lo,wilson_hi,corr,corr_lo,corr_hi,valid_bootstrap_draws,sign_permutation_p,corr_permutation_p,positive_revisions,zero_revisions,negative_revisions
W1,PIT,14,s1_pct,revision_pct,11,9,5,0.5555555555555556,0.26665129349549305,0.8112214789023355,0.6872448279935223,-0.35683592800277164,0.9556347700529692,10000,0.1553844615538446,0.016998300169983,5,4,2
W1,PIT,14,t_pct,revision_pct,2,2,1,0.5,0.09453120573423074,0.9054687942657693,,,,0,1.0,,2,0,0
W1,PIT,14,t_pct,fy_bucket_change,2,2,1,0.5,0.09453120573423074,0.9054687942657693,,,,0,1.0,,2,0,0
W2,PIT,10,s1_pct,revision_pct,9,7,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,0.6705295275660806,-0.6200197642586182,0.9630303728680982,9999,0.28947105289471053,0.0448955104489551,5,3,1
W2,PIT,10,t_pct,revision_pct,2,2,1,0.5,0.09453120573423074,0.9054687942657693,,,,0,1.0,,2,0,0
W2,PIT,10,t_pct,fy_bucket_change,2,2,1,0.5,0.09453120573423074,0.9054687942657693,,,,0,1.0,,2,0,0
W1,full_sample,14,s1_pct,revision_pct,13,10,6,0.6,0.31267376973365824,0.8318196702937638,0.8532116531741378,0.5388804587572655,0.9140901014414499,10000,0.29547045295470453,0.00039996000399960006,7,4,2
W1,full_sample,14,t_pct,revision_pct,2,2,1,0.5,0.09453120573423074,0.9054687942657693,,,,0,1.0,,2,0,0
W1,full_sample,14,t_pct,fy_bucket_change,2,2,1,0.5,0.09453120573423074,0.9054687942657693,,,,0,1.0,,2,0,0
W2,full_sample,10,s1_pct,revision_pct,9,6,4,0.6666666666666666,0.299993315138392,0.9032285888942195,0.8337589695786217,-0.19694788799853044,0.9609517536111867,9999,0.22347765223477653,0.0040995900409959,5,3,1
W2,full_sample,10,t_pct,revision_pct,2,2,1,0.5,0.09453120573423074,0.9054687942657693,,,,0,1.0,,2,0,0
W2,full_sample,10,t_pct,fy_bucket_change,2,2,1,0.5,0.09453120573423074,0.9054687942657693,,,,0,1.0,,2,0,0
