listing_id,city,country,eea_flag,checkin,checkout,nights,nightly_price,cleaning_fee,service_fee,taxes,total,currency,captured_at,parse_status,http_status,bytes,stay_window,room_type,bedroom_bucket,host_class,notes,original_total,host_added_fees,search_offset,title,line_items
1280495530907782123,new-orleans,United States,0,2026-11-13,2026-11-16,3,165.91,,,,498.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Hotel room,,,,,,0,Hotel room in Central Business District,3 nights x $165.91=$497.73
31118819,new-orleans,United States,0,2026-11-13,2026-11-16,3,181.07,,,,544.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Apartment,,,,,,0,Apartment in Lower Garden District,3 nights x $181.07=$543.20
1737047288024278158,new-orleans,United States,0,2026-11-13,2026-11-16,3,336.45,,,,1009.36,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Memoir Warehouse District - New Orleans,,,,,75.0,0,Memoir Warehouse District - New Orleans,"3 nights x $336.45=$1,009.36 | Resort fee=$75.00"
23044461,new-orleans,United States,0,2026-11-13,2026-11-16,3,160.33,,,,481.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Apartment,,,,593.0,,0,Apartment in Treme - Lafitte,3 nights x $160.33=$481.00
914581,new-orleans,United States,0,2026-11-13,2026-11-16,3,168.33,,,,505.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Room,,,,,,0,Room in Garden District,3 nights x $168.33=$505.00
1721867313453716437,new-orleans,United States,0,2026-11-13,2026-11-16,3,296.62,,,,743.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Room,,,,890.0,,0,Room in Warehouse District,3 nights x $296.62=$889.87 | Early booking discount=-$147.20 | Price after discount=$742.67
885492812353862938,new-orleans,United States,0,2026-11-13,2026-11-16,3,174.33,,,,523.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Home,,,,,,0,Home in New Orleans,3 nights x $174.33=$523.00
26522514,new-orleans,United States,0,2026-11-13,2026-11-16,3,162.0,,,,486.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Guest suite,,,,549.0,,0,Guest suite in Uptown and Carrollton,3 nights x $162.00=$486.00
53310518,new-orleans,United States,0,2026-11-13,2026-11-16,3,236.67,,,,710.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Apartment,,,,,,0,Apartment in Marigny,3 nights x $236.67=$710.00
8758731,new-orleans,United States,0,2026-11-13,2026-11-16,3,189.44,,,,569.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Apartment,,,,640.0,,0,Apartment in Uptown and Carrollton,3 nights x $189.44=$568.31
50260266,new-orleans,United States,0,2026-11-13,2026-11-16,3,178.67,,,,536.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Guest suite,,,,602.0,,0,Guest suite in Algiers Point,3 nights x $178.67=$536.00
49460940,new-orleans,United States,0,2026-11-13,2026-11-16,3,181.0,,,,543.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Loft,,,,629.0,,0,Loft in Mid-city,3 nights x $181.00=$543.00
1618171560955525864,new-orleans,United States,0,2026-11-13,2026-11-16,3,279.33,,,,838.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Hotel St. Pierre,,,,,,0,Hotel St. Pierre,3 nights x $279.33=$838.00
1451725408603471378,new-orleans,United States,0,2026-11-13,2026-11-16,3,150.0,,,,416.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Apartment,,,,,,0,Apartment in Treme - Lafitte,3 nights x $150.00=$450.00 | Long stay discount=-$34.00 | Price after discount=$416.00
1740610755380375117,new-orleans,United States,0,2026-11-13,2026-11-16,3,259.21,,,,777.62,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Roami at Canal Quarters,,,,,,0,Roami at Canal Quarters,3 nights x $259.21=$777.62
22146341,new-orleans,United States,0,2026-11-13,2026-11-16,3,134.33,,,,403.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Apartment,,,,857.0,,0,Apartment in New Orleans,3 nights x $134.33=$403.00
20943443,new-orleans,United States,0,2026-11-13,2026-11-16,3,255.24,,,,766.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Apartment,,,,1028.0,,0,Apartment in Central Business District,3 nights x $255.24=$765.73
42133326,new-orleans,United States,0,2026-11-13,2026-11-16,3,160.67,,,,482.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Apartment,,,,543.0,,0,Apartment in Bayou St. John,3 nights x $160.67=$482.00
1348536922251563949,new-orleans,United States,0,2026-11-13,2026-11-16,3,199.0,,,,597.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Alder Hotel Uptown New Orleans,,,,,,0,Alder Hotel Uptown New Orleans,3 nights x $199.00=$597.00
1624633384226619216,new-orleans,United States,0,2026-11-13,2026-11-16,3,217.03,,,,651.1,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Maison Saint Charles Hotel & Suites,,,,,,0,Maison Saint Charles Hotel & Suites,3 nights x $217.03=$651.10
1691317717708855142,new-orleans,United States,0,2026-11-13,2026-11-16,3,96.33,,,,289.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Federal City Inn & Suites,,,,,,0,Federal City Inn & Suites,3 nights x $96.33=$289.00
1713980093418626987,new-orleans,United States,0,2026-11-13,2026-11-16,3,265.87,,,,797.6,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,The Riverfront Hotel New Orleans,,,,,86.25,0,The Riverfront Hotel New Orleans,3 nights x $265.87=$797.60 | Resort fee=$86.25
1039883263082085361,new-orleans,United States,0,2026-11-13,2026-11-16,3,224.16,,,,672.48,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,Loft 523,,,,,54.0,0,Loft 523,3 nights x $224.16=$672.48 | Resort fee=$54.00
1599951335724385663,new-orleans,United States,0,2026-11-13,2026-11-16,3,242.33,,,,727.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,French Market Inn,,,,,,0,French Market Inn,3 nights x $242.33=$727.00
1120938545290764514,new-orleans,United States,0,2026-11-13,2026-11-16,3,249.0,,,,747.0,USD,2026-09-11T20:03:41+00:00,ok,200,1052981,W1,New Orleans Courtyard Hotel,,,,,,0,New Orleans Courtyard Hotel,3 nights x $249.00=$747.00
