path,quarter,basket_lag0_pct,basket_lag1_pct,basket_lag2_pct,phi_driver_pct,point_phi_basket_fitted_scale_pp,point_phi_basket_scale_0.851_pp,point_phi_adrfx_pp,point_free_fit_stated_pp,cs_interval_lo_pp,cs_interval_hi_pp,cs_interval_p05_pp,cs_interval_p95_pp,band80_lo_pp,band80_hi_pp,fx_data_through,note
spot_held,3Q26,0.595,2.266,5.673,3.402,2.22,2.89,2.89,1.26,0.33,3.49,0.86,3.01,0.9,3.54,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
spot_held,4Q26,1.349,0.595,2.266,1.152,0.75,0.98,0.93,0.89,0.31,2.16,0.6,1.83,-0.56,2.07,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
spot_held,1Q27,0.414,1.349,0.595,1.098,0.72,0.93,0.88,0.69,0.22,1.21,0.37,1.03,-0.6,2.03,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
spot_held,2Q27,0.339,0.414,1.349,0.726,0.47,0.62,0.56,0.34,0.17,0.95,0.27,0.8,-0.84,1.79,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
spot_held,3Q27,0.496,0.339,0.414,0.364,0.24,0.31,0.24,0.36,0.17,0.6,0.24,0.55,-1.08,1.55,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
spot_held,4Q27,0.0,0.496,0.339,0.444,0.29,0.38,0.31,0.19,0.0,0.42,0.06,0.35,-1.03,1.61,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_weak_+1sd,3Q26,1.415,2.266,5.673,3.402,2.22,2.89,2.89,1.63,0.75,4.0,1.25,3.45,0.9,3.54,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_weak_+1sd,4Q26,4.367,1.415,2.266,1.698,1.11,1.45,1.4,2.54,0.74,4.78,1.41,4.2,-0.21,2.43,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_weak_+1sd,1Q27,3.385,4.367,1.415,3.383,2.21,2.88,2.87,3.14,1.5,4.68,1.91,4.18,0.89,3.53,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_weak_+1sd,2Q27,3.306,3.385,4.367,3.712,2.42,3.16,3.16,2.84,1.5,4.73,2.04,4.35,1.11,3.74,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_weak_+1sd,3Q27,2.623,3.306,3.385,3.332,2.18,2.84,2.83,2.48,1.31,3.81,1.75,3.59,0.86,3.49,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_weak_+1sd,4Q27,0.0,2.623,3.306,2.851,1.86,2.43,2.41,1.05,0.0,2.28,0.44,2.07,0.55,3.18,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_strong_-1sd,3Q26,-0.225,2.266,5.673,3.402,2.22,2.89,2.89,0.9,-0.2,3.04,0.38,2.63,0.9,3.54,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_strong_-1sd,4Q26,-1.669,-0.225,2.266,0.606,0.4,0.52,0.45,-0.76,-1.54,0.46,-1.17,0.22,-0.92,1.71,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_strong_-1sd,1Q27,-2.557,-1.669,-0.225,-1.187,-0.78,-1.01,-1.11,-1.76,-2.68,-0.82,-2.43,-1.0,-2.09,0.54,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_strong_-1sd,2Q27,-2.628,-2.557,-1.669,-2.261,-1.48,-1.92,-2.05,-2.16,-3.16,-1.16,-2.97,-1.43,-2.79,-0.16,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
usd_strong_-1sd,3Q27,-1.691,-2.628,-2.557,-2.604,-1.7,-2.22,-2.35,-1.79,-2.74,-0.89,-2.59,-1.24,-3.02,-0.38,2026-09-04,"point = Phi kernel (0, 2/3, 1/3) at the scale fitted to the Phi shape on the stated series; interval = the Object-A 95% confidence set pushed through the same baskets"
