method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
gbv-decision-0915-v1,fixed-p4-revenue,revenue_musd,2023Q1,2022-05-03,3,2542.9584166544946,2542.9584166544946,W1,PIT,4,2,,,,,,,,,,,,,,,2022-05-03,frozen_fixed_p_plus_4_guide_race_v1,Research only; not promoted. Historical points use prior release dates; LIVE calculation uses September15 with company information through August6. Shared trailing-eight mean cushion where applicable. Simple growth rules fit no regression and report n_train=0; source anchors are separately recorded. q50 is point-format placeholder; no calibrated distribution. Cohort dollars are model allocations. Use local same-origin comparisons because frozen scorer baseline join omits forecast origin.,1.1
gbv-decision-0915-v1,fixed-p4-revenue,revenue_musd,2023Q2,2022-08-02,3,2773.170431214418,2773.170431214418,W1,PIT,4,2,,,,,,,,,,,,,,,2022-08-02,frozen_fixed_p_plus_4_guide_race_v1,Research only; not promoted. Historical points use prior release dates; LIVE calculation uses September15 with company information through August6. Shared trailing-eight mean cushion where applicable. Simple growth rules fit no regression and report n_train=0; source anchors are separately recorded. q50 is point-format placeholder; no calibrated distribution. Cohort dollars are model allocations. Use local same-origin comparisons because frozen scorer baseline join omits forecast origin.,1.1
gbv-decision-0915-v1,fixed-p4-revenue,revenue_musd,2023Q3,2022-11-01,3,3891.033483425281,3891.033483425281,W1,PIT,4,2,,,,,,,,,,,,,,,2022-11-01,frozen_fixed_p_plus_4_guide_race_v1,Research only; not promoted. Historical points use prior release dates; LIVE calculation uses September15 with company information through August6. Shared trailing-eight mean cushion where applicable. Simple growth rules fit no regression and report n_train=0; source anchors are separately recorded. q50 is point-format placeholder; no calibrated distribution. Cohort dollars are model allocations. Use local same-origin comparisons because frozen scorer baseline join omits forecast origin.,1.1
gbv-decision-0915-v1,fixed-p4-revenue,revenue_musd,2023Q4,2023-02-14,3,2313.3793295941805,2313.3793295941805,W1,PIT,4,2,,,,,,,,,,,,,,,2023-02-14,frozen_fixed_p_plus_4_guide_race_v1,Research only; not promoted. Historical points use prior release dates; LIVE calculation uses September15 with company information through August6. Shared trailing-eight mean cushion where applicable. Simple growth rules fit no regression and report n_train=0; source anchors are separately recorded. q50 is point-format placeholder; no calibrated distribution. Cohort dollars are model allocations. Use local same-origin comparisons because frozen scorer baseline join omits forecast origin.,1.1
gbv-decision-0915-v1,fixed-p4-revenue,revenue_musd,2024Q1,2023-05-09,3,2196.6767233027167,2196.6767233027167,W1,PIT,4,3,,,,,,,,,,,,,,,2023-05-09,frozen_fixed_p_plus_4_guide_race_v1,Research only; not promoted. Historical points use prior release dates; LIVE calculation uses September15 with company information through August6. Shared trailing-eight mean cushion where applicable. Simple growth rules fit no regression and report n_train=0; source anchors are separately recorded. q50 is point-format placeholder; no calibrated distribution. Cohort dollars are model allocations. Use local same-origin comparisons because frozen scorer baseline join omits forecast origin.,1.1
gbv-decision-0915-v1,fixed-p4-revenue,revenue_musd,2024Q1,2023-05-09,3,2196.6767233027167,2196.6767233027167,W2,PIT,4,3,,,,,,,,,,,,,,,2023-05-09,frozen_fixed_p_plus_4_guide_race_v1,Research only; not promoted. Historical points use prior release dates; LIVE calculation uses September15 with company information through August6. Shared trailing-eight mean cushion where applicable. Simple growth rules fit no regression and report n_train=0; source anchors are separately recorded. q50 is point-format placeholder; no calibrated distribution. Cohort dollars are model allocations. Use local same-origin comparisons because frozen scorer baseline join omits forecast origin.,1.1
gbv-decision-0915-v1,fixed-p4-revenue,revenue_musd,2024Q2,2023-08-03,3,2860.445262679413,2860.445262679413,W1,PIT,4,3,,,,,,,,,,,,,,,2023-08-03,frozen_fixed_p_plus_4_guide_race_v1,Research only; not promoted. Historical points use prior release dates; LIVE calculation uses September15 with company information through August6. Shared trailing-eight mean cushion where applicable. Simple growth rules fit no regression and report n_train=0; source anchors are separately recorded. q50 is point-format placeholder; no calibrated distribution. Cohort dollars are model allocations. Use local same-origin comparisons because frozen scorer baseline join omits forecast origin.,1.1
gbv-decision-0915-v1,fixed-p4-revenue,revenue_musd,2024Q2,2023-08-03,3,2860.445262679413,2860.445262679413,W2,PIT,4,3,,,,,,,,,,,,,,,2023-08-03,frozen_fixed_p_plus_4_guide_race_v1,Research only; not promoted. Historical points use prior release dates; LIVE calculation uses September15 with company information through August6. Shared trailing-eight mean cushion where applicable. Simple growth rules fit no regression and report n_train=0; source anchors are separately recorded. q50 is point-format placeholder; no calibrated distribution. Cohort dollars are model allocations. Use local same-origin comparisons because frozen scorer baseline join omits forecast origin.,1.1
gbv-decision-0915-v1,fixed-p4-revenue,revenue_musd,2024Q3,2023-11-01,3,3985.039862663783,3985.039862663783,W1,PIT,4,3,,,,,,,,,,,,,,,2023-11-01,frozen_fixed_p_plus_4_guide_race_v1,Research only; not promoted. Historical points use prior release dates; LIVE calculation uses September15 with company information through August6. Shared trailing-eight mean cushion where applicable. Simple growth rules fit no regression and report n_train=0; source anchors are separately recorded. q50 is point-format placeholder; no calibrated distribution. Cohort dollars are model allocations. Use local same-origin comparisons because frozen scorer baseline join omits forecast origin.,1.1
gbv-decision-0915-v1,fixed-p4-revenue,revenue_musd,2024Q3,2023-11-01,3,3985.039862663783,3985.039862663783,W2,PIT,4,3,,,,,,,,,,,,,,,2023-11-01,frozen_fixed_p_plus_4_guide_race_v1,Research only; not promoted. Historical points use prior release dates; LIVE calculation uses September15 with company information through August6. Shared trailing-eight mean cushion where applicable. Simple growth rules fit no regression and report n_train=0; source anchors are separately recorded. q50 is point-format placeholder; no calibrated distribution. Cohort dollars are model allocations. Use local same-origin comparisons because frozen scorer baseline join omits forecast origin.,1.1
