origin_date,last_reported_quarter,last_company_publication,target,quarter,year,horizon_quarters,guide_announcements_ahead,is_live,guide_event_date,actual_revenue_musd,actual_guide_mid_musd,cushion_pct,cushion_divisor,n_cushion,knowable_from,coefficient_information_date,point_in_time_eligible,oracle_future_information_used,predictive_interval,model,anchor_quarter,value_musd,source_publication,source_type
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,2022-11-01,True,False,not_calculated,revenue_growth,2021Q3,2237.0,2021-11-04,reported_revenue
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,2022-11-01,True,False,not_calculated,revenue_growth,2022Q1,1509.0,2022-05-03,reported_revenue
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,2022-11-01,True,False,not_calculated,revenue_growth,2022Q3,2884.0,2022-11-01,reported_revenue
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,2022-11-01,True,False,not_calculated,guide_growth,2021Q4,1435.0,2021-11-04,initial_issued_guide
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,2022-11-01,True,False,not_calculated,guide_growth,2022Q1,1445.0,2022-02-15,initial_issued_guide
2022-11-01,2022Q3,2022-11-01,2023Q1,2023Q1,2023,2,1,False,2023-02-14,1818.0,1785.0,3.5626552469511132,1.0356265524695112,4,2022-11-01,2022-11-01,True,False,not_calculated,guide_growth,2022Q4,1840.0,2022-11-01,initial_issued_guide
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,2023-02-14,True,False,not_calculated,revenue_growth,2021Q4,1532.0,2022-02-15,reported_revenue
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,2023-02-14,True,False,not_calculated,revenue_growth,2022Q2,2104.0,2022-08-02,reported_revenue
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,2023-02-14,True,False,not_calculated,revenue_growth,2022Q4,1902.0,2023-02-14,reported_revenue
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,2023-02-14,True,False,not_calculated,guide_growth,2022Q1,1445.0,2022-02-15,initial_issued_guide
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,2023-02-14,True,False,not_calculated,guide_growth,2022Q2,2080.0,2022-05-03,initial_issued_guide
2023-02-14,2022Q4,2023-02-14,2023Q2,2023Q2,2023,2,1,False,2023-05-09,2484.0,2400.0,3.5240372410391534,1.0352403724103916,5,2023-02-14,2023-02-14,True,False,not_calculated,guide_growth,2023Q1,1785.0,2023-02-14,initial_issued_guide
2023-05-09,2023Q1,2023-05-09,2023Q3,2023Q3,2023,2,1,False,2023-08-03,3397.0,3350.0,3.2448209501656797,1.0324482095016567,6,2023-05-09,2023-05-09,True,False,not_calculated,revenue_growth,2022Q1,1509.0,2022-05-03,reported_revenue
2023-05-09,2023Q1,2023-05-09,2023Q3,2023Q3,2023,2,1,False,2023-08-03,3397.0,3350.0,3.2448209501656797,1.0324482095016567,6,2023-05-09,2023-05-09,True,False,not_calculated,revenue_growth,2022Q3,2884.0,2022-11-01,reported_revenue
