check,passed
future values and future guide poison invariant 2023-08-03/2,True
future KPI deletion invariant 2023-08-03/2,True
future values and future guide poison invariant 2023-08-03/3,True
future KPI deletion invariant 2023-08-03/3,True
future values and future guide poison invariant 2023-08-03/4,True
future KPI deletion invariant 2023-08-03/4,True
known guide positive control 2023-08-03,True
known GBV positive control 2023-08-03,True
future values and future guide poison invariant 2024-02-13/2,True
future KPI deletion invariant 2024-02-13/2,True
future values and future guide poison invariant 2024-02-13/3,True
future KPI deletion invariant 2024-02-13/3,True
future values and future guide poison invariant 2024-02-13/4,True
future KPI deletion invariant 2024-02-13/4,True
known guide positive control 2024-02-13,True
known GBV positive control 2024-02-13,True
future values and future guide poison invariant 2026-09-15/2,True
future KPI deletion invariant 2026-09-15/2,True
future values and future guide poison invariant 2026-09-15/3,True
future KPI deletion invariant 2026-09-15/3,True
future values and future guide poison invariant 2026-09-15/4,True
future KPI deletion invariant 2026-09-15/4,True
known guide positive control 2026-09-15,True
known GBV positive control 2026-09-15,True
out of scope horizon 2026Q3,True
out of scope horizon 2027Q3,True
joint early abstention preserved,True
live all-history train20,True
live GBV statuses,True
live no oracle rows,True
unknown future event date remains blank 2027Q1,True
unknown future event date remains blank 2027Q2,True
