window,signal,outcome,primary_family,eligible_event_ids,signal_sign,n,mean_return_pct,median_return_pct,n_positive_returns,min_return_pct,max_return_pct
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,7,-3.69739984521504,-5.86255397128994,2,-14.3226290029006,12.1356060464267
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,9,0.755752924717944,-0.815386713529698,4,-8.52155008954788,9.09412239722374
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,7,-0.517954249265944,0.150254398025496,4,-6.24751150095134,2.96451468244312
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,9,1.14571464317801,0.820304421449891,7,-4.29274961250571,7.7178790229163
all,published_guide_vs_revenue_consensus_pct,cc_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,7,-4.2083281113438,-7.08958221582955,1,-12.0112841726683,14.0299511932825
all,published_guide_vs_revenue_consensus_pct,cc_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
all,published_guide_vs_revenue_consensus_pct,cc_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,9,1.91023544672158,-0.0358024542799318,4,-8.3614197600845,16.2568408294483
all,published_guide_vs_revenue_consensus_pct,open_5d_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,7,-2.5940171195553,-3.40038357539574,2,-7.1120354954972,4.00860882910625
all,published_guide_vs_revenue_consensus_pct,open_5d_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
all,published_guide_vs_revenue_consensus_pct,open_5d_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,9,1.31124691983002,1.34679202541491,5,-6.06423593767296,10.7491683413522
all,published_guide_vs_revenue_consensus_pct,open_20d_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,7,-4.425498867741,-4.42198887751812,0,-11.8185812582336,-0.170667585575979
all,published_guide_vs_revenue_consensus_pct,open_20d_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
all,published_guide_vs_revenue_consensus_pct,open_20d_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,9,1.25575201043632,0.987070532031242,5,-10.6727483600777,12.8216118654903
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,15,-0.770505546991962,-2.37900550342067,6,-14.3226290029006,12.1356060464267
all,published_guide_vs_implied_guide_pct,session_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
all,published_guide_vs_implied_guide_pct,session_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
all,published_guide_vs_implied_guide_pct,session_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,15,0.171426031490547,0.773785437788543,10,-6.24751150095134,7.7178790229163
all,published_guide_vs_implied_guide_pct,cc_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
all,published_guide_vs_implied_guide_pct,cc_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
all,published_guide_vs_implied_guide_pct,cc_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,15,-0.560554055852646,-1.61078013794216,5,-12.0112841726683,16.2568408294483
all,published_guide_vs_implied_guide_pct,open_5d_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
all,published_guide_vs_implied_guide_pct,open_5d_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
all,published_guide_vs_implied_guide_pct,open_5d_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,15,-0.784911308032905,-1.29800771185294,6,-7.1120354954972,10.7491683413522
all,published_guide_vs_implied_guide_pct,open_20d_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
all,published_guide_vs_implied_guide_pct,open_20d_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
all,published_guide_vs_implied_guide_pct,open_20d_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,15,-1.89585624286906,-3.7588659123144,4,-11.8185812582336,12.8216118654903
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,6,-3.33654082420256,-5.28666661178896,2,-14.3226290029006,12.1356060464267
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,7,0.881078461453474,-0.815386713529698,3,-8.52155008954788,9.09412239722374
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,6,0.163320837166361,0.898039806555573,4,-6.24751150095134,2.96451468244312
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,7,0.311753085936703,0.773785437788543,5,-4.29274961250571,7.7178790229163
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,cc_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,6,-3.2434967780492,-6.11396286709103,1,-12.0112841726683,14.0299511932825
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,cc_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,cc_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,7,1.20898597775963,-0.0358024542799318,3,-8.3614197600845,16.2568408294483
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,open_5d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,6,-2.75392981878867,-4.1900905346478,2,-7.1120354954972,4.00860882910625
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,open_5d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
