window,signal,outcome,primary_family,eligible_event_ids,omission_type,omitted,n,intercept,slope,slope_hc1_se,slope_95_lo,slope_95_hi,slope_hc1_t,slope_hc1_p,r2,n_parameters,status,pearson,pearson_95_lo,pearson_95_hi,spearman,spearman_asymptotic_p
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2022Q2,15,-1.91054733752519,1.24752821679424,0.950564906343438,-0.806042412803615,3.30109884639209,1.31240718910309,0.212082541470478,0.135344347966104,2,descriptive_approximate_HC1_interval,0.367891761209875,-0.17789708309648,0.740585816637723,0.275,0.321211173319377
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2022Q3,15,-2.02968114609289,1.0495628869395,1.01635774522989,-1.14614452960835,3.24527030348734,1.03267072235682,0.320587827081224,0.0923029957633232,2,descriptive_approximate_HC1_interval,0.303814080916805,-0.246869762013786,0.706173293194213,0.242857142857143,0.383128341839342
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2022Q4,15,-2.3062939124024,0.717660332790642,1.22952736744753,-1.93857205410621,3.37389271968749,0.583687969695615,0.569419540340244,0.033712297214712,2,descriptive_approximate_HC1_interval,0.183609088050434,-0.362774958604904,0.636047752323998,0.160714285714286,0.567196704580345
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q1,15,-1.22304842013642,0.813666842036509,0.94430078097891,-1.22637096746366,2.85370465153668,0.861660668323307,0.404488264948561,0.0672442150884334,2,descriptive_approximate_HC1_interval,0.259314895616186,-0.291696095061229,0.681101938504016,0.2,0.474813964522168
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q2,15,-2.21857641562677,1.26846032496489,1.05650567708465,-1.01398142518378,3.55090207511357,1.20061856029503,0.251319818768404,0.117839356340574,2,descriptive_approximate_HC1_interval,0.343277375223847,-0.205041689928935,0.727594077862368,0.239285714285714,0.390379311920236
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q3,15,-2.85615493616135,1.30440734102502,1.09751273748703,-1.06662477711062,3.67543945916067,1.1885122572807,0.255890527510212,0.133086703954575,2,descriptive_approximate_HC1_interval,0.364810504172475,-0.181341172501186,0.738974610603147,0.375,0.168432749846745
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q4,15,-2.13197352683552,1.11641762086643,0.96842528247374,-0.975738005515967,3.20857324724882,1.15281750804218,0.269742835317408,0.106040505637536,2,descriptive_approximate_HC1_interval,0.325638612018809,-0.223988292773355,0.718111446180185,0.235714285714286,0.397702945903273
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2024Q1,15,-1.9209944584531,0.999063265099609,1.04503019605243,-1.25858721550923,3.25671374570845,0.956013777279871,0.35650649454372,0.0826361780263406,2,descriptive_approximate_HC1_interval,0.287465090100242,-0.263617448985368,0.697077862085166,0.25,0.368846291783931
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2024Q3,15,-1.7886819198937,1.01183573636749,0.984428401057373,-1.11489252580864,3.13856399854362,1.02784086204815,0.32277019903498,0.0905237933146418,2,descriptive_approximate_HC1_interval,0.300871722357954,-0.249908346475584,0.704546112028293,0.239285714285714,0.390379311920236
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2024Q4,15,-4.49698981817498,2.00798156831509,0.640803685261293,0.62360937173074,3.39235376489943,3.13353623660312,0.00791868889355406,0.371200515396316,2,descriptive_approximate_HC1_interval,0.609262271436789,0.141008532186408,0.854754244004474,0.525,0.0444839058001063
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2025Q1,15,-2.27030559596525,1.10879513960099,1.03644173641595,-1.13030110200189,3.34789138120387,1.0698094264664,0.304166868648573,0.10031502467867,2,descriptive_approximate_HC1_interval,0.316725472102688,-0.233406863032442,0.713263649097141,0.257142857142857,0.354860363650609
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2025Q2,15,-1.79451353192878,1.04687291938242,0.969594194245302,-1.04780798735342,3.14155382611827,1.0797021327023,0.299899845997951,0.0981510499233552,2,descriptive_approximate_HC1_interval,0.313290679598604,-0.237009082281145,0.711385305813394,0.239285714285714,0.390379311920236
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2025Q3,15,-2.73069589384957,1.13799921229378,0.999475580895674,-1.02123650557318,3.29723493016073,1.13859631395293,0.275419568384221,0.113962993709757,2,descriptive_approximate_HC1_interval,0.337584054288347,-0.211202392770926,0.724549305945593,0.228571428571429,0.412566170496361
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2025Q4,15,-2.6028538803005,0.855018152480336,1.00723108492343,-1.32097231320325,3.03100861816392,0.84887983033738,0.411307501244335,0.0659910045878352,2,descriptive_approximate_HC1_interval,0.256887143679545,-0.294073996998196,0.679705057782563,0.192857142857143,0.491048701605223
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2026Q1,15,-2.16154256171403,1.23850047207927,0.998710882694174,-0.91908321576151,3.39608415992005,1.24009910529685,0.236856303347483,0.120839077133935,2,descriptive_approximate_HC1_interval,0.347619155303523,-0.200314095841374,0.72990591745408,0.239285714285714,0.390379311920236
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2026Q2,15,-2.62960404622947,0.94352255894115,1.001130713309,-1.21928885511384,3.10633397299614,0.94245691036944,0.363144331842874,0.0802777787677764,2,descriptive_approximate_HC1_interval,0.28333333508039,-0.267798018556659,0.694758184135983,0.182142857142857,0.515881681707039
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,year,2022,14,-1.60306113569139,1.17543886300704,0.993893625217404,-0.990069318941113,3.34094704495519,1.18266063206706,0.259846818581393,0.12040864794528,2,descriptive_approximate_HC1_interval,0.346999492716171,-0.225006059519437,0.741129108634056,0.248351648351648,0.391919538938457
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,year,2023,12,-1.54864090117453,0.620538720805925,1.7267974711981,-3.22700581428222,4.46808325589407,0.359358136177589,0.726799520414684,0.0211750664620518,2,descriptive_approximate_HC1_interval,0.145516550474685,-0.467420361602123,0.663968692149678,0.174825174825175,0.586823664362704
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,year,2024,13,-1.03157377323429,0.8518096422205,1.06038928565859,-1.48209143943423,3.18571072387523,0.803298990041619,0.438815435402277,0.0642313680289462,2,descriptive_approximate_HC1_interval,0.253439081494836,-0.345839693407421,0.70585757804938,0.203296703296703,0.505314734296249
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,year,2025,12,-5.09701728979575,2.09814278838736,0.719600030671482,0.494774002157712,3.701511574617,2.91570691906379,0.0154133583873532,0.424875143541548,2,descriptive_approximate_HC1_interval,0.651824472953837,0.124493935716372,0.892031983352852,0.545454545454546,0.066611882266889
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,year,2026,13,-2.95039226343864,0.680733249420446,1.13021010669607,-1.8068424232032,3.16830892204409,0.602306814801385,0.559181014143935,0.0413724671220538,2,descriptive_approximate_HC1_interval,0.203402229884664,-0.391453958956409,0.678362351329476,0.0274725274725275,0.929011729160351
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2022Q2,15,-0.249667074924474,0.460794978317916,0.385462358635168,-0.371945819523721,1.29353577615955,1.19543443865565,0.253269221182438,0.0815315132619998,2,descriptive_approximate_HC1_interval,0.28553723620922,-0.265570658997841,0.695996579287313,0.207142857142857,0.45884280496347
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2022Q3,15,0.295678425380819,0.417697791313256,0.375411006817459,-0.393328381106321,1.22872396373283,1.11264130174095,0.286014392747138,0.0706226175571778,2,descriptive_approximate_HC1_interval,0.265749162853202,-0.285360826935518,0.684789296541699,0.228571428571429,0.412566170496361
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2022Q4,15,-0.0935904039319771,0.397450472066174,0.526963436237048,-0.740984818682274,1.53588576281462,0.754227797860696,0.464156117230697,0.0427390488351624,2,descriptive_approximate_HC1_interval,0.206734246885131,-0.341717228334964,0.650145232729682,0.132142857142857,0.638744218884066
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q1,15,-0.406550786132882,0.602283430786083,0.387691111032428,-0.235272293877609,1.43983915544978,1.55351364436031,0.144299196209412,0.129327472184742,2,descriptive_approximate_HC1_interval,0.359621289949222,-0.187111317850423,0.73625143463557,0.325,0.237225438237234
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q2,15,-0.0591677190322025,0.574455021712401,0.430874838272111,-0.356393473749142,1.50530351717394,1.3332294455069,0.205349341823128,0.104215808454519,2,descriptive_approximate_HC1_interval,0.322824733337642,-0.22697286689149,0.716585099639364,0.278571428571429,0.314709473230791
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q3,15,0.502108159993007,0.313141902009967,0.336085616762665,-0.41292693033206,1.03921073435199,0.931732530021062,0.368456255773401,0.0426843409119773,2,descriptive_approximate_HC1_interval,0.206601889904176,-0.341839339974418,0.650065405124423,0.135714285714286,0.629620441872815
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q4,15,-0.127037402528085,0.513825611742872,0.37861845035792,-0.304129821168891,1.33178104465463,1.35710663666057,0.197843241310463,0.0961998198327865,2,descriptive_approximate_HC1_interval,0.310160957944075,-0.240278237750316,0.709668826590873,0.260714285714286,0.347979459862794
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2024Q1,15,-0.174472453859539,0.539384777590989,0.404125717828795,-0.333675756476865,1.41244531165884,1.334695501412,0.204881885178265,0.0993005070253832,2,descriptive_approximate_HC1_interval,0.315119829628957,-0.235092653073791,0.712386299281098,0.235714285714286,0.397702945903273
