window,target,n_shapes,group_a,group_b,covariance_musd2,basis
W1,2026Q3,219,same_quarter,same_quarter,341683.18555236235,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,same_quarter,one_earlier,-123059.9518387268,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,same_quarter,two_earlier,-218807.5895534433,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,same_quarter,older_finite_tail,1760.347716415331,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,one_earlier,same_quarter,-123059.9518387268,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,one_earlier,one_earlier,265930.3666901143,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,one_earlier,two_earlier,-116679.79944081206,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,one_earlier,older_finite_tail,-29329.87457541583,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,two_earlier,same_quarter,-218807.5895534433,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,two_earlier,one_earlier,-116679.79944081206,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,two_earlier,two_earlier,361747.86526277196,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,two_earlier,older_finite_tail,-24680.22912808438,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,older_finite_tail,same_quarter,1760.347716415331,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,older_finite_tail,one_earlier,-29329.87457541583,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,older_finite_tail,two_earlier,-24680.22912808438,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q3,219,older_finite_tail,older_finite_tail,52271.98497255032,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,same_quarter,same_quarter,147251.07718066007,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,same_quarter,one_earlier,-54528.44921586697,unweighted nearfit-grid sensitivity; not probability distribution
