window,season,group_a,group_b,n,covariance_musd2
W1,1,same_quarter,same_quarter,4,25985.41511989478
W1,1,same_quarter,one_earlier,4,448.33373345641905
W1,1,same_quarter,two_earlier,4,30687.601296564277
W1,1,same_quarter,older_finite_tail,4,0.0
W1,1,one_earlier,same_quarter,4,448.33373345641905
W1,1,one_earlier,one_earlier,4,7.910171635925583
W1,1,one_earlier,two_earlier,4,540.8846396689337
W1,1,one_earlier,older_finite_tail,4,0.0
W1,1,two_earlier,same_quarter,4,30687.601296564277
W1,1,two_earlier,one_earlier,4,540.8846396689337
W1,1,two_earlier,two_earlier,4,37296.702035756694
W1,1,two_earlier,older_finite_tail,4,0.0
W1,1,older_finite_tail,same_quarter,4,0.0
W1,1,older_finite_tail,one_earlier,4,0.0
W1,1,older_finite_tail,two_earlier,4,0.0
W1,1,older_finite_tail,older_finite_tail,4,0.0
W1,2,same_quarter,same_quarter,4,46250.25367936162
W1,2,same_quarter,one_earlier,4,1086.8790289209496
W1,2,same_quarter,two_earlier,4,57045.63246574371
W1,2,same_quarter,older_finite_tail,4,0.0
W1,2,one_earlier,same_quarter,4,1086.8790289209496
W1,2,one_earlier,one_earlier,4,25.818956423839325
W1,2,one_earlier,two_earlier,4,1335.0715570648028
W1,2,one_earlier,older_finite_tail,4,0.0
W1,2,two_earlier,same_quarter,4,57045.63246574371
W1,2,two_earlier,one_earlier,4,1335.0715570648028
W1,2,two_earlier,two_earlier,4,70660.76126075545
W1,2,two_earlier,older_finite_tail,4,0.0
W1,2,older_finite_tail,same_quarter,4,0.0
W1,2,older_finite_tail,one_earlier,4,0.0
W1,2,older_finite_tail,two_earlier,4,0.0
W1,2,older_finite_tail,older_finite_tail,4,0.0
W1,3,same_quarter,same_quarter,3,23710.323831259164
W1,3,same_quarter,one_earlier,3,490.61504407271826
W1,3,same_quarter,two_earlier,3,29008.59123570556
W1,3,same_quarter,older_finite_tail,3,0.0
W1,3,one_earlier,same_quarter,3,490.61504407271826
W1,3,one_earlier,one_earlier,3,10.252728446382518
W1,3,one_earlier,two_earlier,3,615.8886602165684
W1,3,one_earlier,older_finite_tail,3,0.0
W1,3,two_earlier,same_quarter,3,29008.59123570556
W1,3,two_earlier,one_earlier,3,615.8886602165684
W1,3,two_earlier,two_earlier,3,37915.566893638286
W1,3,two_earlier,older_finite_tail,3,0.0
W1,3,older_finite_tail,same_quarter,3,0.0
W1,3,older_finite_tail,one_earlier,3,0.0
W1,3,older_finite_tail,two_earlier,3,0.0
W1,3,older_finite_tail,older_finite_tail,3,0.0
W1,4,same_quarter,same_quarter,3,14726.098576316
W1,4,same_quarter,one_earlier,3,304.64817185772915
W1,4,same_quarter,two_earlier,3,18951.442886203153
W1,4,same_quarter,older_finite_tail,3,0.0
W1,4,one_earlier,same_quarter,3,304.64817185772915
W1,4,one_earlier,one_earlier,3,6.313545270384654
W1,4,one_earlier,two_earlier,3,391.0494548015393
W1,4,one_earlier,older_finite_tail,3,0.0
W1,4,two_earlier,same_quarter,3,18951.442886203153
W1,4,two_earlier,one_earlier,3,391.0494548015393
W1,4,two_earlier,two_earlier,3,24481.306852688762
W1,4,two_earlier,older_finite_tail,3,0.0
W1,4,older_finite_tail,same_quarter,3,0.0
W1,4,older_finite_tail,one_earlier,3,0.0
W1,4,older_finite_tail,two_earlier,3,0.0
W1,4,older_finite_tail,older_finite_tail,3,0.0
W2,1,same_quarter,same_quarter,3,21695.277440951082
W2,1,same_quarter,one_earlier,3,0.0
W2,1,same_quarter,two_earlier,3,19392.80655820303
W2,1,same_quarter,older_finite_tail,3,0.0
W2,1,one_earlier,same_quarter,3,0.0
W2,1,one_earlier,one_earlier,3,0.0
W2,1,one_earlier,two_earlier,3,0.0
W2,1,one_earlier,older_finite_tail,3,0.0
W2,1,two_earlier,same_quarter,3,19392.80655820303
W2,1,two_earlier,one_earlier,3,0.0
W2,1,two_earlier,two_earlier,3,17691.109442642875
W2,1,two_earlier,older_finite_tail,3,0.0
W2,1,older_finite_tail,same_quarter,3,0.0
W2,1,older_finite_tail,one_earlier,3,0.0
W2,1,older_finite_tail,two_earlier,3,0.0
W2,1,older_finite_tail,older_finite_tail,3,0.0
W2,2,same_quarter,same_quarter,3,44675.419156952805
W2,2,same_quarter,one_earlier,3,0.0
W2,2,same_quarter,two_earlier,3,46731.727029703776
W2,2,same_quarter,older_finite_tail,3,0.0
W2,2,one_earlier,same_quarter,3,0.0
W2,2,one_earlier,one_earlier,3,0.0
W2,2,one_earlier,two_earlier,3,0.0
W2,2,one_earlier,older_finite_tail,3,0.0
W2,2,two_earlier,same_quarter,3,46731.727029703776
W2,2,two_earlier,one_earlier,3,0.0
W2,2,two_earlier,two_earlier,3,49002.46011697319
W2,2,two_earlier,older_finite_tail,3,0.0
