window,deleted_year,season,group,n_train,status,share_shift_pp,abs_share_shift_pp
W1,2023,1,same_quarter,10,ok,3.1838577440201856,3.1838577440201856
W1,2023,1,one_earlier,10,ok,-0.7030478927870162,0.7030478927870162
W1,2023,1,two_earlier,10,ok,-2.4808098512331567,2.4808098512331567
W1,2023,1,older_finite_tail,10,ok,0.0,0.0
W1,2023,2,same_quarter,10,ok,3.407795313331352,3.407795313331352
W1,2023,2,one_earlier,10,ok,-1.1277987415664217,1.1277987415664217
W1,2023,2,two_earlier,10,ok,-2.2799965717649306,2.2799965717649306
W1,2023,2,older_finite_tail,10,ok,0.0,0.0
W1,2023,3,same_quarter,10,ok,3.076118752447199,3.076118752447199
W1,2023,3,one_earlier,10,ok,-0.8747922281259276,0.8747922281259276
W1,2023,3,two_earlier,10,ok,-2.2013265243212565,2.2013265243212565
W1,2023,3,older_finite_tail,10,ok,0.0,0.0
W1,2023,4,same_quarter,10,ok,3.029880040189259,3.029880040189259
W1,2023,4,one_earlier,10,ok,-0.9188721676255402,0.9188721676255402
W1,2023,4,two_earlier,10,ok,-2.1110078725637083,2.1110078725637083
W1,2023,4,older_finite_tail,10,ok,0.0,0.0
W1,2024,1,same_quarter,10,ok,-9.685089720944095,9.685089720944095
W1,2024,1,one_earlier,10,ok,18.49854282051447,18.49854282051447
W1,2024,1,two_earlier,10,ok,-8.813453099570367,8.813453099570367
W1,2024,1,older_finite_tail,10,ok,0.0,0.0
W1,2024,2,same_quarter,10,ok,-13.84115611596577,13.84115611596577
W1,2024,2,one_earlier,10,ok,26.57826499034559,26.57826499034559
W1,2024,2,two_earlier,10,ok,-12.737108874379816,12.737108874379816
W1,2024,2,older_finite_tail,10,ok,0.0,0.0
W1,2024,3,same_quarter,10,ok,-9.376264287736047,9.376264287736047
W1,2024,3,one_earlier,10,ok,21.901835408543878,21.901835408543878
W1,2024,3,two_earlier,10,ok,-12.525571120807816,12.525571120807816
W1,2024,3,older_finite_tail,10,ok,0.0,0.0
W1,2024,4,same_quarter,10,ok,-9.253227675064652,9.253227675064652
W1,2024,4,one_earlier,10,ok,22.724538545188132,22.724538545188132
W1,2024,4,two_earlier,10,ok,-13.471310870123471,13.471310870123471
W1,2024,4,older_finite_tail,10,ok,0.0,0.0
W1,2025,1,same_quarter,10,ok,-7.1994823291730405,7.1994823291730405
W1,2025,1,one_earlier,10,ok,5.217856003483189,5.217856003483189
W1,2025,1,two_earlier,10,ok,1.981626325689867,1.981626325689867
W1,2025,1,older_finite_tail,10,ok,2.2941729831953096e-16,2.2941729831953096e-16
W1,2025,2,same_quarter,10,ok,-8.567219025226702,8.567219025226702
W1,2025,2,one_earlier,10,ok,8.110499141565128,8.110499141565128
W1,2025,2,two_earlier,10,ok,0.45671988366158267,0.45671988366158267
W1,2025,2,older_finite_tail,10,ok,2.3430871924039453e-16,2.3430871924039453e-16
W1,2025,3,same_quarter,10,ok,-6.813750747257169,6.813750747257169
W1,2025,3,one_earlier,10,ok,6.288670958842865,6.288670958842865
W1,2025,3,two_earlier,10,ok,0.5250797884143066,0.5250797884143066
W1,2025,3,older_finite_tail,10,ok,1.7589218086277213e-16,1.7589218086277213e-16
W1,2025,4,same_quarter,10,ok,-6.6848804206662615,6.6848804206662615
W1,2025,4,one_earlier,10,ok,6.556631035066229,6.556631035066229
W1,2025,4,two_earlier,10,ok,0.12824938560003218,0.12824938560003218
W1,2025,4,older_finite_tail,10,ok,2.176960192702351e-16,2.176960192702351e-16
W1,2026,1,same_quarter,12,ok,1.2181028457568355,1.2181028457568355
W1,2026,1,one_earlier,12,ok,-0.7030478927870162,0.7030478927870162
W1,2026,1,two_earlier,12,ok,-0.5150549529698178,0.5150549529698178
W1,2026,1,older_finite_tail,12,ok,0.0,0.0
W1,2026,2,same_quarter,12,ok,1.4400573186900467,1.4400573186900467
W1,2026,2,one_earlier,12,ok,-1.1277987415664217,1.1277987415664217
W1,2026,2,two_earlier,12,ok,-0.31225857712361416,0.31225857712361416
W1,2026,2,older_finite_tail,12,ok,0.0,0.0
W1,2026,3,same_quarter,12,ok,1.1847875498370908,1.1847875498370908
W1,2026,3,one_earlier,12,ok,-0.8747922281259276,0.8747922281259276
W1,2026,3,two_earlier,12,ok,-0.30999532171115396,0.30999532171115396
W1,2026,3,older_finite_tail,12,ok,0.0,0.0
