q,season,revenue_musd,gbv_l1,gbv_l2,base_w23,lam_w23,base_w38,lam_w38,lam_w033,lam_w0667
2021Q1,1,887.0,5905.7,8029.3,6613.5666666666675,13.411825187619387,7222.332,12.28135178499133,12.103411988682014,13.413260842647963
2021Q2,2,1335.0,10300.0,5905.7,8835.233333333334,15.109957480843743,7575.534,17.622520075812478,18.148896812170065,15.107452861833087
2021Q3,3,2237.0,13400.0,10300.0,12366.666666666666,18.088948787061994,11478.0,19.489458093744556,19.756248344078426,18.08743743784212
2021Q4,4,1532.0,11900.0,13400.0,12400.0,12.35483870967742,12830.0,11.940763834762276,11.871367686943048,12.35533690874632
2022Q1,1,1509.0,11300.0,11900.0,11500.0,13.121739130434783,11672.0,12.92837559972584,12.895231584344556,13.12196733856241
2022Q2,2,2104.0,17200.0,11300.0,15233.333333333332,13.811816192560176,13542.0,15.536848323733569,15.882841398052388,13.810033277979429
2022Q3,3,2884.0,17000.0,17200.0,17066.666666666664,16.898437500000004,17124.0,16.841859378649847,16.832029882105754,16.898503509779335
2022Q4,4,1902.0,15600.0,17000.0,16066.666666666668,11.83817427385892,16468.0,11.549672091328638,11.500786068448422,11.838518131232027
2023Q1,1,1818.0,13500.0,15600.0,14200.0,12.80281690140845,14802.0,12.282124037292258,12.19561279935601,12.8034480572986
2023Q2,2,2484.0,20400.0,13500.0,18100.0,13.723756906077348,16122.0,15.40751767770748,15.744438106103823,13.722013224838832
2023Q3,3,3397.0,19100.0,20400.0,19533.333333333332,17.390784982935156,19906.0,17.06520647041093,17.009664012818586,17.39117079389133
2023Q4,4,2218.0,18300.0,19100.0,18566.666666666668,11.946140035906643,18796.0,11.80038306022558,11.775323847950732,11.946311616683902
2024Q1,1,2142.0,15500.0,18300.0,16433.333333333332,13.03448275862069,17236.0,12.427477372940357,12.327348066298342,13.035223095835056
2024Q2,2,2748.0,22900.0,15500.0,20433.333333333332,13.448613376835237,18312.0,15.006553079947576,15.316018281128079,13.446990086025504
2024Q3,3,3732.0,21200.0,22900.0,21766.666666666664,17.145482388973967,22254.0,16.770018873011594,16.706208872375665,17.145928760779377
2024Q4,4,2480.0,20100.0,21200.0,20466.666666666668,12.117263843648209,20782.0,11.933403907227408,11.901905264673417,12.117480932068815
2025Q1,1,2272.0,17600.0,20100.0,18433.333333333332,12.325497287522605,19150.0,11.864229765013055,11.787289234760053,12.326054523260545
2025Q2,2,3096.0,24500.0,17600.0,22200.0,13.945945945945946,20222.0,15.310058352289586,15.575791115359461,13.94450124536647
2025Q3,3,4095.0,23500.0,24500.0,23833.333333333336,17.18181818181818,24120.0,16.97761194029851,16.94249069093918,17.182058490328536
2025Q4,4,2778.0,22900.0,23500.0,23100.0,12.025974025974026,23272.0,11.937091784118254,11.921723457213973,12.026078147862753
2026Q1,1,2678.0,20400.0,22900.0,21233.333333333336,12.612244897959183,21950.0,12.200455580865604,12.13137032842582,12.6127399034499
2026Q2,2,3608.0,29200.0,20400.0,26266.666666666664,13.736040609137056,23744.0,15.195417789757412,15.482320631651218,13.7345068063465
