as_of_label,as_of_date,quarter,w,gbv_printed_through,driver_share_printed
pitch_2026-10-02,2026-10-02,2026Q4,0.33,2026Q2,0.6699999999999999
pitch_2026-10-02,2026-10-02,2026Q4,0.38,2026Q2,0.62
pitch_2026-10-02,2026-10-02,2026Q4,0.6667,2026Q2,0.33333333333333337
guide_2026-11-05,2026-11-05,2026Q4,0.33,2026Q3,1.0
guide_2026-11-05,2026-11-05,2026Q4,0.38,2026Q3,1.0
guide_2026-11-05,2026-11-05,2026Q4,0.6667,2026Q3,1.0
guide_2027-02,2027-02-12,2027Q1,0.33,2026Q4,1.0
guide_2027-02,2027-02-12,2027Q1,0.38,2026Q4,1.0
guide_2027-02,2027-02-12,2027Q1,0.6667,2026Q4,1.0
guide_2027-05,2027-05-06,2027Q2,0.33,2027Q1,1.0
guide_2027-05,2027-05-06,2027Q2,0.38,2027Q1,1.0
guide_2027-05,2027-05-06,2027Q2,0.6667,2027Q1,1.0
