melbourne_stay_month,n,W_for_month,mean_lead_days,median_lead_days,value_wtd_mean_lead,share_value_lead_gt_180
1,33492,361,54.07287979364814,29.0,71.08310710061434,0.09002026034805953
2,26220,389,43.38321891685736,23.0,54.57752926051216,0.060283757595434494
3,18328,180,41.16641204714098,28.0,48.865001695525635,0.0
4,16045,180,38.26693674041756,22.0,50.11800170452165,0.0
5,14827,180,39.42247251635528,23.0,53.63604317158757,0.0
6,14636,180,40.482372232850494,24.0,49.21099899766655,0.0
7,18130,180,40.539327082184215,24.0,49.487815836537116,0.0
8,18708,208,36.213115147400565,18.0,45.208389866926744,0.033451057255882335
9,22662,238,40.21328072794835,22.0,49.76809870863327,0.05123873158231022
10,26920,269,47.52100177592586,27.0,60.0400439411337,0.08029675003714563
11,26354,299,50.95827593798261,30.0,62.677430524933705,0.07715200306235606
12,31788,330,57.791885770283436,34.0,73.65503052734866,0.09366550322077537
