quarter,gbv_musd,basis,source
2022Q1,17200.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2022Q2,17000.000000000004,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2022Q3,15599.999999999998,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2022Q4,13500.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2023Q1,20400.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2023Q2,19100.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2023Q3,18300.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2023Q4,15500.000000000004,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2024Q1,22900.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2024Q2,21200.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2024Q3,20100.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2024Q4,17600.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2025Q1,24500.000000000004,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2025Q2,23500.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2025Q3,22900.000000000004,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2025Q4,20400.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2026Q1,29200.0,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
2026Q2,27199.999999999996,booking_dated_usd_reported,printed GBV; reconciliation redistributes it regionally only
