vendor,as_of,n_fy27,street_fy26_musd,street_fy27_musd,street_implied_growth_pct,kernel_w,our_fy27_musd,our_growth_pct,level_edge_pct,growth_edge_pp,ev_ebitda_turns,our_fy27_incl_assumed_theta083_musd,growth_edge_incl_assumed_theta083_pp,vendor_note
Zacks,2026-09-04,,14130.0,15745.0,11.429582448690724,0.33,15720.25516342507,9.179455505663281,-0.15715996554417355,-2.2501269430274426,-1.0800609326531725,15790.808043492134,-1.7601269430274424,"ranges FY26 $14.10-14.16bn, FY27 $15.73-15.76bn; midpoints used (00_IMPLEMENTATION_DECISIONS.md line 494)"
Zacks,2026-09-04,,14130.0,15745.0,11.429582448690724,0.5,15779.491377700473,10.354653870420826,0.2190624179134515,-1.0749285782698976,-0.5159657175695509,15849.555942301004,-0.5849285782698974,"ranges FY26 $14.10-14.16bn, FY27 $15.73-15.76bn; midpoints used (00_IMPLEMENTATION_DECISIONS.md line 494)"
Zacks,2026-09-04,,14130.0,15745.0,11.429582448690724,0.6666666666666666,15837.566097578316,11.52282099464208,0.5879078918914926,0.0932385459513565,0.044754502056651116,15907.151921525383,0.5832385459513567,"ranges FY26 $14.10-14.16bn, FY27 $15.73-15.76bn; midpoints used (00_IMPLEMENTATION_DECISIONS.md line 494)"
Zacks,2026-09-11,13.0,14100.0,15740.0,11.63120567375886,0.33,15720.25516342507,9.179455505663281,-0.12544368853195653,-2.451750168095579,-1.1768400806858779,15790.808043492134,-1.9617501680955787,"A1 table 1; FY26 n=8, FY27 n=13"
Zacks,2026-09-11,13.0,14100.0,15740.0,11.63120567375886,0.5,15779.491377700473,10.354653870420826,0.25089820648331873,-1.2765518033380339,-0.6127448656022563,15849.555942301004,-0.7865518033380337,"A1 table 1; FY26 n=8, FY27 n=13"
Zacks,2026-09-11,13.0,14100.0,15740.0,11.63120567375886,0.6666666666666666,15837.566097578316,11.52282099464208,0.6198608486551294,-0.10838467911677974,-0.05202464597605427,15907.151921525383,0.3816153208832205,"A1 table 1; FY26 n=8, FY27 n=13"
Alpha Vantage (LSEG family),2026-09-11,44.0,14155.1,15757.8,11.322420894235986,0.33,15720.25516342507,9.179455505663281,-0.23826191838282051,-2.142965388572705,-1.0286233865148984,15790.808043492134,-1.6529653885727047,"A1 table 1; FY26 n=43, FY27 n=44"
Alpha Vantage (LSEG family),2026-09-11,44.0,14155.1,15757.8,11.322420894235986,0.5,15779.491377700473,10.354653870420826,0.1376548610876771,-0.9677670238151599,-0.4645281714312767,15849.555942301004,-0.4777670238151597,"A1 table 1; FY26 n=43, FY27 n=44"
Alpha Vantage (LSEG family),2026-09-11,44.0,14155.1,15757.8,11.322420894235986,0.6666666666666666,15837.566097578316,11.52282099464208,0.5062007233136434,0.20040010040609424,0.09619204819492523,15907.151921525383,0.6904001004060945,"A1 table 1; FY26 n=43, FY27 n=44"
Yahoo Finance (LSEG family),2026-09-11,43.0,14160.0,15790.0,11.511299435028244,0.33,15720.25516342507,9.179455505663281,-0.4417025748887249,-2.331843929364963,-1.1192850860951822,15790.808043492134,-1.8418439293649627,A1 table 1; not independent of Alpha Vantage
Yahoo Finance (LSEG family),2026-09-11,43.0,14160.0,15790.0,11.511299435028244,0.5,15779.491377700473,10.354653870420826,-0.06655238948402031,-1.1566455646074179,-0.5551898710115606,15849.555942301004,-0.6666455646074176,A1 table 1; not independent of Alpha Vantage
Yahoo Finance (LSEG family),2026-09-11,43.0,14160.0,15790.0,11.511299435028244,0.6666666666666666,15837.566097578316,11.52282099464208,0.301241909932326,0.011521559613836274,0.005530348614641412,15907.151921525383,0.5015215596138365,A1 table 1; not independent of Alpha Vantage
S&P Global MI,2026-09-10,,14160.0,15770.0,11.370056497175153,0.33,15720.25516342507,9.179455505663281,-0.31543967390570415,-2.1906009915118716,-1.0514884759256984,15790.808043492134,-1.7006009915118714,A1 table 1; FY27 n paywalled
S&P Global MI,2026-09-10,,14160.0,15770.0,11.370056497175153,0.5,15779.491377700473,10.354653870420826,0.06018628852551,-1.0154026267543266,-0.48739326084207674,15849.555942301004,-0.5254026267543264,A1 table 1; FY27 n paywalled
S&P Global MI,2026-09-10,,14160.0,15770.0,11.370056497175153,0.6666666666666666,15837.566097578316,11.52282099464208,0.42844703600708467,0.15276449746692755,0.07332695878412522,15907.151921525383,0.6427644974669278,A1 table 1; FY27 n paywalled
