source_type,source_reference,commit,git_blob,sha256,role
committed_L4_blob,analysis/src/forecast_methods/lane4_revenue_v1/l3_contract.py,29b2d9ae2d66da5f1f5086ba7dc36e4c2d96ab70,353baf6159a775234316086d3c96f6524d3f40f5,76ab9badbbec012fbdd63d1da7e985424acd456ae596ac2d41ee13eeb75c7fd2,read_only_interface_or_baseline_evidence
committed_L4_blob,analysis/src/forecast_methods/lane4_revenue_v1/adapter.py,29b2d9ae2d66da5f1f5086ba7dc36e4c2d96ab70,c9de457c43e42b9f5669daef99897f26004a5b29,4a36792415686e0856a3896fd6e34bbd52a92f53fffb468ee39c60ee1f345a64,read_only_interface_or_baseline_evidence
committed_L4_blob,analysis/src/forecast_methods/lane4_revenue_v1/run.py,29b2d9ae2d66da5f1f5086ba7dc36e4c2d96ab70,627261e5fca70ce18b93157c424fb5d64c179bdf,95c14e5c2edf5bb20d649cc36419a1269d2e980620e30d4dad52df46339cdd84,read_only_interface_or_baseline_evidence
committed_L4_blob,analysis/src/forecast_methods/lane4_revenue_v1/README.md,29b2d9ae2d66da5f1f5086ba7dc36e4c2d96ab70,655bab5eccb9c6a5576c62b747dcca87aba0ffe3,6ea94927faf953d381919f55914e4c64ba2edac9b714cf55573fde69175341cf,read_only_interface_or_baseline_evidence
committed_L4_blob,docs/revenue-forecast-strategy/05_backtests/L4_CLOSE_HANDOFF_v1.md,29b2d9ae2d66da5f1f5086ba7dc36e4c2d96ab70,0da44bfae0fe2886ae62b14a36694129e66a5a34,f7e6e6e3d83e222f11981e7f3e4b7546a6b661257a4a6858b43095e41b9bf891,read_only_interface_or_baseline_evidence
committed_L4_blob,docs/revenue-forecast-strategy/05_backtests/L4_REVENUE_RECONCILIATION_v1.md,29b2d9ae2d66da5f1f5086ba7dc36e4c2d96ab70,7b8ceeedc3dcceaf9acf885e5c9cd1f90ca7b1d6,dcfcdabe5195f574be9866d24111ee651f1188a00d4a488ebeeecc2971a94562,read_only_interface_or_baseline_evidence
committed_L4_blob,data/processed/forecast_methods/lane4_revenue_v1/snapshot_v1/forecast.csv,29b2d9ae2d66da5f1f5086ba7dc36e4c2d96ab70,edd6cecb5cb43a60a92e34cbf044622fbb300bcb,afba9714d56c09b72323b9a9795db28dda0aa1e2e8800457aa3adb698aa5c087,read_only_interface_or_baseline_evidence
committed_L4_blob,data/processed/forecast_methods/lane4_revenue_v1/snapshot_v1/consensus_comparison.csv,29b2d9ae2d66da5f1f5086ba7dc36e4c2d96ab70,dfd0bf98778b1cebea89312a286f88b7f1af0826,a97a6b03a1339b8d613a56f92874873fae362b286d2e6da5ef106811ac5640ef,read_only_interface_or_baseline_evidence
committed_L4_blob,data/processed/forecast_methods/lane4_revenue_v1/snapshot_v1/integration_status.json,29b2d9ae2d66da5f1f5086ba7dc36e4c2d96ab70,df4fe6cabfdf885d423b230f7e715b51b500a447,8ffc0968a1b8de0813ebe3c2f625e1dda6dd9ad6265cd96ffe26bdba90ea293f,read_only_interface_or_baseline_evidence
frozen_L3_bundle,data/processed/forecast_methods/l3_bundle_v1/l4_inputs.csv,8821961853e4068febbfe2712f9a4e1036c9e629,,d53e07ca35868aed0e1c71c04d8ef07565a00230628f1044a4c8659bf3742638,unchanged_classification_input
frozen_L3_bundle,data/processed/forecast_methods/l3_bundle_v1/bundle.json,8821961853e4068febbfe2712f9a4e1036c9e629,,344f505596f66f66385e9a478a6cfa963c1359ac0a6f56016f3b78afc2eb9dc2,unchanged_classification_input
frozen_local_audit,data/processed/forecast_methods/l3_source_contract_v1/consumption/inputs_v2/existing_data_inventory.json,,,95969a945c2f8b693fa6b6013c07bba0e0be89043a22639232879d93cf6b1ec3,offline_evidence_snapshot_not_market_refresh
frozen_local_audit,data/processed/forecast_methods/l3_source_contract_v1/consumption/inputs_v2/l4_interface_snapshot.json,,,5b8273e4769be3009a64dbf0244b864b01ff255855abc95f9d781a3af72c5821,offline_evidence_snapshot_not_market_refresh
frozen_local_audit,data/processed/forecast_methods/l3_source_contract_v1/consumption/inputs_v2/manifest.json,,,8dbb605edd033daab92a0fb5299b96156940bc1816843376df243dab289c13e1,offline_evidence_snapshot_not_market_refresh
frozen_local_audit,data/processed/forecast_methods/l3_source_contract_v1/consumption/inputs_v2/qvs_context_manifest.json,,,2345ef22e7d0eb3c6ea2e67ec8457e67533effa54d06595cad180f6e7422ba6c,offline_evidence_snapshot_not_market_refresh
frozen_local_audit,data/processed/forecast_methods/l3_source_contract_v1/consumption/supplemental_path_inventory_v1.json,,,973d03ab14924da7d557a3b2dd658e93e2ee07c90b3534f2f2dafed94cb91d23,filename_only_supplemental_inventory
