booking_quarter,target_quarter,scenario,lag,weight,delta_gbv_musd,dR_dGBV_div_lambda,delta_revenue_div_lambda_musd,lambda_decimal,dR_dGBV,delta_revenue_musd,first_known_date,evidence_status,lambda_basis,treatment
2020Q3,,normalized_single_GBV_precision_difference,1,0.6666666666666666,0.0,0.6666666666666666,0.0,,,,2021-11-04,unresolved,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement
2020Q3,,normalized_single_GBV_precision_difference,2,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,2021-11-04,unresolved,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement
2020Q4,,normalized_single_GBV_precision_difference,1,0.6666666666666666,0.0,0.6666666666666666,0.0,,,,2021-02-25,exact,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement
2020Q4,,normalized_single_GBV_precision_difference,2,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,2021-02-25,exact,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement
2021Q1,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-10.299999999999272,0.6666666666666666,-6.866666666666181,,,,2021-05-13,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement
2021Q1,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-10.299999999999272,0.3333333333333333,-3.4333333333330907,,,,2021-05-13,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement
2021Q2,,normalized_single_GBV_precision_difference,1,0.6666666666666666,21.399999999999636,0.6666666666666666,14.266666666666424,,,,2021-08-12,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement
2021Q2,,normalized_single_GBV_precision_difference,2,0.3333333333333333,21.399999999999636,0.3333333333333333,7.133333333333212,,,,2021-08-12,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement
2021Q3,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-8.399999999999636,0.6666666666666666,-5.599999999999757,,,,2021-11-04,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement
2021Q3,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-8.399999999999636,0.3333333333333333,-2.7999999999998786,,,,2021-11-04,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement
