quarter,scope,cells_audited_or_unavailable,original_cells_checked,original_cells_unavailable,finer_or_later_corroboration_cells,unresolved_cells,definition_difference_cells,unrelated_wide_panel_columns
2020Q3,gbv_musd|revenue_musd|nights_m|adr_usd,4,0,4,4,3,1,out_of_scope
2020Q4,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,2,1,1,out_of_scope
2021Q1,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,2,0,0,out_of_scope
2021Q2,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,2,0,0,out_of_scope
2021Q3,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,2,0,0,out_of_scope
2021Q4,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,2,0,0,out_of_scope
2022Q1,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,2,0,0,out_of_scope
2022Q2,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,2,0,0,out_of_scope
2022Q3,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,0,0,out_of_scope
2022Q4,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,0,0,0,out_of_scope
2023Q1,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,0,0,0,out_of_scope
2023Q2,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,0,0,0,out_of_scope
2023Q3,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,0,0,0,out_of_scope
2023Q4,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,0,0,0,out_of_scope
2024Q1,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,0,0,out_of_scope
2024Q2,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,0,0,out_of_scope
2024Q3,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,0,0,out_of_scope
2024Q4,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,0,0,out_of_scope
2025Q1,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,0,0,out_of_scope
2025Q2,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,1,0,out_of_scope
2025Q3,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,0,0,out_of_scope
2025Q4,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,0,0,out_of_scope
2026Q1,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,0,0,out_of_scope
2026Q2,gbv_musd|revenue_musd|nights_m|adr_usd,4,4,0,1,0,0,out_of_scope
