method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,knowable_from,spec_id,notes
l4-review-v1,review-with-k,revenue_musd,2026Q4,2026-09-13,1,3179.3436542864,3179.3436542864,LIVE,PIT,5,5,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; review_with_k; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=5, cushion n=8"
l4-review-v1,review-with-k,guide_mid,2026Q4,2026-09-13,1,3123.41911517339,3123.41911517339,LIVE,PIT,5,5,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; review_with_k; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=5, cushion n=8"
l4-review-v1,review-with-k,revenue_musd,2027Q1,2026-09-13,2,3055.68058044242,3055.68058044242,LIVE,PIT,5,6,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; review_with_k; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=6, cushion n=8"
l4-review-v1,review-with-k,guide_mid,2027Q1,2026-09-13,2,3001.93127029552,3001.93127029552,LIVE,PIT,5,6,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; review_with_k; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=6, cushion n=8"
l4-review-v1,review-without-k,revenue_musd,2026Q4,2026-09-13,1,3175.92643761104,3175.92643761104,LIVE,PIT,5,5,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; review_without_k; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=5, cushion n=8"
l4-review-v1,review-without-k,guide_mid,2026Q4,2026-09-13,1,3120.06200721492,3120.06200721492,LIVE,PIT,5,5,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; review_without_k; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=5, cushion n=8"
l4-review-v1,review-without-k,revenue_musd,2027Q1,2026-09-13,2,3046.82899619842,3046.82899619842,LIVE,PIT,5,6,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; review_without_k; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=6, cushion n=8"
l4-review-v1,review-without-k,guide_mid,2027Q1,2026-09-13,2,2993.23538509607,2993.23538509607,LIVE,PIT,5,6,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; review_without_k; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=6, cushion n=8"
l4-review-v1,nights-case-a,revenue_musd,2027Q1,2026-09-13,2,3069.01166705407,3069.01166705407,LIVE,PIT,5,6,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; nights_case_a; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=6, cushion n=8"
l4-review-v1,nights-case-a,guide_mid,2027Q1,2026-09-13,2,3015.02786357908,3015.02786357908,LIVE,PIT,5,6,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; nights_case_a; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=6, cushion n=8"
l4-review-v1,adr-mean-reversion,revenue_musd,2026Q4,2026-09-13,1,3129.86616348533,3129.86616348533,LIVE,PIT,5,5,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; adr_mean_reversion; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=5, cushion n=8"
l4-review-v1,adr-mean-reversion,guide_mid,2026Q4,2026-09-13,1,3074.81193163394,3074.81193163394,LIVE,PIT,5,5,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; adr_mean_reversion; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=5, cushion n=8"
l4-review-v1,adr-mean-reversion,revenue_musd,2027Q1,2026-09-13,2,2983.60898719445,2983.60898719445,LIVE,PIT,5,6,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; adr_mean_reversion; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=6, cushion n=8"
l4-review-v1,adr-mean-reversion,guide_mid,2027Q1,2026-09-13,2,2931.12741374852,2931.12741374852,LIVE,PIT,5,6,2026-09-13,lane4_revenue_v1_baseline,"LIVE conditional review, not adopted; adr_mean_reversion; no W1/W2 observations; deterministic point copied to q50, no calibrated distribution; L3 conversion and FX/RNPL pending; USD GBV embeds booking FX, historical lambda embeds reported accounting/hedges; 5 inherited parameters: four seasonal lambdas and cushion, zero new fit; seasonal lambda n=6, cushion n=8"
