l4_scenario,quarter,l4_revenue_usd,source_ordinary_revenue_usd,baseline_difference_usd,quarter_coverage,reported_kernel_identity_match,prehedge_match,H_usd,H_new_usd,financial_application_eligible,reason,source
review_with_k,2026Q3,4808362929.49392,4808362929.49,0.003920555114746094,MATCH_Q3,True,False,,,False,"Q3 reported kernel identity matches within source export precision, but no pre-hedge/H split and no measured cohort shares",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
review_with_k,2026Q4,3179343654.2864003,,,NO_SOURCE_TARGET,False,False,,,False,"Q4/Q1 source scenario, reference-GBV/currency cohorts and matching pre-hedge/hedge contract absent; no extrapolation",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
review_with_k,2027Q1,3055680580.44242,,,NO_SOURCE_TARGET,False,False,,,False,"Q4/Q1 source scenario, reference-GBV/currency cohorts and matching pre-hedge/hedge contract absent; no extrapolation",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
review_without_k,2026Q3,4808362929.49392,4808362929.49,0.003920555114746094,MATCH_Q3,True,False,,,False,"Q3 reported kernel identity matches within source export precision, but no pre-hedge/H split and no measured cohort shares",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
review_without_k,2026Q4,3175926437.61104,,,NO_SOURCE_TARGET,False,False,,,False,"Q4/Q1 source scenario, reference-GBV/currency cohorts and matching pre-hedge/hedge contract absent; no extrapolation",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
review_without_k,2027Q1,3046828996.19842,,,NO_SOURCE_TARGET,False,False,,,False,"Q4/Q1 source scenario, reference-GBV/currency cohorts and matching pre-hedge/hedge contract absent; no extrapolation",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
nights_case_a,2026Q3,4808362929.49392,4808362929.49,0.003920555114746094,MATCH_Q3,True,False,,,False,"Q3 reported kernel identity matches within source export precision, but no pre-hedge/H split and no measured cohort shares",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
nights_case_a,2026Q4,3179343654.2864003,,,NO_SOURCE_TARGET,False,False,,,False,"Q4/Q1 source scenario, reference-GBV/currency cohorts and matching pre-hedge/hedge contract absent; no extrapolation",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
nights_case_a,2027Q1,3069011667.05407,,,NO_SOURCE_TARGET,False,False,,,False,"Q4/Q1 source scenario, reference-GBV/currency cohorts and matching pre-hedge/hedge contract absent; no extrapolation",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
adr_mean_reversion,2026Q3,4808362929.49392,4808362929.49,0.003920555114746094,MATCH_Q3,True,False,,,False,"Q3 reported kernel identity matches within source export precision, but no pre-hedge/H split and no measured cohort shares",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
adr_mean_reversion,2026Q4,3129866163.48533,,,NO_SOURCE_TARGET,False,False,,,False,"Q4/Q1 source scenario, reference-GBV/currency cohorts and matching pre-hedge/hedge contract absent; no extrapolation",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
adr_mean_reversion,2027Q1,2983608987.19445,,,NO_SOURCE_TARGET,False,False,,,False,"Q4/Q1 source scenario, reference-GBV/currency cohorts and matching pre-hedge/hedge contract absent; no extrapolation",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
k0_conditional,2026Q3,4808362929.49392,4808362929.49,0.003920555114746094,MATCH_Q3,True,False,,,False,"Q3 reported kernel identity matches within source export precision, but no pre-hedge/H split and no measured cohort shares",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
k0_conditional,2026Q4,3214775750.8938,,,NO_SOURCE_TARGET,False,False,,,False,"Q4/Q1 source scenario, reference-GBV/currency cohorts and matching pre-hedge/hedge contract absent; no extrapolation",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
k0_conditional,2027Q1,3121422847.6563497,,,NO_SOURCE_TARGET,False,False,,,False,"Q4/Q1 source scenario, reference-GBV/currency cohorts and matching pre-hedge/hedge contract absent; no extrapolation",bundle/payload/cohort_fx/kernel_inputs.csv; scenario_summary.csv; baseline/forecast.csv
