source_draw,selected_years,source_draw_n,source_n_parameters,quarter,operating_scenario,kernel_weight,lambda_Q1_pct,lambda_Q2_pct,lambda_Q3_pct,lambda_Q4_pct,lambda_pct,lag1_gbv_musd,lag2_gbv_musd,cushion_decimal,net_revenue_factor,revenue_musd,guide_musd,delta_revenue_vs_K0_musd,delta_guide_vs_K0_musd,evidence_status,exhibit,parameter_source,n_source_year_blocks,interpretation
0,2021|2022|2021|2023|2024|2022,24,5,2026Q3,review_with_k,0.827602937912,13.3500074138,13.0122066686,17.2702888435,12.1823999224,17.2702888435,27200,29200,0.0179049103084943,1,4757.06550659261,4673.38889754535,-51.2974229013062,-50.3951031003071,rejected_free_weight_model_descriptive_joint_resampling_not_production_not_predictive_band,all_existing_1000_joint_draws,data/processed/forecast_methods/lane4_sources_v2/snapshot_v1/bundle/payload/conversion/parameter_bootstrap.csv,6,fitted-model resampling sensitivity; ignores future residual forecast GBV and cushion uncertainty
0,2021|2022|2021|2023|2024|2022,24,5,2026Q4,review_with_k,0.827602937912,13.3500074138,13.0122066686,17.2702888435,12.1823999224,12.1823999224,26008.556,27200,0.0179049103084943,1,3193.48913146718,3137.31577392561,14.1454771807721,13.8966587522259,rejected_free_weight_model_descriptive_joint_resampling_not_production_not_predictive_band,all_existing_1000_joint_draws,data/processed/forecast_methods/lane4_sources_v2/snapshot_v1/bundle/payload/conversion/parameter_bootstrap.csv,6,fitted-model resampling sensitivity; ignores future residual forecast GBV and cushion uncertainty
0,2021|2022|2021|2023|2024|2022,24,5,2027Q1,review_with_k,0.827602937912,13.3500074138,13.0122066686,17.2702888435,12.1823999224,13.3500074138,23008.326,26008.556,0.0179049103084943,1,3140.66358195577,3085.41942390663,84.9830015133462,83.488153611117,rejected_free_weight_model_descriptive_joint_resampling_not_production_not_predictive_band,all_existing_1000_joint_draws,data/processed/forecast_methods/lane4_sources_v2/snapshot_v1/bundle/payload/conversion/parameter_bootstrap.csv,6,fitted-model resampling sensitivity; ignores future residual forecast GBV and cushion uncertainty
1,2025|2024|2026|2022|2025|2024,22,5,2026Q3,review_with_k,0.474952462898,12.3472344808,14.6852163072,16.9611773377,11.9378513484,16.9611773377,27200,29200,0.0179049103084943,1,4791.54872360459,4707.26555602569,-16.8142058893245,-16.5184446199682,rejected_free_weight_model_descriptive_joint_resampling_not_production_not_predictive_band,all_existing_1000_joint_draws,data/processed/forecast_methods/lane4_sources_v2/snapshot_v1/bundle/payload/conversion/parameter_bootstrap.csv,6,fitted-model resampling sensitivity; ignores future residual forecast GBV and cushion uncertainty
1,2025|2024|2026|2022|2025|2024,22,5,2026Q4,review_with_k,0.474952462898,12.3472344808,14.6852163072,16.9611773377,11.9378513484,11.9378513484,26008.556,27200,0.0179049103084943,1,3179.54174163134,3123.61371816914,0.19808734493472,0.194602995750301,rejected_free_weight_model_descriptive_joint_resampling_not_production_not_predictive_band,all_existing_1000_joint_draws,data/processed/forecast_methods/lane4_sources_v2/snapshot_v1/bundle/payload/conversion/parameter_bootstrap.csv,6,fitted-model resampling sensitivity; ignores future residual forecast GBV and cushion uncertainty
1,2025|2024|2026|2022|2025|2024,22,5,2027Q1,review_with_k,0.474952462898,12.3472344808,14.6852163072,16.9611773377,11.9378513484,12.3472344808,23008.326,26008.556,0.0179049103084943,1,3035.39342358744,2982.00096379092,-20.2871568549785,-19.9303065045933,rejected_free_weight_model_descriptive_joint_resampling_not_production_not_predictive_band,all_existing_1000_joint_draws,data/processed/forecast_methods/lane4_sources_v2/snapshot_v1/bundle/payload/conversion/parameter_bootstrap.csv,6,fitted-model resampling sensitivity; ignores future residual forecast GBV and cushion uncertainty
2,2024|2026|2025|2022|2026|2024,20,5,2026Q3,review_with_k,0.486807830122,12.4223896139,14.5957067627,16.9462233786,11.9356237493,16.9462233786,27200,29200,0.0179049103084943,1,4783.30614191722,4699.16796105007,-25.0567875766974,-24.6160395955876,rejected_free_weight_model_descriptive_joint_resampling_not_production_not_predictive_band,all_existing_1000_joint_draws,data/processed/forecast_methods/lane4_sources_v2/snapshot_v1/bundle/payload/conversion/parameter_bootstrap.csv,6,fitted-model resampling sensitivity; ignores future residual forecast GBV and cushion uncertainty
2,2024|2026|2025|2022|2026|2024,20,5,2026Q4,review_with_k,0.486807830122,12.4223896139,14.5957067627,16.9462233786,11.9356237493,11.9356237493,26008.556,27200,0.0179049103084943,1,3177.26253260924,3121.37460035075,-2.08112167716445,-2.04451482264039,rejected_free_weight_model_descriptive_joint_resampling_not_production_not_predictive_band,all_existing_1000_joint_draws,data/processed/forecast_methods/lane4_sources_v2/snapshot_v1/bundle/payload/conversion/parameter_bootstrap.csv,6,fitted-model resampling sensitivity; ignores future residual forecast GBV and cushion uncertainty
2,2024|2026|2025|2022|2026|2024,20,5,2027Q1,review_with_k,0.486807830122,12.4223896139,14.5957067627,16.9462233786,11.9356237493,12.4223896139,23008.326,26008.556,0.0179049103084943,1,3049.45075445516,2995.81102672053,-6.22982598726412,-6.12024357498785,rejected_free_weight_model_descriptive_joint_resampling_not_production_not_predictive_band,all_existing_1000_joint_draws,data/processed/forecast_methods/lane4_sources_v2/snapshot_v1/bundle/payload/conversion/parameter_bootstrap.csv,6,fitted-model resampling sensitivity; ignores future residual forecast GBV and cushion uncertainty
3,2025|2022|2026|2025|2023|2021,22,5,2026Q3,review_with_k,0.798863708624,12.7957693469,13.2776721826,17.2958386286,12.0849793019,17.2958386286,27200,29200,0.0179049103084943,1,4774.04452373909,4690.06925439846,-34.3184057548306,-33.7147462472003,rejected_free_weight_model_descriptive_joint_resampling_not_production_not_predictive_band,all_existing_1000_joint_draws,data/processed/forecast_methods/lane4_sources_v2/snapshot_v1/bundle/payload/conversion/parameter_bootstrap.csv,6,fitted-model resampling sensitivity; ignores future residual forecast GBV and cushion uncertainty
