scenario,lens,price
review_with_k,1,184.66275525283442
review_with_k,2,155.6900138229566
review_with_k,3,121.2099654970877
review_with_k,4,113.85862585139667
review_with_k,5,201.02779820442038
review_with_k,6,186.4240626836222
review_without_k,1,184.37229647239255
review_without_k,2,155.45128006181912
review_without_k,3,120.90667619299269
review_without_k,4,113.60254526176749
review_without_k,5,200.7071338171099
review_without_k,6,186.13572161192346
k0_conditional,1,187.1313166751869
k0_conditional,2,157.7234424596579
k0_conditional,3,123.7758858884236
k0_conditional,4,116.02324349164827
k0_conditional,5,203.1993497169579
k0_conditional,6,188.87718435931274
nights_case_a,1,184.8748309131309
nights_case_a,2,155.85814406263253
nights_case_a,3,121.43661272999381
nights_case_a,4,114.05405895064939
nights_case_a,5,201.27113051619202
nights_case_a,6,186.62926432515385
adr_mean_reversion,1,181.6272269380129
adr_mean_reversion,2,153.18542508135621
adr_mean_reversion,3,118.06552097221301
adr_mean_reversion,4,111.20773063028435
adr_mean_reversion,5,197.6848867756027
adr_mean_reversion,6,183.40515499314347
review_with_k_fx_down_sensitivity,1,180.89382235062453
review_with_k_fx_down_sensitivity,2,152.5214008691127
review_with_k_fx_down_sensitivity,3,117.34321924324635
review_with_k_fx_down_sensitivity,4,110.63919198756321
review_with_k_fx_down_sensitivity,5,196.92296109393155
review_with_k_fx_down_sensitivity,6,182.62298798554252
review_with_k_fx_up_sensitivity,1,188.43168815504433
review_with_k_fx_up_sensitivity,2,158.85862677680043
review_with_k_fx_up_sensitivity,3,125.07671175092904
review_with_k_fx_up_sensitivity,4,117.07805971523013
review_with_k_fx_up_sensitivity,5,203.52818912066647
review_with_k_fx_up_sensitivity,6,190.22513738170193
