quarter,season,year,print_date,print_date_basis,revenue_musd,gbv_musd,gbv_l1,gbv_l2,gbv_l1_date,gbv_l2_date
2021Q1,1,2021,2021-05-13,ledger,887,10300,5905.7,8029.3,2021-02-25,2020-11-15
2021Q2,2,2021,2021-08-12,ledger,1335,13400,10300,5905.7,2021-05-13,2021-02-25
2021Q3,3,2021,2021-11-04,ledger,2237,11900,13400,10300,2021-08-12,2021-05-13
2021Q4,4,2021,2022-02-15,ledger,1532,11300,11900,13400,2021-11-04,2021-08-12
2022Q1,1,2022,2022-05-03,ledger,1509,17200,11300,11900,2022-02-15,2021-11-04
2022Q2,2,2022,2022-08-02,ledger,2104,17000,17200,11300,2022-05-03,2022-02-15
2022Q3,3,2022,2022-11-01,ledger,2884,15600,17000,17200,2022-08-02,2022-05-03
2022Q4,4,2022,2023-02-14,ledger,1902,13500,15600,17000,2022-11-01,2022-08-02
2023Q1,1,2023,2023-05-09,ledger,1818,20400,13500,15600,2023-02-14,2022-11-01
2023Q2,2,2023,2023-08-03,ledger,2484,19100,20400,13500,2023-05-09,2023-02-14
2023Q3,3,2023,2023-11-01,ledger,3397,18300,19100,20400,2023-08-03,2023-05-09
2023Q4,4,2023,2024-02-13,ledger,2218,15500,18300,19100,2023-11-01,2023-08-03
2024Q1,1,2024,2024-05-08,ledger,2142,22900,15500,18300,2024-02-13,2023-11-01
2024Q2,2,2024,2024-08-06,ledger,2748,21200,22900,15500,2024-05-08,2024-02-13
2024Q3,3,2024,2024-11-07,ledger,3732,20100,21200,22900,2024-08-06,2024-05-08
2024Q4,4,2024,2025-02-13,ledger,2480,17600,20100,21200,2024-11-07,2024-08-06
2025Q1,1,2025,2025-05-01,ledger,2272,24500,17600,20100,2025-02-13,2024-11-07
2025Q2,2,2025,2025-08-06,ledger,3096,23500,24500,17600,2025-05-01,2025-02-13
2025Q3,3,2025,2025-11-06,ledger,4095,22900,23500,24500,2025-08-06,2025-05-01
2025Q4,4,2025,2026-02-12,ledger,2778,20400,22900,23500,2025-11-06,2025-08-06
2026Q1,1,2026,2026-05-07,ledger,2678,29200,20400,22900,2026-02-12,2025-11-06
2026Q2,2,2026,2026-08-06,ledger,3608,27200,29200,20400,2026-05-07,2026-02-12
