binding_kind,research_commit,research_path,expected_sha256,git_object_sha256,git_binding_status,canonical_bundle_path,canonical_bundle_sha256,result
accepted_specification,7fb6fe0f248d5492b899672b9b70545da62d63ee,data/processed/forecast_methods/conversion_validation_v1/results_v2/accepted_validation_spec.json,f7cec04de2cdacfaad0fd7bb774992d933130e76918cca788bce151d482ddb40,f7cec04de2cdacfaad0fd7bb774992d933130e76918cca788bce151d482ddb40,exact,payload/conversion/accepted_validation_spec.json,f7cec04de2cdacfaad0fd7bb774992d933130e76918cca788bce151d482ddb40,PASS
review,7fb6fe0f248d5492b899672b9b70545da62d63ee,docs/revenue-forecast-strategy/05_backtests/L3_CONVERSION_INDEPENDENT_REVIEW_v1.md,250dc0636af5cbee45811dabca729b74be35052e04b5154348e850df9ca5f71e,250dc0636af5cbee45811dabca729b74be35052e04b5154348e850df9ca5f71e,exact,research_notes/L3_CONVERSION_INDEPENDENT_REVIEW_v1.md,250dc0636af5cbee45811dabca729b74be35052e04b5154348e850df9ca5f71e,PASS
review,7fb6fe0f248d5492b899672b9b70545da62d63ee,docs/revenue-forecast-strategy/05_backtests/L3_CONVERSION_INDEPENDENT_REVIEW_v2.md,61b2ea97fd0f05a43dc13bcc7cc6c9ce86370537b0d6898d6fcf8db664e4df68,61b2ea97fd0f05a43dc13bcc7cc6c9ce86370537b0d6898d6fcf8db664e4df68,exact,research_notes/L3_CONVERSION_INDEPENDENT_REVIEW_v2.md,61b2ea97fd0f05a43dc13bcc7cc6c9ce86370537b0d6898d6fcf8db664e4df68,PASS
source,7fb6fe0f248d5492b899672b9b70545da62d63ee,analysis/src/forecast_methods/conversion_validation_v1/charts.py,90ba262e041970c26a7ce9c747722edfc4c56357fbcc9a2963d5a8f3254e192f,90ba262e041970c26a7ce9c747722edfc4c56357fbcc9a2963d5a8f3254e192f,exact,,,PASS
source,7fb6fe0f248d5492b899672b9b70545da62d63ee,analysis/src/forecast_methods/conversion_validation_v1/model.py,a9046663fb0e9c705337eb537282f17e54e9f2499c019d33793677007c8d94ae,a9046663fb0e9c705337eb537282f17e54e9f2499c019d33793677007c8d94ae,exact,,,PASS
source,7fb6fe0f248d5492b899672b9b70545da62d63ee,analysis/src/forecast_methods/conversion_validation_v1/README.md,49e0db3d616a0c64af500adaac9fd6b243afabe176adcacb05236338aed53dc1,49e0db3d616a0c64af500adaac9fd6b243afabe176adcacb05236338aed53dc1,exact,,,PASS
source,7fb6fe0f248d5492b899672b9b70545da62d63ee,analysis/src/forecast_methods/conversion_validation_v1/run.py,bb3e9f930d7a1acf050908c0e4ad53b8fa0b71018ef4425e0ef54d52aaff1e85,bb3e9f930d7a1acf050908c0e4ad53b8fa0b71018ef4425e0ef54d52aaff1e85,exact,,,PASS
source,7fb6fe0f248d5492b899672b9b70545da62d63ee,analysis/src/forecast_methods/conversion_validation_v1/test_conversion.py,292a637d2d1bf53bdce949e30b2b4aeff7e1b442f5244dcbe88eea1af85119d1,292a637d2d1bf53bdce949e30b2b4aeff7e1b442f5244dcbe88eea1af85119d1,exact,,,PASS
output,7fb6fe0f248d5492b899672b9b70545da62d63ee,data/processed/forecast_methods/conversion_validation_v1/results_v2/01_seasonal_conversion.png,52ffcb5cef1e965127370afca0d233d0de57efeed8dd369e98e662823a7642ac,52ffcb5cef1e965127370afca0d233d0de57efeed8dd369e98e662823a7642ac,exact,payload/conversion/01_seasonal_conversion.png,52ffcb5cef1e965127370afca0d233d0de57efeed8dd369e98e662823a7642ac,PASS
output,7fb6fe0f248d5492b899672b9b70545da62d63ee,data/processed/forecast_methods/conversion_validation_v1/results_v2/01_seasonal_conversion.svg,851d5cee2aca6204aabbaeba3d3144c2ee40f896ab0773bb4a3763f7f48c59fe,851d5cee2aca6204aabbaeba3d3144c2ee40f896ab0773bb4a3763f7f48c59fe,exact,payload/conversion/01_seasonal_conversion.svg,851d5cee2aca6204aabbaeba3d3144c2ee40f896ab0773bb4a3763f7f48c59fe,PASS
output,7fb6fe0f248d5492b899672b9b70545da62d63ee,data/processed/forecast_methods/conversion_validation_v1/results_v2/02_weight_identification.png,70664777090d6c6ead68763878c126d4591893b5725c2a785884c33761f0b27b,70664777090d6c6ead68763878c126d4591893b5725c2a785884c33761f0b27b,exact,payload/conversion/02_weight_identification.png,70664777090d6c6ead68763878c126d4591893b5725c2a785884c33761f0b27b,PASS
output,7fb6fe0f248d5492b899672b9b70545da62d63ee,data/processed/forecast_methods/conversion_validation_v1/results_v2/02_weight_identification.svg,cfa380225529c79283e14259248002f16efa92d83de457058b49e76e2d568350,cfa380225529c79283e14259248002f16efa92d83de457058b49e76e2d568350,exact,payload/conversion/02_weight_identification.svg,cfa380225529c79283e14259248002f16efa92d83de457058b49e76e2d568350,PASS
output,7fb6fe0f248d5492b899672b9b70545da62d63ee,data/processed/forecast_methods/conversion_validation_v1/results_v2/03_chronological_validation.png,89b39cb8527bdd531caba51b7c50e9939254b43c6bbb25e537217f74acd72248,89b39cb8527bdd531caba51b7c50e9939254b43c6bbb25e537217f74acd72248,exact,payload/conversion/03_chronological_validation.png,89b39cb8527bdd531caba51b7c50e9939254b43c6bbb25e537217f74acd72248,PASS
output,7fb6fe0f248d5492b899672b9b70545da62d63ee,data/processed/forecast_methods/conversion_validation_v1/results_v2/03_chronological_validation.svg,e0322de126adef6d857401cd944ac296e77aa04590fa78217e60a2343e5ca2e4,e0322de126adef6d857401cd944ac296e77aa04590fa78217e60a2343e5ca2e4,exact,payload/conversion/03_chronological_validation.svg,e0322de126adef6d857401cd944ac296e77aa04590fa78217e60a2343e5ca2e4,PASS
output,7fb6fe0f248d5492b899672b9b70545da62d63ee,data/processed/forecast_methods/conversion_validation_v1/results_v2/accepted_validation_spec.json,f7cec04de2cdacfaad0fd7bb774992d933130e76918cca788bce151d482ddb40,f7cec04de2cdacfaad0fd7bb774992d933130e76918cca788bce151d482ddb40,exact,payload/conversion/accepted_validation_spec.json,f7cec04de2cdacfaad0fd7bb774992d933130e76918cca788bce151d482ddb40,PASS
