source,window,feature,target,baseline,n,rmse,baseline_rmse,ratio,historical_pit_admissible
legacy_cached_features,W1,ntto_overseas_qtd1m,nights_growth_pct,legacy_last_growth,11,1.9036534574155735,2.1092550817765026,0.9025240587839367,False
legacy_cached_features,W1,ntto_overseas_qtd1m,nights_m,frozen_harness_naive,11,2.0195227545415304,2.5056570554810214,0.8059853003921298,False
legacy_cached_features,W1,ntto_overseas_qtd1m,nights_m,frozen_harness_ar1,11,2.0195227545415304,4.610949999282945,0.43798409326832627,False
legacy_cached_features,W1,ntto_overseas_qtd1m,nights_m,frozen_harness_trailing4,11,2.0195227545415304,2.7171314888892097,0.7432554378761888,False
legacy_cached_features,W1,ntto_total_full,nights_growth_pct,legacy_last_growth,11,1.6036485288954527,2.1092550817765026,0.7602914141350761,False
legacy_cached_features,W1,ntto_total_full,nights_m,frozen_harness_naive,11,1.8584546794612724,2.5056570554810214,0.7417035285798508,False
legacy_cached_features,W1,ntto_total_full,nights_m,frozen_harness_ar1,11,1.8584546794612724,4.610949999282945,0.4030524468385654,False
legacy_cached_features,W1,ntto_total_full,nights_m,frozen_harness_trailing4,11,1.8584546794612724,2.7171314888892097,0.6839767184844732,False
legacy_cached_features,W1,ntto_total_qtd1m,nights_growth_pct,legacy_last_growth,11,2.2558694786772215,2.1092550817765026,1.0695100361105847,False
legacy_cached_features,W1,ntto_total_qtd1m,nights_m,frozen_harness_naive,11,2.2479127631699147,2.5056570554810214,0.8971350481713762,False
legacy_cached_features,W1,ntto_total_qtd1m,nights_m,frozen_harness_ar1,11,2.2479127631699147,4.610949999282945,0.4875161872324555,False
legacy_cached_features,W1,ntto_total_qtd1m,nights_m,frozen_harness_trailing4,11,2.2479127631699147,2.7171314888892097,0.8273109977790893,False
legacy_cached_features,W2,ntto_overseas_qtd1m,nights_growth_pct,legacy_last_growth,10,1.6040842218124327,2.1591433023308118,0.7429262430524234,False
legacy_cached_features,W2,ntto_overseas_qtd1m,nights_m,frozen_harness_naive,10,1.8582060310799624,2.5934205546950335,0.7165077903450462,False
legacy_cached_features,W2,ntto_overseas_qtd1m,nights_m,frozen_harness_ar1,10,1.8582060310799624,4.487028703561928,0.4141284029685094,False
legacy_cached_features,W2,ntto_overseas_qtd1m,nights_m,frozen_harness_trailing4,10,1.8582060310799624,2.6443770669620217,0.7027008569601432,False
legacy_cached_features,W2,ntto_total_full,nights_growth_pct,legacy_last_growth,10,1.554297200638822,2.1591433023308118,0.7198675506905662,False
legacy_cached_features,W2,ntto_total_full,nights_m,frozen_harness_naive,10,1.783646647968146,2.5934205546950335,0.6877583524735692,False
legacy_cached_features,W2,ntto_total_full,nights_m,frozen_harness_ar1,10,1.783646647968146,4.487028703561928,0.39751175350232054,False
legacy_cached_features,W2,ntto_total_full,nights_m,frozen_harness_trailing4,10,1.783646647968146,2.6443770669620217,0.6745054138656855,False
legacy_cached_features,W2,ntto_total_qtd1m,nights_growth_pct,legacy_last_growth,10,1.5629166993343129,2.1591433023308118,0.7238596426865842,False
legacy_cached_features,W2,ntto_total_qtd1m,nights_m,frozen_harness_naive,10,1.8018524381070102,2.5934205546950335,0.6947783439307608,False
