quarter,vintage_date,point,sd,n_train,actual,target,pool,scheme,window,prior_basis
2023Q1,2023-02-14,1877.7315341908372,144.67560402959256,0,1818.0,revenue_musd,all,equal,W1,PIT
2023Q2,2023-05-09,2566.870143747862,162.8990584367046,0,2484.0,revenue_musd,all,equal,W1,PIT
2023Q3,2023-08-03,3430.649246636949,204.71936268804183,1,3397.0,revenue_musd,all,equal,W1,PIT
2023Q4,2023-11-01,2216.5441472071834,111.22929083892359,2,2218.0,revenue_musd,all,equal,W1,PIT
2024Q1,2024-02-13,2128.1263053940766,107.33845712374021,3,2142.0,revenue_musd,all,equal,W1,PIT
2024Q2,2024-05-08,2875.5857118186664,147.5887864892191,4,2748.0,revenue_musd,all,equal,W1,PIT
2024Q3,2024-08-06,3818.1061270781393,188.92052883349325,5,3732.0,revenue_musd,all,equal,W1,PIT
2024Q4,2024-11-07,2454.379949785245,110.35123159715343,6,2480.0,revenue_musd,all,equal,W1,PIT
2025Q1,2025-02-13,2371.687964650136,107.90237269660587,7,2272.0,revenue_musd,all,equal,W1,PIT
2025Q2,2025-05-01,3068.8794415146385,166.63696309461352,8,3096.0,revenue_musd,all,equal,W1,PIT
2025Q3,2025-08-06,4130.597653439652,188.24958592596985,9,4095.0,revenue_musd,all,equal,W1,PIT
2025Q4,2025-11-06,2741.3843127468717,108.71577009962401,10,2778.0,revenue_musd,all,equal,W1,PIT
2026Q1,2026-02-12,2652.664425967818,126.17903009226403,11,2678.0,revenue_musd,all,equal,W1,PIT
2026Q2,2026-05-07,3621.034844836319,147.66408810859554,12,3608.0,revenue_musd,all,equal,W1,PIT
2023Q1,2023-02-14,1877.7315341908372,144.67560402959256,0,1818.0,revenue_musd,all,inv_mse,W1,PIT
2023Q2,2023-05-09,2566.870143747862,162.8990584367046,0,2484.0,revenue_musd,all,inv_mse,W1,PIT
2023Q3,2023-08-03,3430.649246636949,204.71936268804183,1,3397.0,revenue_musd,all,inv_mse,W1,PIT
2023Q4,2023-11-01,2216.5441472071834,111.22929083892359,2,2218.0,revenue_musd,all,inv_mse,W1,PIT
2024Q1,2024-02-13,2128.1263053940766,107.33845712374021,3,2142.0,revenue_musd,all,inv_mse,W1,PIT
2024Q2,2024-05-08,2838.4483329170084,114.00941079206203,4,2748.0,revenue_musd,all,inv_mse,W1,PIT
2024Q3,2024-08-06,3779.4385250107453,132.08780470444768,5,3732.0,revenue_musd,all,inv_mse,W1,PIT
2024Q4,2024-11-07,2457.8923173416088,66.61872187197376,6,2480.0,revenue_musd,all,inv_mse,W1,PIT
2025Q1,2025-02-13,2354.0073487729906,76.62461728439304,7,2272.0,revenue_musd,all,inv_mse,W1,PIT
2025Q2,2025-05-01,3053.9403117404895,107.76943886507397,8,3096.0,revenue_musd,all,inv_mse,W1,PIT
2025Q3,2025-08-06,4128.812223682608,123.60282357542368,9,4095.0,revenue_musd,all,inv_mse,W1,PIT
2025Q4,2025-11-06,2746.655631535728,70.21864334183103,10,2778.0,revenue_musd,all,inv_mse,W1,PIT
2026Q1,2026-02-12,2667.533815089027,85.61861692087518,11,2678.0,revenue_musd,all,inv_mse,W1,PIT
2026Q2,2026-05-07,3623.204585413924,96.6317275870946,12,3608.0,revenue_musd,all,inv_mse,W1,PIT
2023Q1,2023-02-14,1877.7315341908372,144.67560402959256,0,1818.0,revenue_musd,all,stack_ls,W1,PIT
2023Q2,2023-05-09,2566.870143747862,162.8990584367046,0,2484.0,revenue_musd,all,stack_ls,W1,PIT
2023Q3,2023-08-03,3430.649246636949,204.71936268804183,1,3397.0,revenue_musd,all,stack_ls,W1,PIT
2023Q4,2023-11-01,2216.5441472071834,111.22929083892359,2,2218.0,revenue_musd,all,stack_ls,W1,PIT
2024Q1,2024-02-13,2128.1263053940766,107.33845712374021,3,2142.0,revenue_musd,all,stack_ls,W1,PIT
2024Q2,2024-05-08,2813.9660144235086,122.96767874183847,4,2748.0,revenue_musd,all,stack_ls,W1,PIT
2024Q3,2024-08-06,3766.0917779631927,119.1816782494994,5,3732.0,revenue_musd,all,stack_ls,W1,PIT
2024Q4,2024-11-07,2460.2546006564953,46.366943678063784,6,2480.0,revenue_musd,all,stack_ls,W1,PIT
2025Q1,2025-02-13,2339.3457013176785,55.62815253185566,7,2272.0,revenue_musd,all,stack_ls,W1,PIT
2025Q2,2025-05-01,3061.800855247314,55.30230501822857,8,3096.0,revenue_musd,all,stack_ls,W1,PIT
2025Q3,2025-08-06,4121.198540026272,71.87865616340764,9,4095.0,revenue_musd,all,stack_ls,W1,PIT
2025Q4,2025-11-06,2742.6844222793948,48.39915454854074,10,2778.0,revenue_musd,all,stack_ls,W1,PIT
2026Q1,2026-02-12,2661.403185442371,64.06669101133087,11,2678.0,revenue_musd,all,stack_ls,W1,PIT
2026Q2,2026-05-07,3621.33827206805,64.20279200824514,12,3608.0,revenue_musd,all,stack_ls,W1,PIT
2023Q1,2023-02-14,1877.7315341908372,144.67560402959256,0,1818.0,revenue_musd,all,stack_shrunk,W1,PIT
2023Q2,2023-05-09,2566.870143747862,162.8990584367046,0,2484.0,revenue_musd,all,stack_shrunk,W1,PIT
2023Q3,2023-08-03,3430.649246636949,204.71936268804183,1,3397.0,revenue_musd,all,stack_shrunk,W1,PIT
2023Q4,2023-11-01,2216.5441472071834,111.22929083892359,2,2218.0,revenue_musd,all,stack_shrunk,W1,PIT
2024Q1,2024-02-13,2128.1263053940766,107.33845712374021,3,2142.0,revenue_musd,all,stack_shrunk,W1,PIT
2024Q2,2024-05-08,2844.7758631210877,139.28746078892325,4,2748.0,revenue_musd,all,stack_shrunk,W1,PIT
2024Q3,2024-08-06,3792.0989525206655,160.07495885056431,5,3732.0,revenue_musd,all,stack_shrunk,W1,PIT
2024Q4,2024-11-07,2457.31727522087,84.68926597415658,6,2480.0,revenue_musd,all,stack_shrunk,W1,PIT
2025Q1,2025-02-13,2355.5168329839075,87.35108581579752,7,2272.0,revenue_musd,all,stack_shrunk,W1,PIT
2025Q2,2025-05-01,3065.340148380976,124.19999114632971,8,3096.0,revenue_musd,all,stack_shrunk,W1,PIT
2025Q3,2025-08-06,4125.898096732963,142.5633534251269,9,4095.0,revenue_musd,all,stack_shrunk,W1,PIT
2025Q4,2025-11-06,2742.0343675131335,84.14999100346391,10,2778.0,revenue_musd,all,stack_shrunk,W1,PIT
2026Q1,2026-02-12,2657.033805705094,100.15955144354146,11,2678.0,revenue_musd,all,stack_shrunk,W1,PIT
2026Q2,2026-05-07,3621.1865584521847,113.85676846951068,12,3608.0,revenue_musd,all,stack_shrunk,W1,PIT
2023Q1,2023-02-14,1877.7315341908372,144.67560402959256,0,1818.0,revenue_musd,all,bma_logscore,W1,PIT
2023Q2,2023-05-09,2566.870143747862,162.8990584367046,0,2484.0,revenue_musd,all,bma_logscore,W1,PIT
2023Q3,2023-08-03,3430.649246636949,204.71936268804183,1,3397.0,revenue_musd,all,bma_logscore,W1,PIT
2023Q4,2023-11-01,2216.5441472071834,111.22929083892359,2,2218.0,revenue_musd,all,bma_logscore,W1,PIT
