input,path,original_sha256,current_sha256,matches
calendar,data\processed\forecast_methods\harness\calendar.csv,8433249c908b2adf1a18e9d47aa8b81a0759471ef592aa926c4050a45880efe2,8433249c908b2adf1a18e9d47aa8b81a0759471ef592aa926c4050a45880efe2,True
targets,data\processed\forecast_methods\harness\targets.csv,6b7e98b22f1064b1b79d2899790e21f45f745aefb3ebe7a1016cfb213e4ee4d2,6b7e98b22f1064b1b79d2899790e21f45f745aefb3ebe7a1016cfb213e4ee4d2,True
vintages,data\processed\forecast_methods\L0\L0_vintage_register.csv,199904b04ee4286644b7d2c36f5f9f53f401ff2e2c4ae908ab099125f2de727d,199904b04ee4286644b7d2c36f5f9f53f401ff2e2c4ae908ab099125f2de727d,True
fy,data\processed\overnight\02_fy_guide_revisions.csv,eabcd118fc428559cee78ad63090c2015f53cf29fd9e268e7754fbbc136776fd,eabcd118fc428559cee78ad63090c2015f53cf29fd9e268e7754fbbc136776fd,True
guidance,data\processed\overnight\02_guidance_ledger.csv,c1a2b34330dc6655c549cbe7cab66adabcaaffcffc4441c833c726714d8267f2,c1a2b34330dc6655c549cbe7cab66adabcaaffcffc4441c833c726714d8267f2,True
consensus,data\processed\overnight\16_consensus_at_print_merged.csv,b4f19f66cac431b31cdc6c5e7ae31d63527ac5f0de517d7e6f70148f9e8d961d,b4f19f66cac431b31cdc6c5e7ae31d63527ac5f0de517d7e6f70148f9e8d961d,True
returns,data\processed\forecast_methods\returns_v1\earnings_reactions_open_v1.csv,11347775f5190c3496a7533d65f55ad8738e43df94ed9494b77697589a149c02,11347775f5190c3496a7533d65f55ad8738e43df94ed9494b77697589a149c02,True
kernel,analysis\src\forecast_methods\kernel_engine_v2\engine.py,328431c5f9379e6d4ae7e9c5d01212ee1bcd550b02c3c9783b85851e3e9a3279,328431c5f9379e6d4ae7e9c5d01212ee1bcd550b02c3c9783b85851e3e9a3279,True
02_kpi_panel_quarterly,data\processed\overnight\02_kpi_panel_quarterly.csv,,c8a42085fb1bda12e979308257413ae877efd36c14b79152ecee558ccb8c16ac,
02_guidance_cushion_series,data\processed\overnight\02_guidance_cushion_series.csv,,0140b2763604826c3b59dfde2ef90c186c8bb2c2c95de4b9e7c758eea54ce578,
