guest_fee_share,region,currency,judgement_destination_weight,scenario_revenue_weight,scenario_gbv_weight,measured_airbnb_weight,status
0.0,na,USD,0.9,0.9,0.9,,not identified; scenario must not replace original basket
0.0,na,CAD,0.08,0.08,0.08,,not identified; scenario must not replace original basket
0.0,na,EUR,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,na,GBP,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,na,BRL,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,na,MXN,0.02,0.02,0.02,,not identified; scenario must not replace original basket
0.0,na,AUD,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,na,JPY,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,na,KRW,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,na,INR,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,emea,USD,0.05,0.05,0.05,,not identified; scenario must not replace original basket
0.0,emea,CAD,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,emea,EUR,0.7,0.7,0.7,,not identified; scenario must not replace original basket
0.0,emea,GBP,0.25,0.25,0.25,,not identified; scenario must not replace original basket
0.0,emea,BRL,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,emea,MXN,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,emea,AUD,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,emea,JPY,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,emea,KRW,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,emea,INR,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,latam,USD,0.07,0.07,0.07,,not identified; scenario must not replace original basket
0.0,latam,CAD,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,latam,EUR,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,latam,GBP,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,latam,BRL,0.55,0.55,0.55,,not identified; scenario must not replace original basket
0.0,latam,MXN,0.38,0.38,0.38,,not identified; scenario must not replace original basket
0.0,latam,AUD,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,latam,JPY,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,latam,KRW,0.0,0.0,0.0,,not identified; scenario must not replace original basket
0.0,latam,INR,0.0,0.0,0.0,,not identified; scenario must not replace original basket
