method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2023Q1,2023-02-14,0,1863.2869565217393,1863.2869565217393,W1,PIT,5,4,1833.0382018516923,1839.6765442554552,1850.8233809571582,1875.834462685779,1887.2003848639345,1894.034875452611,18.632869565217334,,,,,,,,2023-02-14,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2023Q1,2023-02-14,0,1814.6685797168582,1814.6685797168582,W1,full_sample,5,18,1765.5362693613893,1776.2721136637144,1794.358362480782,1835.2086868861845,1853.895036059232,1865.1681709165434,30.53535372883266,,,,,,,,2023-02-14,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2023Q2,2023-05-09,0,2499.938730853392,2499.938730853392,W1,PIT,5,5,2430.0092279863775,2445.2839194489356,2471.0235933097333,2529.192224202891,2555.815137993989,2571.8806274656254,43.49284588823957,,,,,,,,2023-05-09,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2023Q2,2023-05-09,0,2485.7154637061185,2485.7154637061185,W1,full_sample,5,18,2418.4145003328217,2433.1203559896135,2457.894724636056,2513.8511037825792,2539.4474840907146,2554.8893151514785,41.8270321103696,,,,,,,,2023-05-09,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2023Q3,2023-08-03,0,3300.828125000001,3300.828125000001,W1,PIT,5,6,3232.956744317737,3247.8260289435925,3272.8264390680088,3329.069388077206,3354.6951756941744,3370.1243698793587,41.95623342345516,,,,,,,,2023-08-03,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2023Q3,2023-08-03,0,3350.7735424570164,3350.7735424570164,W1,full_sample,5,18,3260.0510560156745,3279.8747215853855,3313.270860525525,3388.7007146313117,3423.2049349137483,3444.020703943222,56.38332890521724,,,,,,,,2023-08-03,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2023Q4,2023-11-01,0,2197.954356846473,2197.954356846473,W1,PIT,5,7,2142.496221898664,2154.623302317808,2175.041899774938,2221.1081797000215,2242.1568306550384,2254.8480157874865,34.4144832741008,,,,,,,,2023-11-01,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2023Q4,2023-11-01,0,2224.637213659917,2224.637213659917,W1,full_sample,5,18,2164.4049667187596,2177.5662453246514,2199.738526601621,2249.817727221559,2272.7256830998112,2286.5456365604564,37.43387910977617,,,,,,,,2023-11-01,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q1,2024-02-13,0,2130.1343539497852,2130.1343539497852,W1,PIT,5,8,2082.1944853760724,2092.6890074642856,2110.3442761085685,2150.110016287994,2168.249725445412,2179.1779767669204,29.682415231887717,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q1,2024-02-13,0,2100.0742014094158,2100.0742014094158,W1,full_sample,5,18,2043.214508908838,2055.6388545450973,2076.5696542324545,2123.84479491758,2145.4700769417877,2158.516216577127,35.33786241388407,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q1,2024-02-13,0,2130.1343539497852,2130.1343539497852,W2,PIT,5,8,2082.1944853760724,2092.6890074642856,2110.3442761085685,2150.110016287994,2168.249725445412,2179.1779767669204,29.682415231887717,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q1,2024-02-13,0,2100.0742014094158,2100.0742014094158,W2,full_sample,5,18,2043.214508908838,2055.6388545450973,2076.5696542324545,2123.84479491758,2145.4700769417877,2158.516216577127,35.33786241388407,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q2,2024-05-08,0,2813.2177182441333,2813.2177182441333,W1,PIT,5,9,2755.7843485161766,2768.3676058740316,2789.523480436884,2837.1132151227625,2858.794443862902,2871.848058250291,35.49948052796344,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q2,2024-05-08,0,2806.157604515379,2806.157604515379,W1,full_sample,5,18,2730.180642180514,2746.782280334498,2774.750398161881,2837.9203068484726,2866.8164046917263,2884.248895373583,47.21909886492904,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q2,2024-05-08,0,2813.2177182441333,2813.2177182441333,W2,PIT,5,9,2755.7843485161766,2768.3676058740316,2789.523480436884,2837.1132151227625,2858.794443862902,2871.848058250291,35.49948052796344,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q2,2024-05-08,0,2806.157604515379,2806.157604515379,W2,full_sample,5,18,2730.180642180514,2746.782280334498,2774.750398161881,2837.9203068484726,2866.8164046917263,2884.248895373583,47.21909886492904,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q3,2024-08-06,0,3731.81038022611,3731.81038022611,W1,PIT,5,10,3647.9883716485842,3666.338180891907,3697.2082384239366,3766.7363631916883,3798.451759454296,3817.5584171804144,51.89729725053212,,,,,,,,2024-08-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q3,2024-08-06,0,3733.882462840327,3733.882462840327,W1,full_sample,5,18,3632.7872689048404,3654.877462790542,3692.091931609503,3776.14601818131,3814.595260236653,3837.7909892063567,62.82988698823692,,,,,,,,2024-08-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q3,2024-08-06,0,3731.81038022611,3731.81038022611,W2,PIT,5,10,3647.9883716485842,3666.338180891907,3697.2082384239366,3766.7363631916883,3798.451759454296,3817.5584171804144,51.89729725053212,,,,,,,,2024-08-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q3,2024-08-06,0,3733.882462840327,3733.882462840327,W2,full_sample,5,18,3632.7872689048404,3654.877462790542,3692.091931609503,3776.14601818131,3814.595260236653,3837.7909892063567,62.82988698823692,,,,,,,,2024-08-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q4,2024-11-07,0,2433.9281643660097,2433.9281643660097,W1,PIT,5,11,2383.2460855437635,2394.348373493882,2413.0166289836116,2455.020922002246,2474.162229220499,2485.6880475867733,31.33698734186737,,,,,,,,2024-11-07,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q4,2024-11-07,0,2452.2930865120093,2452.2930865120093,W1,full_sample,5,18,2385.897036921578,2400.405160914428,2424.846418910944,2480.0504210305885,2505.3026381028453,2520.5368417380982,41.264635140758855,,,,,,,,2024-11-07,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q4,2024-11-07,0,2433.9281643660097,2433.9281643660097,W2,PIT,5,11,2383.2460855437635,2394.348373493882,2413.0166289836116,2455.020922002246,2474.162229220499,2485.6880475867733,31.33698734186737,,,,,,,,2024-11-07,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
