method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2023Q1,2023-02-14,0,1863.2869565217393,1863.2869565217393,W1,PIT,5,4,1833.0382018516923,1839.6765442554552,1850.8233809571582,1875.834462685779,1887.2003848639345,1894.034875452611,18.632869565217334,,,,,,,,2023-02-14,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2023Q1,2023-02-14,0,1797.351980687517,1797.351980687517,W1,full_sample,5,18,1748.6885187638336,1759.3219155376664,1777.2355750884565,1817.696082479417,1836.2041158874986,1847.369676084451,30.243968027525398,,,,,,,,2023-02-14,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2023Q2,2023-05-09,0,2499.938730853392,2499.938730853392,W1,PIT,5,5,2430.0092279863775,2445.2839194489356,2471.0235933097333,2529.192224202891,2555.815137993989,2571.8806274656254,43.49284588823957,,,,,,,,2023-05-09,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2023Q2,2023-05-09,0,2481.5461958924006,2481.5461958924006,W1,full_sample,5,18,2414.3581158094566,2429.03930546905,2453.77212029354,2509.6346443170805,2535.1880920506214,2550.6040226693726,41.7568760119475,,,,,,,,2023-05-09,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2023Q3,2023-08-03,0,3300.828125000001,3300.828125000001,W1,PIT,5,6,3232.956744317737,3247.8260289435925,3272.8264390680088,3329.069388077206,3354.6951756941744,3370.1243698793587,41.95623342345516,,,,,,,,2023-08-03,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2023Q3,2023-08-03,0,3367.4220149426883,3367.4220149426883,W1,full_sample,5,18,3276.248769654108,3296.170930018117,3329.7329992108466,3405.53763001663,3440.2132861047794,3461.132479240229,56.663472068589726,,,,,,,,2023-08-03,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2023Q4,2023-11-01,0,2197.954356846473,2197.954356846473,W1,PIT,5,7,2142.496221898664,2154.623302317808,2175.041899774938,2221.1081797000215,2242.1568306550384,2254.8480157874865,34.4144832741008,,,,,,,,2023-11-01,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2023Q4,2023-11-01,0,2233.5314992643985,2233.5314992643985,W1,full_sample,5,18,2173.058438763347,2186.272337261652,2208.533265173214,2258.8126866248554,2281.812230426274,2295.6874372164793,37.58354288867986,,,,,,,,2023-11-01,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q1,2024-02-13,0,2130.1343539497852,2130.1343539497852,W1,PIT,5,8,2082.1944853760724,2092.6890074642856,2110.3442761085685,2150.110016287994,2168.249725445412,2179.1779767669204,29.682415231887717,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q1,2024-02-13,0,2080.0340997158355,2080.0340997158355,W1,full_sample,5,18,2023.7169947196483,2036.022780187957,2056.753846287815,2103.577860709748,2124.9967820012607,2137.9184279568885,35.000648445000024,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q1,2024-02-13,0,2130.1343539497852,2130.1343539497852,W2,PIT,5,8,2082.1944853760724,2092.6890074642856,2110.3442761085685,2150.110016287994,2168.249725445412,2179.1779767669204,29.682415231887717,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q1,2024-02-13,0,2080.0340997158355,2080.0340997158355,W2,full_sample,5,18,2023.7169947196483,2036.022780187957,2056.753846287815,2103.577860709748,2124.9967820012607,2137.9184279568885,35.000648445000024,,,,,,,,2024-02-13,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q2,2024-05-08,0,2813.2177182441333,2813.2177182441333,W1,PIT,5,9,2755.7843485161766,2768.3676058740316,2789.523480436884,2837.1132151227625,2858.794443862902,2871.848058250291,35.49948052796344,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q2,2024-05-08,0,2801.4508620295423,2801.4508620295423,W1,full_sample,5,18,2725.6013351587408,2742.175127536882,2770.096334696021,2833.160289072504,2862.00791975512,2879.411171079788,47.13989870225396,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q2,2024-05-08,0,2813.2177182441333,2813.2177182441333,W2,PIT,5,9,2755.7843485161766,2768.3676058740316,2789.523480436884,2837.1132151227625,2858.794443862902,2871.848058250291,35.49948052796344,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q2,2024-05-08,0,2801.4508620295423,2801.4508620295423,W2,full_sample,5,18,2725.6013351587408,2742.175127536882,2770.096334696021,2833.160289072504,2862.00791975512,2879.411171079788,47.13989870225396,,,,,,,,2024-05-08,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q3,2024-08-06,0,3731.81038022611,3731.81038022611,W1,PIT,5,10,3647.9883716485842,3666.338180891907,3697.2082384239366,3766.7363631916883,3798.451759454296,3817.5584171804144,51.89729725053212,,,,,,,,2024-08-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q3,2024-08-06,0,3752.434429620436,3752.434429620436,W1,full_sample,5,18,3650.8369395633677,3673.0368895935685,3710.436260212771,3794.907973380308,3833.5482522635184,3856.859230279642,63.142060171995126,,,,,,,,2024-08-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q3,2024-08-06,0,3731.81038022611,3731.81038022611,W2,PIT,5,10,3647.9883716485842,3666.338180891907,3697.2082384239366,3766.7363631916883,3798.451759454296,3817.5584171804144,51.89729725053212,,,,,,,,2024-08-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q3,2024-08-06,0,3752.434429620436,3752.434429620436,W2,full_sample,5,18,3650.8369395633677,3673.0368895935685,3710.436260212771,3794.907973380308,3833.5482522635184,3856.859230279642,63.142060171995126,,,,,,,,2024-08-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q4,2024-11-07,0,2433.9281643660097,2433.9281643660097,W1,PIT,5,11,2383.2460855437635,2394.348373493882,2413.0166289836116,2455.020922002246,2474.162229220499,2485.6880475867733,31.33698734186737,,,,,,,,2024-11-07,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
