method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2023Q1,2023-02-14,0,1.1861764297292299,1.1861764297292299,W1,PIT,0,0,,-0.9509494954882431,,,3.323302354946703,,1.6676081752911651,,,,,,,,2023-02-14,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2023Q2,2023-05-09,0,1.0094810012122377,1.0094810012122377,W1,PIT,0,0,,-0.4640100492667434,,,2.4829720516912186,,1.1497711449769024,,,,,,,,2023-05-09,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2023Q3,2023-08-03,0,1.6093807008201089,1.6093807008201089,W1,PIT,0,1,,0.29003883457445,,,2.9287225670657677,,1.029487900639864,,,,,,,,2023-08-03,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2023Q4,2023-11-01,0,2.42990336366903,2.42990336366903,W1,PIT,0,2,,0.27428546419685773,,,4.585521263141202,,1.682037539083227,,,,,,,,2023-11-01,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2024Q1,2024-02-13,0,2.366270569086322,2.366270569086322,W1,PIT,0,3,,0.5643596504393935,,,4.168181487733251,,1.4060385228709704,,,,,,,,2024-02-13,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2024Q2,2024-05-08,0,2.7109776022955474,2.7109776022955474,W1,PIT,0,4,,1.7081109304243294,,,3.7138442741667657,,0.7825410009797639,,,,,,,,2024-05-08,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2024Q3,2024-08-06,0,2.326623343554958,2.326623343554958,W1,PIT,0,5,,1.336947861579434,,,3.316298825530482,,0.7722478610892639,,,,,,,,2024-08-06,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2024Q4,2024-11-07,0,1.7790040792173898,1.7790040792173898,W1,PIT,0,6,,0.7237364698458224,,,2.834271688588957,,0.8234296686700461,,,,,,,,2024-11-07,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2025Q1,2025-02-13,0,1.3367247943519658,1.3367247943519658,W1,PIT,0,7,,0.23356014103111478,,,2.439889447672817,,0.8608039296434502,,,,,,,,2025-02-13,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2025Q2,2025-05-01,0,-0.16631177226249602,-0.16631177226249602,W1,PIT,0,8,,-1.7189980986783238,,,1.3863745541533317,,1.2115675454783308,,,,,,,,2025-05-01,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2025Q3,2025-08-06,0,2.815392535192012,2.815392535192012,W1,PIT,0,9,,0.8845116906056654,,,4.7462733797783585,,1.506674288094484,,,,,,,,2025-08-06,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2025Q4,2025-11-06,0,3.7610933975427994,3.7610933975427994,W1,PIT,0,10,,1.923219691199833,,,5.598967103885766,,1.4341004344600454,,,,,,,,2025-11-06,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2026Q1,2026-02-12,0,4.711277539784413,4.711277539784413,W1,PIT,0,11,,2.6789620022097957,,,6.74359307735903,,1.58582419746081,,,,,,,,2026-02-12,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2026Q2,2026-05-07,0,7.512735840671872,7.512735840671872,W1,PIT,0,12,,4.643623283287855,,,10.381848398055888,,2.238780363883917,,,,,,,,2026-05-07,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2024Q1,2024-02-13,0,2.366270569086322,2.366270569086322,W2,PIT,0,3,,0.5643596504393935,,,4.168181487733251,,1.4060385228709704,,,,,,,,2024-02-13,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2024Q2,2024-05-08,0,2.7109776022955474,2.7109776022955474,W2,PIT,0,4,,1.7081109304243294,,,3.7138442741667657,,0.7825410009797639,,,,,,,,2024-05-08,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2024Q3,2024-08-06,0,2.326623343554958,2.326623343554958,W2,PIT,0,5,,1.336947861579434,,,3.316298825530482,,0.7722478610892639,,,,,,,,2024-08-06,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2024Q4,2024-11-07,0,1.7790040792173898,1.7790040792173898,W2,PIT,0,6,,0.7237364698458224,,,2.834271688588957,,0.8234296686700461,,,,,,,,2024-11-07,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2025Q1,2025-02-13,0,1.3367247943519658,1.3367247943519658,W2,PIT,0,7,,0.23356014103111478,,,2.439889447672817,,0.8608039296434502,,,,,,,,2025-02-13,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_adr_yoy_parsimonious,adr_yoy,2025Q2,2025-05-01,0,-0.16631177226249602,-0.16631177226249602,W2,PIT,0,8,,-1.7189980986783238,,,1.3863745541533317,,1.2115675454783308,,,,,,,,2025-05-01,stack_ls|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
