method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
optimal-mix,mix_nights_m_parsimonious,nights_m,2023Q1,2023-02-14,0,130.74268528848188,130.74268528848188,W1,PIT,0,0,,118.61051238643839,,,142.87485819052537,,9.466784561810455,,,,,,,,2023-02-14,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2023Q2,2023-05-09,0,127.07422640312717,127.07422640312717,W1,PIT,0,0,,117.16434349609519,,,136.98410931015914,,7.732722511549269,,,,,,,,2023-05-09,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2023Q3,2023-08-03,0,115.6875675004299,115.6875675004299,W1,PIT,0,1,,106.87005327503836,,,124.50508172582146,,6.880342723142441,,,,,,,,2023-08-03,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2023Q4,2023-11-01,0,102.26862973773522,102.26862973773522,W1,PIT,0,2,,94.91815952252627,,,109.61909995294418,,5.735602230303453,,,,,,,,2023-11-01,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2024Q1,2024-02-13,0,138.05655376799083,138.05655376799083,W1,PIT,0,3,,128.47635258674998,,,147.6367549492317,,7.4754705009465425,,,,,,,,2024-02-13,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2024Q2,2024-05-08,0,126.84224826234406,126.84224826234406,W1,PIT,0,4,,116.3649378283133,,,137.31955869637483,,8.17548855155794,,,,,,,,2024-05-08,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2024Q3,2024-08-06,0,123.81783709545712,123.81783709545712,W1,PIT,0,5,,114.03219768651108,,,133.60347650440318,,7.635774797476781,,,,,,,,2024-08-06,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2024Q4,2024-11-07,0,107.6392687969524,107.6392687969524,W1,PIT,0,6,,99.45934913782712,,,115.81918845607767,,6.382825052947752,,,,,,,,2024-11-07,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2025Q1,2025-02-13,0,148.68705093767028,148.68705093767028,W1,PIT,0,7,,137.1158171460729,,,160.25828472926764,,9.029081460003146,,,,,,,,2025-02-13,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2025Q2,2025-05-01,0,135.64916754292122,135.64916754292122,W1,PIT,0,8,,125.34576411157926,,,145.95257097426318,,8.039788199977249,,,,,,,,2025-05-01,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2025Q3,2025-08-06,0,132.6852416480991,132.6852416480991,W1,PIT,0,9,,126.80207167745357,,,138.56841161874462,,4.590661796720106,,,,,,,,2025-08-06,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2025Q4,2025-11-06,0,121.08307370802999,121.08307370802999,W1,PIT,0,10,,115.93211900363224,,,126.23402841242773,,4.0193112040106245,,,,,,,,2025-11-06,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_nights_m_parsimonious,nights_m,2026Q1,2026-02-12,0,157.01285201288113,157.01285201288113,W1,PIT,0,11,,151.0602941906161,,,162.96540983514615,,4.6448054235701575,,,,,,,,2026-02-12,top3_inv_mse|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
