method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2023Q1,2023-02-14,0,29.43742802769373,29.43742802769373,W1,PIT,0,0,,18.228722468648087,,,40.646133586739374,,8.74619918468023,,,,,,,,2023-02-14,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2023Q2,2023-05-09,0,24.213845662469602,24.213845662469602,W1,PIT,0,0,,13.927869093902729,,,34.499822231036475,,8.02618994706641,,,,,,,,2023-05-09,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2023Q3,2023-08-03,0,19.075767211297272,19.075767211297272,W1,PIT,0,1,,10.535897912472127,,,27.615636510122417,,6.66369524163143,,,,,,,,2023-08-03,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2023Q4,2023-11-01,0,19.799431745403957,19.799431745403957,W1,PIT,0,2,,11.017624448407677,,,28.581239042400238,,6.852480459621197,,,,,,,,2023-11-01,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q1,2024-02-13,0,18.380029647527966,18.380029647527966,W1,PIT,0,3,,10.401709423479058,,,26.358349871576873,,6.22551618214117,,,,,,,,2024-02-13,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q2,2024-05-08,0,12.797135989481024,12.797135989481024,W1,PIT,0,4,,4.570869296933989,,,21.02340268202806,,6.418989834312591,,,,,,,,2024-05-08,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q3,2024-08-06,0,11.383368994645501,11.383368994645501,W1,PIT,0,5,,4.1375666047547695,,,18.62917138453623,,5.653929494443089,,,,,,,,2024-08-06,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q4,2024-11-07,0,9.926883638597374,9.926883638597374,W1,PIT,0,6,,2.4909933107653135,,,17.362773966429437,,5.802255896549199,,,,,,,,2024-11-07,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q1,2025-02-13,0,7.249228603053194,7.249228603053194,W1,PIT,0,7,,-3.347378998765068,,,17.845836204871453,,8.268576623694482,,,,,,,,2025-02-13,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q2,2025-05-01,0,7.4274821155379875,7.4274821155379875,W1,PIT,0,8,,-0.2101075663574843,,,15.06507179743346,,5.959642734553546,,,,,,,,2025-05-01,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q3,2025-08-06,0,9.309039329299821,9.309039329299821,W1,PIT,0,9,,2.299420979502673,,,16.31865767909697,,5.469634113676849,,,,,,,,2025-08-06,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q4,2025-11-06,0,12.05179556781092,12.05179556781092,W1,PIT,0,10,,4.883085496558069,,,19.220505639063774,,5.593774040196939,,,,,,,,2025-11-06,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2026Q1,2026-02-12,0,17.546098035333785,17.546098035333785,W1,PIT,0,11,,5.871710665245105,,,29.220485405422465,,9.109572622818058,,,,,,,,2026-02-12,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2026Q2,2026-05-07,0,19.653032048253557,19.653032048253557,W1,PIT,0,12,,5.771946831198566,,,33.53411726530855,,10.831468055640515,,,,,,,,2026-05-07,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q1,2024-02-13,0,18.380029647527966,18.380029647527966,W2,PIT,0,3,,10.401709423479058,,,26.358349871576873,,6.22551618214117,,,,,,,,2024-02-13,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q2,2024-05-08,0,12.797135989481024,12.797135989481024,W2,PIT,0,4,,4.570869296933989,,,21.02340268202806,,6.418989834312591,,,,,,,,2024-05-08,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q3,2024-08-06,0,11.383368994645501,11.383368994645501,W2,PIT,0,5,,4.1375666047547695,,,18.62917138453623,,5.653929494443089,,,,,,,,2024-08-06,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q4,2024-11-07,0,9.926883638597374,9.926883638597374,W2,PIT,0,6,,2.4909933107653135,,,17.362773966429437,,5.802255896549199,,,,,,,,2024-11-07,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q1,2025-02-13,0,7.249228603053194,7.249228603053194,W2,PIT,0,7,,-3.347378998765068,,,17.845836204871453,,8.268576623694482,,,,,,,,2025-02-13,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q2,2025-05-01,0,7.4274821155379875,7.4274821155379875,W2,PIT,0,8,,-0.2101075663574843,,,15.06507179743346,,5.959642734553546,,,,,,,,2025-05-01,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q3,2025-08-06,0,9.309039329299821,9.309039329299821,W2,PIT,0,9,,2.299420979502673,,,16.31865767909697,,5.469634113676849,,,,,,,,2025-08-06,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q4,2025-11-06,0,12.05179556781092,12.05179556781092,W2,PIT,0,10,,4.883085496558069,,,19.220505639063774,,5.593774040196939,,,,,,,,2025-11-06,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2026Q1,2026-02-12,0,17.546098035333785,17.546098035333785,W2,PIT,0,11,,5.871710665245105,,,29.220485405422465,,9.109572622818058,,,,,,,,2026-02-12,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2026Q2,2026-05-07,0,19.653032048253557,19.653032048253557,W2,PIT,0,12,,5.771946831198566,,,33.53411726530855,,10.831468055640515,,,,,,,,2026-05-07,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2023Q1,2023-02-14,0,26.131853995796355,26.131853995796355,W1,full_sample,0,0,,15.550719735448176,,,36.712988256144534,,8.256502711516399,,,,,,,,2023-02-14,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2023Q2,2023-05-09,0,22.54234431932315,22.54234431932315,W1,full_sample,0,0,,13.779603092110703,,,31.305085546535594,,6.837603126719553,,,,,,,,2023-05-09,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2023Q3,2023-08-03,0,18.551177021317187,18.551177021317187,W1,full_sample,0,1,,10.933258906214308,,,26.16909513642007,,5.9442929298382365,,,,,,,,2023-08-03,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2023Q4,2023-11-01,0,19.2852764863352,19.2852764863352,W1,full_sample,0,2,,11.562498646284215,,,27.008054326386183,,6.026115405771397,,,,,,,,2023-11-01,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q1,2024-02-13,0,18.415860060562704,18.415860060562704,W1,full_sample,0,3,,11.08693052567293,,,25.744789595452477,,5.718793948593076,,,,,,,,2024-02-13,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q2,2024-05-08,0,13.506630071148145,13.506630071148145,W1,full_sample,0,4,,6.113594939789171,,,20.89966520250712,,5.768815809959563,,,,,,,,2024-05-08,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q3,2024-08-06,0,12.216753522700767,12.216753522700767,W1,full_sample,0,5,,5.254599502334656,,,19.178907543066877,,5.43259750162702,,,,,,,,2024-08-06,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2024Q4,2024-11-07,0,11.098396780323394,11.098396780323394,W1,full_sample,0,6,,4.0665871659978094,,,18.13020639464898,,5.486950048929427,,,,,,,,2024-11-07,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q1,2025-02-13,0,8.530889994251385,8.530889994251385,W1,full_sample,0,7,,-0.8360672647034804,,,17.89784725320625,,7.309075388735706,,,,,,,,2025-02-13,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q2,2025-05-01,0,8.305588517398014,8.305588517398014,W1,full_sample,0,8,,0.5727726631606975,,,16.03840437163533,,6.033948109648739,,,,,,,,2025-05-01,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_revenue_yoy_parsimonious,revenue_yoy,2025Q3,2025-08-06,0,9.525959773007639,9.525959773007639,W1,full_sample,0,9,,2.3273853551106134,,,16.724534190904663,,5.617077313076606,,,,,,,,2025-08-06,equal|pool=parsimonious|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
