method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2023Q1,2023-02-14,0,11.880809862216054,11.880809862216054,W1,PIT,0,0,,6.621732882236595,,,17.139886842195516,,4.10367946166152,,,,,,,,2023-02-14,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2023Q2,2023-05-09,0,12.268596258046276,12.268596258046276,W1,PIT,0,0,,7.290968147181293,,,17.24622436891126,,3.8840637480886318,,,,,,,,2023-05-09,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2023Q3,2023-08-03,0,15.540474887785983,15.540474887785983,W1,PIT,0,1,,9.908350692991949,,,21.172599082580017,,4.394769742235923,,,,,,,,2023-08-03,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2023Q4,2023-11-01,0,14.793094400447362,14.793094400447362,W1,PIT,0,2,,9.77021600207138,,,19.815972798823346,,3.9193727340951248,,,,,,,,2023-11-01,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2024Q1,2024-02-13,0,11.953994701574844,11.953994701574844,W1,PIT,0,3,,6.861629678933363,,,17.046359724216327,,3.973593433648307,,,,,,,,2024-02-13,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2024Q2,2024-05-08,0,13.393898164403739,13.393898164403739,W1,PIT,0,4,,12.603805341929712,,,14.183990986877765,,0.6165126885831408,,,,,,,,2024-05-08,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2024Q3,2024-08-06,0,18.666444871734758,18.666444871734758,W1,PIT,0,5,,17.698301809431044,,,19.63458793403847,,0.7554460251961089,,,,,,,,2024-08-06,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2024Q4,2024-11-07,0,14.471775629634445,14.471775629634445,W1,PIT,0,6,,13.6904015998618,,,15.25314965940709,,0.6097093786724193,,,,,,,,2024-11-07,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2025Q1,2025-02-13,0,9.4090206894979,9.4090206894979,W1,PIT,0,7,,8.546038069483588,,,10.272003309512213,,0.6733888982810462,,,,,,,,2025-02-13,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2025Q2,2025-05-01,0,13.142684997453852,13.142684997453852,W1,PIT,0,8,,12.272753807698223,,,14.012616187209481,,0.6788108959136944,,,,,,,,2025-05-01,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2025Q3,2025-08-06,0,18.50746766914741,18.50746766914741,W1,PIT,0,9,,17.569037427586384,,,19.445897910708435,,0.7322609886024302,,,,,,,,2025-08-06,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2025Q4,2025-11-06,0,13.902210219283837,13.902210219283837,W1,PIT,0,10,,13.185015317955667,,,14.619405120612008,,0.5596301400022996,,,,,,,,2025-11-06,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2026Q1,2026-02-12,0,9.312675413013528,9.312675413013528,W1,PIT,0,11,,8.250362081363772,,,10.374988744663284,,0.8289274748279788,,,,,,,,2026-02-12,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2026Q2,2026-05-07,0,12.982624157753438,12.982624157753438,W1,PIT,0,12,,12.200588914329977,,,13.7646594011769,,0.610225326411719,,,,,,,,2026-05-07,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2024Q1,2024-02-13,0,11.953994701574844,11.953994701574844,W2,PIT,0,3,,6.861629678933363,,,17.046359724216327,,3.973593433648307,,,,,,,,2024-02-13,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2024Q2,2024-05-08,0,13.393898164403739,13.393898164403739,W2,PIT,0,4,,12.603805341929712,,,14.183990986877765,,0.6165126885831408,,,,,,,,2024-05-08,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
optimal-mix,mix_take_rate_pct_all,take_rate_pct,2024Q3,2024-08-06,0,18.666444871734758,18.666444871734758,W2,PIT,0,5,,17.698301809431044,,,19.63458793403847,,0.7554460251961089,,,,,,,,2024-08-06,inv_mse|pool=all|leave_future_out,optimal-mix combination; BEST SINGLE METHOD IS THE MIX,1.0
