method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
calibration-rail,ref_naive,nights_yoy,2023Q1,2023-02-14,0,20.163487738419605,20.163487738419605,W1,PIT,0,6,18.51863411146813,18.881936172875005,19.488997988223524,20.837977488615685,21.445039303964204,21.808341365371078,1.0,,,,,,,,,ref_naive|nights_yoy|PIT|harness_fn_direct_call,naive: last observed value; sigma from 0 pseudo-oos errors (PIT),1.0
calibration-rail,ref_naive,nights_yoy,2023Q1,2023-02-14,0,20.163487738419605,20.163487738419605,W1,full_sample,1,6,16.47218482153434,17.28749016968687,18.649829658750573,21.677145818088636,23.03948530715234,23.854790655304868,2.244152826976237,,,,,,,,,ref_naive|nights_yoy|full_sample|harness_fn_direct_call,naive: last observed value; sigma from 12 pseudo-oos errors (full_sample),1.0
calibration-rail,ref_naive,adr_yoy,2023Q1,2023-02-14,0,-0.5207994271206329,-0.5207994271206329,W1,PIT,0,6,-2.165653054072105,-1.8023509926652332,-1.1952891773167145,0.15369032307544883,0.7607521384239675,1.1240541998308393,1.0,,,,,,,,,ref_naive|adr_yoy|PIT|harness_fn_direct_call,naive: last observed value; sigma from 0 pseudo-oos errors (PIT),1.0
calibration-rail,ref_naive,adr_yoy,2023Q1,2023-02-14,0,-0.5207994271206329,-0.5207994271206329,W1,full_sample,1,6,-3.999238124665695,-3.23094851604094,-1.9471702662863548,0.9055714120450891,2.189349661799674,2.9576392704244294,2.1147405705587965,,,,,,,,,ref_naive|adr_yoy|full_sample|harness_fn_direct_call,naive: last observed value; sigma from 12 pseudo-oos errors (full_sample),1.0
calibration-rail,ref_naive,gbv_yoy,2023Q1,2023-02-14,0,19.469026548672577,19.469026548672577,W1,PIT,0,6,17.824172921721104,18.187474983127977,18.794536798476496,20.143516298868658,20.750578114217177,21.11388017562405,1.0,,,,,,,,,ref_naive|gbv_yoy|PIT|harness_fn_direct_call,naive: last observed value; sigma from 0 pseudo-oos errors (PIT),1.0
calibration-rail,ref_naive,gbv_yoy,2023Q1,2023-02-14,0,19.469026548672577,19.469026548672577,W1,full_sample,1,6,13.456068011352258,14.784162010701763,17.003348852297083,21.93470424504807,24.15389108664339,25.481985085992896,3.655619222766087,,,,,,,,,ref_naive|gbv_yoy|full_sample|harness_fn_direct_call,naive: last observed value; sigma from 12 pseudo-oos errors (full_sample),1.0
calibration-rail,ref_naive,take_rate_pct,2023Q1,2023-02-14,0,14.09,14.09,W1,PIT,1,10,4.951653765987231,6.970058303793872,10.342723787946863,17.837276212053137,21.20994169620613,23.22834623401277,5.555720025343249,,,,,,,,,ref_naive|take_rate_pct|PIT|harness_fn_direct_call,naive: last observed value; sigma from 4 pseudo-oos errors (PIT),1.0
calibration-rail,ref_naive,take_rate_pct,2023Q1,2023-02-14,0,14.09,14.09,W1,full_sample,1,10,6.1962495951500625,7.939757799967317,10.853083564739263,17.326916435260735,20.240242200032682,21.983750404849935,4.799059488034813,,,,,,,,,ref_naive|take_rate_pct|full_sample|harness_fn_direct_call,naive: last observed value; sigma from 12 pseudo-oos errors (full_sample),1.0
calibration-rail,ref_naive,nights_yoy,2023Q2,2023-05-09,0,18.60920666013712,18.60920666013712,W1,PIT,0,7,16.964353033185645,17.32765509459252,17.934716909941038,19.2836964103332,19.89075822568172,20.254060287088592,1.0,,,,,,,,,ref_naive|nights_yoy|PIT|harness_fn_direct_call,naive: last observed value; sigma from 1 pseudo-oos errors (PIT),1.0
calibration-rail,ref_naive,nights_yoy,2023Q2,2023-05-09,0,18.60920666013712,18.60920666013712,W1,full_sample,1,7,14.917903743251856,15.733209091404381,17.095548580468087,20.12286473980615,21.485204228869854,22.300509577022382,2.244152826976237,,,,,,,,,ref_naive|nights_yoy|full_sample|harness_fn_direct_call,naive: last observed value; sigma from 12 pseudo-oos errors (full_sample),1.0
