symbol,report_date,time,name,fiscal_quarter_ending
EXPE,2023-02-09,time-not-supplied,"Expedia Group, Inc.",2022-12-31
HLT,2023-02-09,time-not-supplied,Hilton Worldwide Holdings Inc.,2022-12-31
ABNB,2023-02-14,time-not-supplied,"Airbnb, Inc.",2022-12-31
MAR,2023-02-14,time-not-supplied,Marriott International,2022-12-31
BKNG,2023-02-23,time-not-supplied,Booking Holdings Inc.,2022-12-31
NCLH,2023-02-28,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2022-12-31
HLT,2023-04-26,time-not-supplied,Hilton Worldwide Holdings Inc.,2023-03-31
NCLH,2023-05-01,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2023-03-31
MAR,2023-05-02,time-not-supplied,Marriott International,2023-03-31
BKNG,2023-05-04,time-not-supplied,Booking Holdings Inc.,2023-03-31
EXPE,2023-05-04,time-not-supplied,"Expedia Group, Inc.",2023-03-31
ABNB,2023-05-09,time-not-supplied,"Airbnb, Inc.",2023-03-31
HLT,2023-07-26,time-not-supplied,Hilton Worldwide Holdings Inc.,2023-06-30
MAR,2023-08-01,time-not-supplied,Marriott International,2023-06-30
NCLH,2023-08-01,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2023-06-30
ABNB,2023-08-03,time-not-supplied,"Airbnb, Inc.",2023-06-30
BKNG,2023-08-03,time-not-supplied,Booking Holdings Inc.,2023-06-30
EXPE,2023-08-03,time-not-supplied,"Expedia Group, Inc.",2023-06-30
HLT,2023-10-25,time-not-supplied,Hilton Worldwide Holdings Inc.,2023-09-30
ABNB,2023-11-01,time-not-supplied,"Airbnb, Inc.",2023-09-30
NCLH,2023-11-01,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2023-09-30
BKNG,2023-11-02,time-not-supplied,Booking Holdings Inc.,2023-09-30
EXPE,2023-11-02,time-not-supplied,"Expedia Group, Inc.",2023-09-30
MAR,2023-11-02,time-not-supplied,Marriott International,2023-09-30
HLT,2024-02-07,time-not-supplied,Hilton Worldwide Holdings Inc.,2023-12-31
EXPE,2024-02-08,time-not-supplied,"Expedia Group, Inc.",2023-12-31
ABNB,2024-02-13,time-not-supplied,"Airbnb, Inc.",2023-12-31
MAR,2024-02-13,time-not-supplied,Marriott International,2023-12-31
BKNG,2024-02-22,time-not-supplied,Booking Holdings Inc.,2023-12-31
NCLH,2024-02-27,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2023-12-31
HLT,2024-04-24,time-not-supplied,Hilton Worldwide Holdings Inc.,2024-03-31
MAR,2024-05-01,time-not-supplied,Marriott International,2024-03-31
NCLH,2024-05-01,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2024-03-31
BKNG,2024-05-02,time-not-supplied,Booking Holdings Inc.,2024-03-31
EXPE,2024-05-02,time-not-supplied,"Expedia Group, Inc.",2024-03-31
ABNB,2024-05-08,time-not-supplied,"Airbnb, Inc.",2024-03-31
MAR,2024-07-31,time-not-supplied,Marriott International,2024-06-30
NCLH,2024-07-31,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2024-06-30
BKNG,2024-08-01,time-not-supplied,Booking Holdings Inc.,2024-06-30
ABNB,2024-08-06,time-not-supplied,"Airbnb, Inc.",2024-06-30
HLT,2024-08-07,time-not-supplied,Hilton Worldwide Holdings Inc.,2024-06-30
EXPE,2024-08-08,time-not-supplied,"Expedia Group, Inc.",2024-06-30
HLT,2024-10-23,time-not-supplied,Hilton Worldwide Holdings Inc.,2024-09-30
BKNG,2024-10-30,time-not-supplied,Booking Holdings Inc.,2024-09-30
NCLH,2024-10-31,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2024-09-30
MAR,2024-11-04,time-not-supplied,Marriott International,2024-09-30
ABNB,2024-11-07,time-not-supplied,"Airbnb, Inc.",2024-09-30
EXPE,2024-11-07,time-not-supplied,"Expedia Group, Inc.",2024-09-30
EXPE,2025-02-06,time-not-supplied,"Expedia Group, Inc.",2024-12-31
HLT,2025-02-06,time-not-supplied,Hilton Worldwide Holdings Inc.,2024-12-31
MAR,2025-02-11,time-not-supplied,Marriott International,2024-12-31
ABNB,2025-02-13,time-not-supplied,"Airbnb, Inc.",2024-12-31
BKNG,2025-02-20,time-not-supplied,Booking Holdings Inc.,2024-12-31
NCLH,2025-02-27,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2024-12-31
BKNG,2025-04-29,time-not-supplied,Booking Holdings Inc.,2025-03-31
HLT,2025-04-29,time-not-supplied,Hilton Worldwide Holdings Inc.,2025-03-31
NCLH,2025-04-30,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2025-03-31
ABNB,2025-05-01,time-not-supplied,"Airbnb, Inc.",2025-03-31
MAR,2025-05-06,time-not-supplied,Marriott International,2025-03-31
EXPE,2025-05-08,time-not-supplied,"Expedia Group, Inc.",2025-03-31
HLT,2025-07-23,time-not-supplied,Hilton Worldwide Holdings Inc.,2025-06-30
BKNG,2025-07-29,time-not-supplied,Booking Holdings Inc.,2025-06-30
NCLH,2025-07-31,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2025-06-30
MAR,2025-08-05,time-not-supplied,Marriott International,2025-06-30
ABNB,2025-08-06,time-not-supplied,"Airbnb, Inc.",2025-06-30
EXPE,2025-08-07,time-not-supplied,"Expedia Group, Inc.",2025-06-30
HLT,2025-10-22,time-not-supplied,Hilton Worldwide Holdings Inc.,2025-09-30
BKNG,2025-10-28,time-not-supplied,Booking Holdings Inc.,2025-09-30
MAR,2025-11-04,time-not-supplied,Marriott International,2025-09-30
NCLH,2025-11-04,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2025-09-30
ABNB,2025-11-06,time-not-supplied,"Airbnb, Inc.",2025-09-30
EXPE,2025-11-06,time-not-supplied,"Expedia Group, Inc.",2025-09-30
EXPE,2026-02-05,time-not-supplied,"Expedia Group, Inc.",2025-12-31
HLT,2026-02-05,time-not-supplied,Hilton Worldwide Holdings Inc.,2025-12-31
MAR,2026-02-10,time-pre-market,Marriott International,2025-12-31
HLT,2026-02-11,time-pre-market,Hilton Worldwide Holdings Inc.,2025-12-31
ABNB,2026-02-12,time-after-hours,"Airbnb, Inc.",2025-12-31
EXPE,2026-02-12,time-after-hours,"Expedia Group, Inc.",2025-12-31
BKNG,2026-02-18,time-after-hours,Booking Holdings Inc.,2025-12-31
NCLH,2026-03-02,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2025-12-31
BKNG,2026-04-28,time-not-supplied,Booking Holdings Inc.,2026-03-31
HLT,2026-04-28,time-not-supplied,Hilton Worldwide Holdings Inc.,2026-03-31
NCLH,2026-05-04,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2026-03-31
MAR,2026-05-06,time-not-supplied,Marriott International,2026-03-31
ABNB,2026-05-07,time-not-supplied,"Airbnb, Inc.",2026-03-31
EXPE,2026-05-07,time-not-supplied,"Expedia Group, Inc.",2026-03-31
HLT,2026-07-28,time-pre-market,Hilton Worldwide Holdings Inc.,2026-06-30
NCLH,2026-07-30,time-pre-market,Norwegian Cruise Line Holdings Ltd.,2026-06-30
MAR,2026-08-03,time-pre-market,Marriott International,2026-06-30
BKNG,2026-08-04,time-after-hours,Booking Holdings Inc.,2026-06-30
EXPE,2026-08-05,time-after-hours,"Expedia Group, Inc.",2026-06-30
ABNB,2026-08-06,time-after-hours,"Airbnb, Inc.",2026-06-30
