symbol,report_date,time,name,fiscal_quarter_ending
LEDS,2023-01-03,time-not-supplied,SemiLEDS Corporation,2022-11-30
PENG,2023-01-03,time-not-supplied,"Penguin Solutions, Inc.",2022-11-30
ANIX,2023-01-04,time-not-supplied,"Anixa Biosciences, Inc.",2022-10-31
RELL,2023-01-04,time-not-supplied,"Richardson Electronics, Ltd.",2022-11-30
RGP,2023-01-04,time-not-supplied,"Resources Connection, Inc.",2022-11-30
SLP,2023-01-04,time-not-supplied,"Simulations Plus, Inc.",2022-11-30
UNF,2023-01-04,time-not-supplied,Unifirst Corporation,2022-11-30
AEHR,2023-01-05,time-not-supplied,Aehr Test Systems,2022-11-30
ANGO,2023-01-05,time-not-supplied,"AngioDynamics, Inc.",2022-11-30
CAG,2023-01-05,time-not-supplied,"ConAgra Brands, Inc.",2022-11-30
EDUC,2023-01-05,time-not-supplied,Educational Development Corporation,2022-11-30
FC,2023-01-05,time-not-supplied,Franklin Covey Company,2022-11-30
HELE,2023-01-05,time-not-supplied,Helen of Troy Limited,2022-11-30
KRUS,2023-01-05,time-not-supplied,"Kura Sushi USA, Inc.",2022-11-30
LNN,2023-01-05,time-not-supplied,Lindsay Corporation,2022-11-30
LW,2023-01-05,time-not-supplied,"Lamb Weston Holdings, Inc.",2022-11-30
MSM,2023-01-05,time-not-supplied,"MSC Industrial Direct Company, Inc.",2022-11-30
NEOG,2023-01-05,time-not-supplied,Neogen Corporation,2022-11-30
PKE,2023-01-05,time-not-supplied,Park Aerospace Corp.,2022-11-30
RPM,2023-01-05,time-not-supplied,RPM International Inc.,2022-11-30
SMPL,2023-01-05,time-not-supplied,The Simply Good Foods Company,2022-11-30
STZ,2023-01-05,time-not-supplied,Constellation Brands Inc,2022-11-30
GBX,2023-01-06,time-not-supplied,"Greenbrier Companies, Inc. (The)",2022-11-30
HURC,2023-01-06,time-not-supplied,"Hurco Companies, Inc.",2022-10-31
APLD,2023-01-09,time-not-supplied,Applied Digital Corporation,2022-11-30
AYI,2023-01-09,time-not-supplied,Acuity Inc.,2022-11-30
AZZ,2023-01-09,time-not-supplied,AZZ Inc.,2022-11-30
CMC,2023-01-09,time-not-supplied,Commercial Metals Company,2022-11-30
JEF,2023-01-09,time-not-supplied,Jefferies Financial Group Inc.,2022-11-30
PCYO,2023-01-09,time-not-supplied,Pure Cycle Corporation,2022-11-30
PSMT,2023-01-09,time-not-supplied,"PriceSmart, Inc.",2022-11-30
TLRY,2023-01-09,time-not-supplied,"Tilray Brands, Inc.",2022-11-30
WDFC,2023-01-09,time-not-supplied,WD-40 Company,2022-11-30
ACI,2023-01-10,time-not-supplied,"Albertsons Companies, Inc.",2022-11-30
NOTV,2023-01-10,time-not-supplied,"Inotiv, Inc.",2022-09-30
SAR,2023-01-10,time-not-supplied,Saratoga Investment Corp,2022-11-30
SNX,2023-01-10,time-not-supplied,TD SYNNEX Corporation,2022-11-30
KBH,2023-01-11,time-not-supplied,KB Home,2022-11-30
INFY,2023-01-12,time-not-supplied,Infosys Limited,2022-12-31
LOOP,2023-01-12,time-not-supplied,"Loop Industries, Inc.",2022-11-30
NTIC,2023-01-12,time-not-supplied,Northern Technologies International Corporation,2022-11-30
OGI,2023-01-12,time-not-supplied,Organigram Global Inc.,2022-11-30
RFIL,2023-01-12,time-not-supplied,"RF Industries, Ltd.",2022-10-31
RMCF,2023-01-12,time-not-supplied,"Rocky Mountain Chocolate Factory, Inc.",2022-11-30
TSM,2023-01-12,time-not-supplied,Taiwan Semiconductor Manufacturing Company Ltd.,2022-12-31
WAFD,2023-01-12,time-not-supplied,"WaFd, Inc.",2022-12-31
BAC,2023-01-13,time-not-supplied,Bank of America Corporation,2022-12-31
BK,2023-01-13,time-not-supplied,The Bank Of New York Mellon Corporation ,2022-12-31
BLK,2023-01-13,time-not-supplied,"BlackRock, Inc.",2022-12-31
