act_symbol,date,when
ABNB,2021-02-25,After market close
ABNB,2021-05-13,After market close
ABNB,2021-08-12,After market close
ABNB,2021-11-04,After market close
ABNB,2022-02-15,After market close
ABNB,2022-05-03,After market close
ABNB,2022-08-02,After market close
ABNB,2022-11-01,After market close
ABNB,2023-02-14,After market close
ABNB,2023-05-09,After market close
ABNB,2023-08-03,After market close
ABNB,2023-11-01,After market close
ABNB,2024-02-13,After market close
ABNB,2024-05-08,After market close
ABNB,2024-08-06,After market close
ABNB,2024-11-07,After market close
ABNB,2025-02-13,After market close
ABNB,2025-05-01,After market close
ABNB,2025-08-06,After market close
ABNB,2025-11-06,After market close
ABNB,2026-02-12,After market close
ABNB,2026-05-07,After market close
ABNB,2026-08-06,After market close
