company,call_date,sentence_idx,sentence
3M Company,2017-04-25,1,"Thanks, Inge, and good morning, everyone"
3M Company,2017-04-25,2,I'll start on slide 7 with a recap of our first quarter sales performance
3M Company,2017-04-25,3,"As Inge mentioned, we posted strong organic growth in the quarter of 4.6%, with volumes up 4.5% and selling prices up 0.1%"
3M Company,2017-04-25,4,"Divestitures of non-strategic businesses reduced sales by 0.4 percentage points, and foreign currency translation decreased sales by another 50 basis points"
3M Company,2017-04-25,5,"As a result, total first quarter sales in U.S"
3M Company,2017-04-25,6,dollars increased 3.7% versus last year
3M Company,2017-04-25,7,"As you can see on the right side of the slide, growth was broad-based across all geographic areas"
3M Company,2017-04-25,8,Let me start with the U.S
3M Company,2017-04-25,9,", where organic growth was 1.4%, led by mid-single-digit increases in both Industrial and Safety & Graphics"
3M Company,2017-04-25,10,Our Electronics & Energy and Health Care businesses also delivered solid growth in the quarter
3M Company,2017-04-25,11,"The Consumer business declined mid-single digits organically in Q1, impacted by channel adjustments in the office market, as Inge mentioned"
3M Company,2017-04-25,12,Asia-Pacific led the company with organic growth of 10.1%
3M Company,2017-04-25,13,"All business groups posted strong growth in the quarter, led by a double-digit increase in Electronics & Energy"
3M Company,2017-04-25,14,"We also had strong growth in Industrial, Health Care, and Consumer"
3M Company,2017-04-25,15,"Looking at key countries within Asia-Pacific, organic growth increased 13% in both China/Hong Kong and Japan"
3M Company,2017-04-25,16,"Excluding our Electronics businesses, China/Hong Kong grew 12%, and Japan was up 2%"
3M Company,2017-04-25,17,"Moving to EMEA, organic growth increased 4% in Q1. West Europe was up 5% organically, with sales growth led by Industrial and Safety & Graphics"
3M Company,2017-04-25,18,Central/East Europe and Middle East/Africa grew nearly 2%
3M Company,2017-04-25,19,"Finally, organic growth in Latin America/Canada increased 2.3%, led by a high single-digit growth in Health Care, along with solid growth in Consumer and Safety & Graphics"
3M Company,2017-04-25,20,"At a country level, Mexico continued to deliver strong growth, at 8%"
