adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote
0001398432-10-000145,AggregateLiquidationPreference,0001398432-10-000145,20081231,0,USD,ClassOfStock=SeriesGPreferredStock;,,460000000.0000,
0000950123-10-017111,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20081231,0,USD,EquityComponents=AccumulatedTranslationAdjustment;,,-539016000.0000,
0001047469-10-001456,ProceedsFromContributedCapital,us-gaap/2009,20081231,4,USD,EquityComponents=CommonStockAndAdditionalPaidInCapital;,,160000000.0000,
0000096223-10-000004,ProfitLoss,us-gaap/2009,20091231,4,USD,EquityComponents=NoncontrollingInterest;,,-1685000.0000,
0001193125-10-041024,CostOfGoodsAndServicesSoldDepreciationAndAmortization,us-gaap/2009,20081231,4,USD,LegalEntity=PotomacElectricPowerCo;,PotomacElectricPowerCo,141000000.0000,
0000950123-10-015380,AdditionsToNoncontrollingInterests,0000950123-10-015380,20071231,4,USD,EquityComponents=NoncontrollingInterest;,,-7000000.0000,
0001193125-10-043035,ProfitLoss,us-gaap/2009,20091231,4,USD,EquityComponents=NoncontrollingInterest;,,24900000.0000,
0001193125-10-042802,CommonStockDividendsPerShareCashPaid,us-gaap/2009,20091231,4,USD,EquityComponents=RetainedEarnings;,,1.0000,
0001193125-10-014549,StockholdersEquity,us-gaap/2009,20071130,0,USD,EquityComponents=RetainedEarnings;,,2717905000.0000,
0001104659-10-017258,StockholdersEquityOther,us-gaap/2009,20090131,4,USD,EquityComponents=RetainedEarnings;,,2000000.0000,
0001193125-10-047979,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20091231,0,CAD,EquityComponents=CommonStock;,,0.0000,
0001193125-10-040142,CompensationExpenseRelatedEmployeeStockPurchasePlan,0001193125-10-040142,20081231,4,USD,EquityComponents=AdditionalPaidInCapital;,,1289000.0000,
0000950123-10-018432,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20061231,0,USD,EquityComponents=AdditionalPaidInCapital;,,6000119000.0000,
0001398432-10-000148,StockIssuedDuringPeriodValueStockOptionsExercised,us-gaap/2009,20071231,4,USD,EquityComponents=AdditionalPaidInCapital;,,40546000.0000,
0001193125-10-052794,SharesOutstanding,0001193125-10-052794,20091231,0,shares,EquityComponents=CommonStock;,,462000000.0000,
0001104659-10-008164,StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,us-gaap/2009,20091231,4,shares,EquityComponents=CommonStock;,,47000.0000,
0000950123-10-019211,SharesIssued,us-gaap/2009,20061231,0,shares,EquityComponents=CommonStock;,,214947.0000,
0001047469-10-001364,ProfitLoss,us-gaap/2009,20081231,4,USD,,,801500000.0000,
0000950123-10-014582,NetChangeInAccruedInterestReceivablePayable,0000950123-10-014582,20071231,4,USD,,,780000.0000,
0001193125-10-037944,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2009,20071231,4,shares,,,181501000.0000,
0001047469-10-001028,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2009,20081231,4,shares,,,182600000.0000,
0000821189-10-000011,PropertyPlantAndEquipmentGross,us-gaap/2009,20081231,0,USD,,,21861517000.0000,
0001370368-10-000015,LongTermDebtAtFairValue,0001370368-10-000015,20081231,0,CHF,,,79456000000.0000,
0001047469-10-001476,ProfitLoss,us-gaap/2009,20081231,4,USD,,,5874000000.0000,
0001047469-10-001605,DividendsDeclaredOnPreferredAndPreferenceStockNotSubjectToMandatoryRedemption,0001047469-10-001605,20081231,4,USD,,,51000000.0000,
0001193125-10-034065,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20071231,0,USD,,,3031927000.0000,
0001104659-10-008891,ProceedsFromSaleAndCollectionOfNotesReceivable,us-gaap/2009,20081231,4,USD,,,2017000.0000,
0001193125-10-037170,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2009,20071231,4,shares,,,352688000.0000,
0000831259-10-000010,ReclamationAndEnvironmentalObligationsLessCurrentPortion,0000831259-10-000010,20091231,0,USD,,,1981000000.0000,
0001047469-10-000948,PaymentsToAcquirePropertyPlantAndEquipmentNet,0001047469-10-000948,20071231,4,USD,,,98400000.0000,
0001193125-10-039864,ShareBasedCompensation,us-gaap/2009,20081231,4,USD,,,53100000.0000,
0001047469-10-001151,OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,us-gaap/2009,20081231,4,USD,,,301000000.0000,
0001193125-10-043155,ProceedsFromSaleOfIntangibleAssets,us-gaap/2009,20081231,4,USD,,,6000000.0000,
0001193125-10-043126,RepaymentsOfConvertibleDebt,us-gaap/2009,20091231,4,USD,,,98300000.0000,
0001193125-10-021684,SellingAndMarketingExpense,us-gaap/2009,20081231,1,USD,,,65002000.0000,
0000950123-10-006821,PaymentsForRepurchaseOfCommonStock,us-gaap/2009,20081231,2,USD,,,36000000.0000,
0000950123-10-021539,PaymentsOfDebtIssuanceCosts,us-gaap/2009,20071231,4,USD,,,908000.0000,
0000950123-10-020525,NetCashProvidedByUsedInInvestingActivities,us-gaap/2009,20081231,4,USD,,,-215786000.0000,
0001140361-10-008295,OtherNonoperatingIncomeExpense,us-gaap/2009,20081231,4,USD,,,0.0000,
0000950123-10-018524,MergerWithCompanyOne,0000950123-10-018524,20081231,0,USD,,,0.0000,
0001047469-10-000948,PropertyAndEquipment,0001047469-10-000948,20091231,0,USD,,,489300000.0000,
0001047469-10-001465,TreasuryStockValueAcquiredCostMethod,us-gaap/2009,20071231,4,USD,,,16000000.0000,
0000922224-10-000012,ProceedsFromIssuanceOfCommonStock,us-gaap/2009,20091231,4,USD,,,60000000.0000,
0001193125-10-034308,ProceedsFromIssuanceOfCommonStock,us-gaap/2009,20091231,4,USD,,,876000000.0000,
0001193125-10-043015,StockRepurchasedDuringPeriodShares,us-gaap/2009,20071231,4,shares,,,31527000.0000,
0001193125-10-042802,PrepaidExpenseCurrent,us-gaap/2009,20081231,0,USD,,,92544000.0000,
0000950123-10-014092,OtherAssetsNoncurrent,us-gaap/2009,20091231,0,USD,,,297581000.0000,
0000104207-10-000039,IncreaseDecreaseInOtherOperatingLiabilities,us-gaap/2009,20100228,2,USD,,,78000000.0000,
0000930413-10-001062,OtherLiabilitiesNoncurrent,us-gaap/2009,20081231,0,USD,,,823322000.0000,
0001193125-10-042347,RetainedEarningsAccumulatedDeficit,us-gaap/2009,20091231,0,USD,,,6326000000.0000,
