,Cleanliness,Comfort,Facilities,Free WiFi,Location,Staff,Total,Value for money,highlights,hotel_name,lat,lng,stars,type,days,segment,fits,price_med,city,datecontrol,dist,metro_dist
0,8.0,7.3,7.7,7.9,8.6,8.3,,7.8,"['“metro station”\n57 related reviews', '“friendly staff”\n49 related reviews', '“breakfast included”\n35 related reviews', 'Situated in the best rated area in Paris, this property has an excellent location score of 8.6', 'Continental', 'Free WiFi']",Hostel Oops! Latin quarter by Hiphophostels,48.8340046,2.3536526,,'Hostels',weekdays,Hostels,2,239.42119489234784,paris,2019-07-16&checkout=2019-07-18&,2.509043699749153,0.28507270451379396
1,8.4,7.6,7.3,7.4,8.7,8.8,,8.0,"['“eiffel tower”\n32 related reviews', '“friendly staff”\n30 related reviews', '“metro station”\n13 related reviews', 'Situated in the best rated area in Paris, this property has an excellent location score of 8.7', 'Continental', 'Good coffee!']",Hostel Hostel Eiffel,48.8447088,2.2842702,,'Hostels',weekdays,Hostels,2,272.1595675272626,paris,2019-07-16&checkout=2019-07-18&,5.1937278442174835,0.29303767311049667
2,8.1,8.0,8.0,7.6,7.9,8.1,,7.8,"['“metro station”\n232 related reviews', '“rooftop bar”\n181 related reviews', '“clean rooms”\n161 related reviews', '“boutique style”', 'Situated in the best rated area in Paris', 'Continental', 'City view', 'Free WiFi']",Hostel Generator Paris,48.878218100000005,2.3698847,3 stars,'Hostels',weekdays,Hostels,2,245.24652810140742,paris,2019-07-16&checkout=2019-07-18&,2.715327874461386,0.14263136066575988
3,6.1,5.4,5.5,6.1,7.0,,6.2,6.3,"['“metro station”\n16 related reviews', '“du nord”\n4 related reviews', '“rude staff”\n4 related reviews', 'View', 'City / River view', 'Private parking available on-site']",Hostel Peace & Love Hostel,48.8825679,2.3691443,,'Hostels',weekdays,Hostels,2,129.67191723366577,paris,2019-07-16&checkout=2019-07-18&,3.1306262509392937,0.1168065582546955
4,9.0,8.4,7.9,6.9,8.3,8.5,,8.2,"['Situated in the best rated area in Paris, this property has an excellent location score of 8.3', 'Good breakfast included with all options', 'Continental, Buffet', 'Good coffee!', 'Free WiFi']",Hostel FIAP Jean Monnet,48.83036,2.3380330000000002,,'Hostels',weekdays,Hostels,2,219.0325286606394,paris,2019-07-16&checkout=2019-07-18&,3.1069146441442035,0.2803849248190019
5,8.2,7.5,7.9,6.7,8.7,8.3,,7.6,"['“metro station”\n21 related reviews', '“eiffel tower”\n20 related reviews', '“nice breakfast”\n19 related reviews', 'Situated in the best rated area in Paris, this property has an excellent location score of 8.7', 'Good breakfast included with all options', 'Continental, Buffet', 'Good coffee!', 'Balcony with view', 'Balcony, Garden view', 'Patio', 'Free WiFi']",Hostel The 3 Ducks Eiffel Tower by Hiphophostels,48.8435361,2.2925542,,'Hostels',weekdays,Hostels,2,292.31522043060863,paris,2019-07-16&checkout=2019-07-18&,4.647468019070876,0.18040287239681602
6,6.7,5.9,5.9,5.5,7.9,7.3,,6.8,"['“friendly staff”\n7 related reviews', '“metro station”\n7 related reviews', '“breakfast included”\n6 related reviews', 'Situated in the best rated area in Paris', 'Continental', 'Good coffee!']",Hostel Auberge Internationale des Jeunes,48.851051,2.37878,,'Hostels',weekdays,Hostels,2,140.27402367415417,paris,2019-07-16&checkout=2019-07-18&,2.005871496611114,0.265912886731856
7,8.6,7.9,8.0,7.8,7.8,9.0,,8.1,"['“friendly staff”\n77 related reviews', '“metro station”\n53 related reviews', '“free breakfast”\n34 related reviews', 'Good breakfast included with all options', 'Continental, Buffet', 'Good coffee!', 'View', 'City view', 'Free WiFi']",Hostel Beautiful Belleville Hôtel & Hostel,48.875117700000004,2.3765034,,'Hostels',weekdays,Hostels,2,224.74135520551775,paris,2019-07-16&checkout=2019-07-18&,2.6997449413454793,0.35422983248329615
8,6.7,6.1,5.9,5.6,8.0,7.3,,7.0,"['“hot water”\n3 related reviews', '“single room”\n2 related reviews', '“subway station”\n2 related reviews', 'Situated in the best rated area in Paris, this property has an excellent location score of 8.0', 'Continental']",Hostel Bastille Hostel,48.850975,2.378718,,'Hostels',weekdays,Hostels,2,134.21567713673224,paris,2019-07-16&checkout=2019-07-18&,2.004118974916221,0.2638284838298911
9,8.0,7.2,7.5,7.1,8.5,8.6,,7.7,"['“du nord”\n82 related reviews', '“friendly staff”\n55 related reviews', '“train station”\n55 related reviews', 'Top location: Highly rated by recent guests (8.5)', 'Continental, Buffet', 'Free WiFi', 'Private parking available']",Hostel Smart Place Gare du Nord by Hiphophostels,48.8807825,2.3514819,,'Hostels',weekdays,Hostels,2,188.5077826451673,paris,2019-07-16&checkout=2019-07-18&,2.693543966542162,0.25917890157239015
