,Cleanliness,Comfort,Facilities,Free WiFi,Location,Staff,Total,Value for money,highlights,hotel_name,lat,lng,stars,type,days,segment,fits,price_med,city,datecontrol,dist,metro_dist
0,8.9,8.2,8.0,8.3,8.7,8.6,,8.1,"['“nice location”\n14 related reviews', '“friendly staff”\n13 related reviews', '“clean room”\n12 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.7', 'Continental, Buffet', 'Good coffee!', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hôtel Le Cardinal,48.881080100000005,2.3291002,3-star hotel,'Hotels',weekends,Hotels,2,310.0242333861497,paris,2019-07-19&checkout=2019-07-21&,3.2300236092405683,0.21856948499211995
1,8.0,7.0,6.9,7.0,6.8,7.7,,7.5,"['“metro station”\n77 related reviews', '“clean rooms”\n61 related reviews', '“friendly staff”\n46 related reviews', 'Continental, Buffet', 'Free WiFi']",Hotel hotelF1 Paris Porte de Châtillon,48.8223401,2.3163418,,'Hotels',weekends,Hotels,2,113.360984248299,paris,2019-07-19&checkout=2019-07-21&,4.648986479288062,0.6689690805664047
2,,,,,,,,,"['Continental, Full English/Irish, Buffet', 'Free WiFi', 'There are more repeat guests here than most other properties.']",Hotel Lord Byron,48.873133200000005,2.3024485,,'Hotels',weekends,Hotels,2,606.0676670705565,paris,2019-07-19&checkout=2019-07-21&,4.123100173470152,0.19164901090647754
3,8.7,8.0,7.8,8.5,8.9,8.5,,7.4,"['“friendly staff”\n22 related reviews', '“excellent location”\n21 related reviews', '“champs elysees”\n14 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 8.9', 'Continental, Gluten-free, Asian, American, Buffet', 'Good coffee!', 'City view']",Hotel Hotel Plaza Elysées,48.8747081,2.3057362,4-star hotel,'Hotels',weekends,Hotels,2,542.1055084350825,paris,2019-07-19&checkout=2019-07-21&,3.9942788990360008,0.43835659283207257
4,9.7,9.6,9.4,9.2,9.6,9.6,,8.5,"['“friendly staff”\n6 related reviews', '“exceptional hotel”\n3 related reviews', '“exceptional service”\n2 related reviews', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.6', 'Continental, American', 'Good coffee!', 'Balcony with view', 'Landmark / City / Garden view', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking at the hotel']",Hotel Le Bristol Paris - an Oetker Collection Hotel,48.8718282,2.3149990000000003,5-star hotel,'Hotels',weekends,Hotels,2,5096.234504613664,paris,2019-07-19&checkout=2019-07-21&,3.2469715708321982,0.20233705124917467
5,8.7,8.2,8.1,8.0,8.4,8.7,,8.2,"['“helpful staff”\n39 related reviews', '“metro station”\n29 related reviews', '“walking distance”\n21 related reviews', '“boutique style”', 'Top location: Highly rated by recent guests (8.4)', 'Continental, American, Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hôtel Saint-Charles,48.8271554,2.3483588,3-star hotel,'Hotels',weekends,Hotels,2,197.12927579457545,paris,2019-07-19&checkout=2019-07-21&,3.2853856465899605,0.3277441677648306
6,8.4,8.1,7.7,8.2,9.1,8.2,,7.0,"['“perfect location”\n14 related reviews', '“friendly staff”\n12 related reviews', '“champs elysees”\n11 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.1', 'Buffet', 'Good coffee!', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking at the hotel']",Hotel Hôtel Balzac,48.873255799999995,2.3003549999999997,5-star hotel,'Hotels',weekends,Hotels,2,1080.2497902880045,paris,2019-07-19&checkout=2019-07-21&,4.266943755451328,0.14651161746685898
7,8.9,8.8,8.4,6.9,9.3,8.8,,7.4,"['“excellent staff”\n4 related reviews', '“excellent location”\n4 related reviews', '“arc de triomphe”\n3 related reviews', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.3', 'Continental, American, Buffet', 'Good coffee!', 'Balcony with view', 'Garden / City view', 'Parking available at the hotel']",Hotel Renaissance Paris Arc de Triomphe Hotel,48.8769983,2.2971484,5-star hotel,'Hotels',weekends,Hotels,2,837.5664087985833,paris,2019-07-19&checkout=2019-07-21&,4.667454931500588,0.13789906784057437
8,8.1,7.5,7.4,7.5,8.3,8.1,,8.1,"['“metro station”\n50 related reviews', '“friendly staff”\n26 related reviews', '“small room”\n16 related reviews', 'Top location: Highly rated by recent guests (8.3)', 'Continental', 'Good coffee!', 'Free WiFi']",Hotel Hotel des Pyrénées,48.8738148,2.3859912,,'Hotels',weekends,Hotels,2,190.37188927206637,paris,2019-07-19&checkout=2019-07-21&,3.101855153874775,0.052957474324225255
9,7.9,7.5,7.1,7.6,7.1,7.4,,7.3,"['“comfortable beds”\n2 related reviews', 'Continental, Full English/Irish, American, Buffet', 'View', 'Free WiFi']",Hotel Villa Eugenie,48.8871555,2.3142877,4-star hotel,'Hotels',weekends,Hotels,2,402.06449808929074,paris,2019-07-19&checkout=2019-07-21&,4.417773821112265,0.5675240948402078
10,8.8,8.2,8.1,7.8,9.6,9.2,,8.0,"['“friendly staff”\n23 related reviews', '“excellent location”\n13 related reviews', '“nice rooms”\n8 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.6', 'Continental', 'Good coffee!', 'Free WiFi']",Hotel Hôtel du Continent,48.8663098,2.3268633,3-star hotel,'Hotels',weekends,Hotels,2,385.171031783018,paris,2019-07-19&checkout=2019-07-21&,2.185666382648025,0.29490095730070526
11,8.1,7.5,7.4,7.8,8.5,8.6,,7.6,"['“friendly staff”\n46 related reviews', '“metro station”\n39 related reviews', '“continental breakfast”\n24 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.5', 'Good breakfast included with all options', 'Continental', 'Free WiFi', 'Private parking available']",Hotel Grand Hôtel Amelot,48.8592568,2.3684084999999997,3-star hotel,'Hotels',weekends,Hotels,2,238.13962158635474,paris,2019-07-19&checkout=2019-07-21&,1.1871563916236827,0.16857017921190492
12,9.3,9.3,8.8,8.0,9.1,8.7,,8.4,"['Situated in the best rated area in Paris, this hotel has an excellent location score of 9.1', 'Buffet', 'Perfect coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hôtel Parisianer,48.845696999999994,2.375294,,'Hotels',weekends,Hotels,2,447.2690837915929,paris,2019-07-19&checkout=2019-07-21&,2.048527847344011,0.14956238169231156
13,8.8,8.7,8.4,8.9,8.5,8.9,,7.8,"['“friendly staff”\n34 related reviews', '“breakfast buffet”\n18 related reviews', '“metro station”\n13 related reviews', 'Top location: Highly rated by recent guests (8.5)', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Continental, Vegetarian, Gluten-free, Asian, American, Buffet', 'Good coffee!', 'View', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking at the hotel', 'There are more repeat guests here than most other properties.']",Hotel Pullman Paris Centre - Bercy,48.831235299999996,2.3873377000000002,4-star hotel,'Hotels',weekends,Hotels,2,506.6874825240004,paris,2019-07-19&checkout=2019-07-21&,3.79102932908041,0.3084030261698419
14,9.0,8.1,8.0,9.2,9.0,9.2,,7.8,"['Situated in the real heart of Paris, this hotel has an excellent location score of 9.0', 'Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hotel Pierre Nicole,48.8398,2.3387599999999997,2-star hotel,'Hotels',weekends,Hotels,2,294.4123403858701,paris,2019-07-19&checkout=2019-07-21&,2.1276891968986615,0.6061643200418598
15,9.7,9.6,9.2,9.5,9.9,9.8,,8.9,"['Situated in the real heart of Paris, this hotel has an excellent location score of 9.9', 'Continental, American', 'Fantastic coffee!', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Maison Armance,48.8665273,2.3253646,4-star hotel,'Hotels',weekends,Hotels,2,683.3115854226862,paris,2019-07-19&checkout=2019-07-21&,2.2933627030589636,0.341488132596918
16,8.7,7.6,7.5,7.1,9.1,8.9,,7.5,"['Top location: Highly rated by recent guests (9.1)', 'Continental', 'Good coffee!', 'Patio', 'View', 'Garden / City view', 'Free WiFi']",Hotel Nouvel hotel,48.847018,2.3974330000000004,2-star hotel,'Hotels',weekends,Hotels,2,199.34290241401808,paris,2019-07-19&checkout=2019-07-21&,3.445905053728236,0.19610539936824806
17,9.1,8.5,8.4,8.7,9.5,9.1,,7.7,"['“friendly staff”\n18 related reviews', '“fantastic location”\n9 related reviews', '“super comfortable”\n6 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.5', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Continental, American, Buffet', 'Good coffee!', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Great area for shopping!', 'There are more repeat guests here than most other properties.']",Hotel Hôtel Bel Ami,48.8548584,2.3330604999999998,5-star hotel,'Hotels',weekends,Hotels,2,640.7866529965514,paris,2019-07-19&checkout=2019-07-21&,1.4564965521087965,0.10962229041853193
18,8.7,8.3,7.8,7.3,8.6,8.8,,7.9,"['“gare du”\n70 related reviews', '“friendly staff”\n30 related reviews', '“comfortable bed”\n29 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.6', 'Continental', 'Good coffee!', 'Free WiFi', 'Great area for shopping!']",Hotel Hotel Habituel,48.8797226,2.3575104,4-star hotel,'Hotels',weekends,Hotels,2,271.22751421381304,paris,2019-07-19&checkout=2019-07-21&,2.5977334949885287,0.20604620103586532
19,7.9,7.7,7.3,7.8,8.8,8.4,,7.2,"['“helpful staff”\n13 related reviews', '“arc de triomphe”\n11 related reviews', '“walking distance”\n9 related reviews', '“boutique style”', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.8', 'Buffet', 'Very good coffee!', 'Free WiFi', 'There are more repeat guests here than most other properties.']",Hotel L’Hotel Pergolèse Paris,48.8757344,2.2863472000000002,4-star hotel,'Hotels',weekends,Hotels,2,371.19023208127504,paris,2019-07-19&checkout=2019-07-21&,5.315519280574209,0.272616277310926
20,9.6,9.4,9.2,9.5,8.1,8.7,,8.5,"['“swimming pool”\n3 related reviews', '“friendly staff”\n2 related reviews', 'Top location: Highly rated by recent guests (8.1)', 'Buffet', 'Balcony with view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hôtel B55,48.825901,2.342094,4-star hotel,'Hotels',weekends,Hotels,2,408.23935129089386,paris,2019-07-19&checkout=2019-07-21&,3.497473625520168,0.5862816378725315
21,9.2,8.9,8.7,8.2,8.4,9.0,,8.0,"['“staff was super helpful”\n5 related reviews', '“fabulous room”\n4 related reviews', '“nice spa”\n3 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.4', 'Continental', 'Good coffee!', 'View', 'Garden view']",Hotel Maison Bréguet,48.856481200000005,2.3720072,5-star hotel,'Hotels',weekends,Hotels,2,553.0571348681145,paris,2019-07-19&checkout=2019-07-21&,1.4129439852127839,0.15288839033444623
22,9.4,9.0,8.6,8.5,9.5,9.1,,8.0,"['“helpful staff”\n12 related reviews', '“excellent location”\n10 related reviews', '“clean rooms”\n4 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.5', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Continental', 'Very good coffee!', 'Balcony, City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking at the hotel']",Hotel Hôtel Vernet,48.8720143,2.2979571,5-star hotel,'Hotels',weekends,Hotels,2,821.8380091341224,paris,2019-07-19&checkout=2019-07-21&,4.369975409313515,0.19072178494837896
23,8.6,8.0,7.8,8.0,9.0,8.7,,8.2,"['“friendly staff”\n54 related reviews', '“small room”\n33 related reviews', '“excellent location”\n31 related reviews', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.0', 'Continental', 'City view', 'View', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hôtel d'Argenson,48.8749533,2.3163616,2-star hotel,'Hotels',weekends,Hotels,2,284.27626060210645,paris,2019-07-19&checkout=2019-07-21&,3.3613527531228815,0.2050166835330266
24,9.2,8.6,8.4,7.8,9.2,8.2,,7.9,"['“walking distance”\n6 related reviews', '“bed was extremely comfortable”\n3 related reviews', '“free coffee”\n3 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 9.2', 'Continental, Buffet', 'Very good coffee!', 'Free WiFi', 'Parking available at the hotel']",Hotel Mode - Arc de Triomphe,48.871189,2.287274,4-star hotel,'Hotels',weekends,Hotels,2,615.0386802125082,paris,2019-07-19&checkout=2019-07-21&,5.069640978494136,0.23324331395180498
25,8.2,7.5,7.5,7.6,9.0,8.4,,7.5,"['“friendly staff”\n148 related reviews', '“excellent location”\n89 related reviews', '“notre dame”\n85 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.0', 'Buffet', 'View', 'Free WiFi']",Hotel Hotel Minerve,48.84771920000001,2.3514879,3-star hotel,'Hotels',weekends,Hotels,2,338.21884611799794,paris,2019-07-19&checkout=2019-07-21&,0.9878965270603651,0.06178850856771458
26,9.4,9.2,9.0,8.9,9.1,,9.0,8.4,"['“friendly staff”\n26 related reviews', '“comfortable bed”\n16 related reviews', '“beautiful hotel”\n16 related reviews', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.1', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Great area for shopping!']","Hotel The Hoxton, Paris",48.870198200000004,2.3464503,,'Hotels',weekends,Hotels,2,529.1732687109703,paris,2019-07-19&checkout=2019-07-21&,1.58413503166993,0.18319023960844713
27,9.7,9.1,8.8,7.7,9.7,9.5,,8.0,"['Situated in the real heart of Paris, this hotel has an excellent location score of 9.7', 'Continental', 'Very good coffee!', 'Balcony with view', 'City / Landmark view', 'Free WiFi']",Hotel 9Confidentiel,48.856739000000005,2.356718,5-star hotel,'Hotels',weekends,Hotels,2,1869.698946779756,paris,2019-07-19&checkout=2019-07-21&,0.29199492840768937,0.34280872678068147
28,8.0,7.4,7.1,7.0,8.9,7.7,,7.3,"['“excellent location”\n4 related reviews', '“helpful staff”\n3 related reviews', '“metro stations”\n3 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.9', 'Buffet', 'Free WiFi', 'Private parking available']",Hotel Hotel des Bains,48.841454399999996,2.3263806000000002,,'Hotels',weekends,Hotels,2,171.03178301798863,paris,2019-07-19&checkout=2019-07-21&,2.5620479055472876,0.10824769785555197
29,9.3,8.9,8.6,8.3,8.5,8.5,,8.2,"['“spacious room”\n11 related reviews', '“helpful staff”\n8 related reviews', '“spacious bathroom”\n6 related reviews', '“boutique style”', 'Top location: Highly rated by recent guests (8.5)', 'Continental, Full English/Irish, Vegetarian, Gluten-free, Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking at the hotel']",Hotel Auteuil Tour Eiffel,48.8505639,2.275233,4-star hotel,'Hotels',weekends,Hotels,2,363.26777891695406,paris,2019-07-19&checkout=2019-07-21&,5.725338231404517,0.5061367595597782
30,8.9,8.5,8.5,8.6,8.7,8.9,,8.0,"['“friendly staff”\n50 related reviews', '“metro station”\n44 related reviews', '“excellent breakfast”\n33 related reviews', 'Top location: Highly rated by recent guests (8.7)', 'Continental, American, Buffet', 'Good coffee!', 'Balcony, City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Novotel Paris Centre Bercy,48.838488,2.3811579,4-star hotel,'Hotels',weekends,Hotels,2,369.326125454376,paris,2019-07-19&checkout=2019-07-21&,2.8955943530399066,0.17381177443619017
31,7.8,7.3,6.9,7.6,9.0,8.3,,6.9,"['“gare de lyon”\n17 related reviews', '“comfortable bed”\n9 related reviews', '“friendly staff”\n8 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 9.0', 'Continental, Buffet', 'Good coffee!', 'View', 'Free WiFi', 'There are more repeat guests here than most other properties.']",Hotel Hôtel Azur Paris Gare de Lyon,48.8462043,2.3719928,3-star hotel,'Hotels',weekends,Hotels,2,314.3349799608538,paris,2019-07-19&checkout=2019-07-21&,1.822296179897566,0.21563852617648693
32,7.7,6.4,6.4,6.6,9.2,7.3,,6.8,"['“excellent location”\n109 related reviews', '“notre dame”\n88 related reviews', '“friendly staff”\n56 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.2', 'Buffet', 'View', 'Free WiFi']",Hotel Hotel du Mont Blanc,48.8531513,2.3451425,2-star hotel,'Hotels',weekends,Hotels,2,459.2692702022556,paris,2019-07-19&checkout=2019-07-21&,0.6747555771555869,0.10520107849359016
33,8.9,8.5,8.2,8.4,9.5,8.6,,7.8,"['“helpful staff”\n31 related reviews', '“excellent location”\n24 related reviews', '“comfortable room”\n15 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.5', 'Continental, Vegetarian, Gluten-free, Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'There are more repeat guests here than most other properties.']",Hotel Chateau Frontenac,48.869035700000005,2.302598,4-star hotel,'Hotels',weekends,Hotels,2,708.9430515425482,paris,2019-07-19&checkout=2019-07-21&,3.930664996940329,0.356357783747581
34,8.5,8.0,7.8,7.4,8.9,9.0,,8.0,"['“helpful staff”\n28 related reviews', '“eiffel tower”\n20 related reviews', '“metro station”\n18 related reviews', '“boutique style”', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.9', 'Continental', 'Good coffee!', 'Free WiFi']",Hotel Amiral-Fondary,48.847786,2.2938368,3-star hotel,'Hotels',weekends,Hotels,2,297.32500699039986,paris,2019-07-19&checkout=2019-07-21&,4.430524400365155,0.10363198907564107
35,7.9,7.7,7.5,7.7,9.1,8.6,,7.4,"['“friendly staff”\n25 related reviews', '“perfect location”\n13 related reviews', '“clean room”\n10 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.1', 'Continental', 'Good coffee!', 'Free WiFi', 'There are more repeat guests here than most other properties.']",Hotel Le Malown,48.8729901,2.3253575,,'Hotels',weekends,Hotels,2,403.11305806692144,paris,2019-07-19&checkout=2019-07-21&,2.7144555418914935,0.20149121361547515
36,8.7,8.3,8.1,8.5,9.1,9.0,,8.3,"['“friendly staff”\n24 related reviews', '“clean room”\n17 related reviews', '“excellent location”\n9 related reviews', '“boutique style”', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 9.1', 'Continental, Buffet', 'Very good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking available']",Hotel Hotel Mogador,48.875105,2.3354935,3-star hotel,'Hotels',weekends,Hotels,2,267.2662876316525,paris,2019-07-19&checkout=2019-07-21&,2.4182567903271317,0.1690698275606811
37,8.2,7.6,7.3,8.4,9.5,8.9,,7.8,"['“excellent location”\n19 related reviews', '“helpful staff”\n13 related reviews', '“comfortable bed”\n4 related reviews', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.5', 'Continental', 'Good coffee!', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Great area for shopping!']",Hotel Welcome Hotel,48.85314210000001,2.3368791,2-star hotel,'Hotels',weekends,Hotels,2,281.0140740050331,paris,2019-07-19&checkout=2019-07-21&,1.2246496353930916,0.1242525172379832
