,hicp_CP112_EA_RCH_A,hicp_CP112_EU27_2020_RCH_A,hicp_CP112_DE_RCH_A,hicp_CP112_ES_RCH_A,hicp_CP112_FR_RCH_A,hicp_CP112_IT_RCH_A,hicp_CP112_PT_RCH_A,hicp_CP112_NL_RCH_A,hicp_CP112_EL_RCH_A,hicp_CP112_HR_RCH_A,hicp_CP112_AT_RCH_A,hicp_CP112_IE_RCH_A,hicp_CP112_PL_RCH_A,hicp_CP112_CH_RCH_A,hicp_CP112_NO_RCH_A,hicp_CP112_TR_RCH_A,hicp_CP112_SE_RCH_A,hicp_CP112_DK_RCH_A,hicp_CP112_CZ_RCH_A,hicp_CP112_HU_RCH_A,hicp_CP112_BE_RCH_A,hicp_CP11201_EA_RCH_A,hicp_CP11201_EU27_2020_RCH_A,hicp_CP11201_DE_RCH_A,hicp_CP11201_ES_RCH_A,hicp_CP11201_FR_RCH_A,hicp_CP11201_IT_RCH_A,hicp_CP11201_PT_RCH_A,hicp_CP11201_NL_RCH_A,hicp_CP11201_EL_RCH_A,hicp_CP11201_HR_RCH_A,hicp_CP11201_AT_RCH_A,hicp_CP11201_IE_RCH_A,hicp_CP11201_PL_RCH_A,hicp_CP11201_CH_RCH_A,hicp_CP11201_TR_RCH_A,hicp_CP11201_SE_RCH_A,hicp_CP11201_DK_RCH_A,hicp_CP11201_CZ_RCH_A,hicp_CP11201_HU_RCH_A,hicp_CP11201_BE_RCH_A,hicp_CP11202_EA_RCH_A,hicp_CP11202_EU27_2020_RCH_A,hicp_CP11202_DE_RCH_A,hicp_CP11202_ES_RCH_A,hicp_CP11202_FR_RCH_A,hicp_CP11202_IT_RCH_A,hicp_CP11202_PT_RCH_A,hicp_CP11202_NL_RCH_A,hicp_CP11202_EL_RCH_A,hicp_CP11202_HR_RCH_A,hicp_CP11202_PL_RCH_A,hicp_CP11202_CH_RCH_A,hicp_CP11202_SE_RCH_A,hicp_CP11202_DK_RCH_A,hicp_CP11202_CZ_RCH_A,hicp_CP11202_HU_RCH_A,hicp_CP11202_BE_RCH_A,hicp_CP11209_EU27_2020_RCH_A,hicp_CP11209_IT_RCH_A,hicp_CP11209_PL_RCH_A,sppi_I55_EA20_PCH_SM,sppi_I55_EU27_2020_PCH_SM,sppi_I55_DE_PCH_SM,sppi_I55_ES_PCH_SM,sppi_I55_FR_PCH_SM,sppi_I55_IT_PCH_SM,sppi_I55_PT_PCH_SM,sppi_I55_NL_PCH_SM,sppi_I55_AT_PCH_SM,sppi_I55_SE_PCH_SM,sppi_I55_DK_PCH_SM,sppi_I55_PL_PCH_SM,sppi_I55_UK_PCH_SM,sppi_I55_NO_PCH_SM,sppi_I55_IE_PCH_SM,sppi_I55_HR_PCH_SM,sppi_I55_EL_PCH_SM,ine_hdpi_holiday_dwellings_EOT8077,ine_rtapi_rural_EOT12767,ine_hotel_adr_EOT16415,ine_hotel_revpar_EOT16471,ine_tcpi_campsite_EOT8071,bls_PCU721110721110,bls_PCU7211--7211--,bls_CUUR0000SEHB02,bls_CUSR0000SEHB02,statcan_cpi_traveller_accommodation,abs_cpi_30033_Q,abs_cpi_30033_M,abs_cpi_40101_Q,abs_cpi_40102_Q,ibge_ipca_hospedagem_yoy12m,bea_export_travel_price,bea_import_travel_price,ons_cpi_112_accommodation_index,ons_cpi_11201_hotels_index,ons_cpi_11203_other_establishments_index,hawaii_vr_adr_state_yoy_reported_pct,hawaii_vr_adr_maui_yoy_reported_pct,hawaii_vr_adr_oahu_yoy_reported_pct,hawaii_vr_adr_kauai_yoy_reported_pct,hawaii_vr_adr_island_yoy_reported_pct,japan_cpi_hotel_charges_index,nz_cpi_CPIQ.SE9096_accommodation_services_nan,nz_cpi_CPIQ.SE909601_domestic_accommodation_services_nan,bea_pce_accommodations_price,bea_pce_foreign_travel_by_us_residents_price,bea_pce_inbound_foreign_travel_in_us_price
1Q22,8.533333333333333,8.666666666666666,5.0,14.766666666666667,5.466666666666666,9.233333333333333,12.233333333333334,6.1000000000000005,14.133333333333333,6.733333333333333,10.9,10.566666666666666,12.566666666666668,7.433333333333333,15.533333333333333,52.699999999999996,14.333333333333334,10.033333333333333,7.566666666666666,6.7,4.833333333333333,10.233333333333333,10.366666666666667,4.633333333333333,19.599999999999998,6.533333333333334,9.966666666666667,13.0,15.966666666666669,14.533333333333333,16.166666666666668,11.766666666666666,12.566666666666668,12.700000000000001,8.966666666666667,61.46666666666667,17.7,12.433333333333332,8.1,6.533333333333334,7.633333333333333,4.933333333333334,5.266666666666667,7.166666666666667,1.7,3.8666666666666667,5.566666666666666,9.1,2.2,3.4,4.633333333333334,13.6,3.6999999999999993,5.900000000000001,4.833333333333333,7.433333333333333,9.333333333333334,8.433333333333332,6.533333333333334,,6.533333333333334,9.5,9.7,4.6,19.8,5.4,11.9,12.3,7.6,4.3,16.6,11.4,12.5,,9.4,10.6,14.4,14.1,11.456666666666669,8.523333333333333,39.669999999999995,199.1933333333333,0.9133333333333332,19.923992948719583,16.51000548892301,27.202469848656254,27.019772755306168,21.080070265633797,4.102371095220181,4.062620174526714,4.540237214640985,-7.633152947878097,12.976666666666667,6.675661783603193,15.80367802714877,8.270630425566587,8.608283349101294,1.81347150259068,,,,,,4.033709388535667,7.267221801665413,8.249807247494223,19.680739841300536,-0.17841451866167737,14.69116553874216
2Q22,14.033333333333333,14.266666666666666,7.566666666666666,28.733333333333334,7.733333333333334,10.966666666666667,33.53333333333333,15.133333333333333,21.366666666666664,17.099999999999998,10.466666666666667,17.766666666666666,16.5,0.06666666666666665,24.733333333333334,68.10000000000001,27.433333333333337,14.366666666666667,20.666666666666668,7.866666666666667,16.400000000000002,18.0,17.966666666666665,8.366666666666667,37.6,16.166666666666668,12.566666666666668,34.96666666666667,17.9,22.0,35.13333333333333,11.200000000000001,20.5,16.533333333333335,5.266666666666667,83.26666666666667,36.93333333333333,18.633333333333333,23.733333333333334,7.766666666666667,10.733333333333334,5.166666666666667,6.5,6.333333333333333,2.3666666666666667,1.2,-1.4666666666666668,33.86666666666667,14.333333333333334,6.833333333333333,13.133333333333333,17.533333333333335,-12.933333333333332,5.900000000000001,7.1000000000000005,14.733333333333334,10.6,25.700000000000003,8.466666666666667,,8.466666666666667,15.0,15.1,8.9,22.0,11.3,14.6,33.6,14.1,8.4,21.0,17.2,16.5,,18.1,17.7,31.5,21.6,12.719999999999999,8.246666666666668,27.959999999999997,146.93333333333334,0.30666666666666664,22.05515983320686,17.43836364306121,18.768326540950582,18.78965506456305,40.22666891223519,7.538325098188259,7.528678291089956,7.767868682952028,1.9404746296053599,19.069999999999997,6.447744506658748,10.548680340705086,10.54195973212267,11.133197721406091,1.81347150259068,,,,,,4.978602305960625,6.997742663656892,6.923076923076921,13.444576552750007,3.627346919011187,15.871211068767456
3Q22,14.833333333333334,15.033333333333333,8.866666666666665,20.8,9.033333333333333,13.766666666666666,42.1,13.799999999999999,20.333333333333332,18.166666666666668,10.633333333333333,18.099999999999998,15.833333333333334,4.2,18.233333333333334,71.60000000000001,21.0,18.266666666666666,22.96666666666667,10.4,13.133333333333333,19.333333333333332,19.0,10.466666666666667,25.866666666666664,13.266666666666666,16.466666666666665,44.26666666666667,25.53333333333333,20.733333333333334,18.8,11.166666666666666,20.133333333333336,15.533333333333333,7.3,89.66666666666667,27.099999999999998,16.933333333333334,25.400000000000002,10.433333333333332,19.666666666666668,4.833333333333333,6.5,5.233333333333333,2.7000000000000006,4.8999999999999995,-4.1000000000000005,30.933333333333337,4.8999999999999995,13.133333333333333,19.066666666666666,17.8,-3.6666666666666665,6.5,5.233333333333333,19.099999999999998,12.799999999999999,6.933333333333334,10.133333333333333,,10.133333333333333,13.8,14.2,10.5,13.3,7.8,18.1,42.1,13.1,6.9,25.0,15.0,15.6,,11.9,18.1,18.7,20.3,11.086666666666666,6.53,14.589999999999998,43.120000000000005,2.5399999999999996,12.943090498517044,9.834812315889488,2.9740059519919613,3.0629134996914402,35.838826583523165,11.302923387096776,11.290129165128763,10.774756285274512,25.217151523507496,22.613333333333333,5.458513346876859,5.1811644630016085,12.839763387775802,14.001099600073957,1.81347150259068,,,,,,3.26455310816293,10.131195335276978,13.8847858197932,2.0914254118877817,3.4411835891146936,10.253269248440708
4Q22,11.4,12.066666666666668,8.1,12.366666666666667,6.166666666666667,11.866666666666667,30.266666666666666,12.433333333333332,15.366666666666667,16.666666666666668,12.933333333333332,15.266666666666666,17.766666666666666,1.1,6.733333333333333,54.166666666666664,14.799999999999999,6.933333333333334,23.03333333333333,15.0,8.666666666666666,14.466666666666667,14.9,9.433333333333332,15.0,11.766666666666666,13.266666666666666,32.300000000000004,25.666666666666668,15.766666666666666,20.033333333333335,13.033333333333333,17.166666666666668,17.833333333333332,5.933333333333334,79.2,18.23333333333333,13.9,24.8,15.166666666666666,12.9,3.6333333333333333,4.966666666666666,4.5,2.7000000000000006,2.5,1.5,14.700000000000001,5.666666666666667,7.400000000000001,17.133333333333336,18.333333333333332,-10.733333333333334,6.5,2.4333333333333336,19.233333333333334,16.8,9.233333333333333,16.900000000000002,,16.900000000000002,12.5,12.8,10.4,9.2,10.8,15.6,30.6,14.0,8.5,13.9,12.4,17.8,,6.7,15.3,19.5,15.5,7.55,5.3,9.293333333333333,23.91,4.5633333333333335,12.267257972757228,9.881002035979561,4.3290337922103905,4.3505515301508995,19.315769298180232,17.201340675125664,15.264486091999094,19.721066797161747,15.813181602655302,20.383333333333336,5.733928884217909,3.7825102113220543,14.808314976372804,16.272595702340578,3.8167938931297662,,,,,,-16.293354093300294,14.141414141414144,22.840409956076122,3.395855259323932,7.784859984313944,9.445575868633002
1Q23,9.299999999999999,10.299999999999999,9.299999999999999,11.0,2.066666666666667,10.299999999999999,20.966666666666665,12.566666666666668,7.466666666666666,16.366666666666664,10.666666666666666,13.9,17.533333333333335,4.733333333333333,6.966666666666666,49.03333333333333,13.666666666666666,12.533333333333333,21.96666666666667,22.633333333333336,15.366666666666667,12.0,12.833333333333334,9.566666666666666,13.299999999999999,10.5,10.966666666666667,22.633333333333336,16.3,7.433333333333334,20.466666666666665,10.566666666666666,15.6,17.566666666666666,5.533333333333334,68.86666666666666,16.666666666666668,8.966666666666667,23.433333333333334,23.566666666666666,17.033333333333335,1.9333333333333333,3.4,7.433333333333333,2.7000000000000006,-4.266666666666667,7.0,6.1000000000000005,10.0,7.400000000000001,16.5,17.5,2.566666666666667,6.5,10.899999999999999,17.366666666666664,22.166666666666668,11.966666666666667,17.533333333333335,,17.533333333333335,11.1,11.5,11.1,10.5,7.7,13.2,21.1,11.7,8.1,14.9,9.2,17.5,,6.9,14.0,19.5,7.4,8.733333333333333,6.133333333333333,12.01,36.45333333333333,6.053333333333334,4.390214973666769,4.0555979522808165,7.992067625489274,7.869882507519217,17.182836906945575,17.16076162930826,15.555592393887826,24.960351348054168,38.34412580943572,18.08,5.411242374441794,1.2865497076023358,15.577165638949788,17.211300551587765,3.8167938931297662,,,,,,-3.2406859241774257,12.279463655610435,29.629629629629626,6.441606237698501,8.64552607542913,8.401377833075514
2Q23,9.766666666666666,10.566666666666668,9.0,10.033333333333333,5.633333333333333,13.933333333333332,24.333333333333332,3.1333333333333333,13.766666666666666,20.433333333333334,13.466666666666667,12.966666666666667,14.866666666666667,4.066666666666666,0.2999999999999998,44.0,7.1000000000000005,7.166666666666667,16.733333333333334,25.566666666666666,15.799999999999999,11.233333333333334,11.9,8.633333333333333,11.266666666666666,8.266666666666667,15.433333333333332,25.96666666666667,8.5,13.799999999999999,23.8,13.633333333333333,13.333333333333334,15.0,4.066666666666666,59.800000000000004,7.5,3.1333333333333333,17.566666666666666,26.53333333333333,21.8,5.766666666666667,6.666666666666667,8.6,6.633333333333333,3.8333333333333335,7.333333333333333,7.2,0.16666666666666666,6.6000000000000005,21.599999999999998,15.866666666666665,4.633333333333334,6.5,6.433333333333334,13.299999999999999,24.900000000000002,10.766666666666666,16.099999999999998,,16.099999999999998,12.5,12.5,9.4,8.6,9.8,17.6,24.1,4.1,10.4,13.6,3.1,14.8,,0.0,13.1,56.4,13.2,9.223333333333334,5.1933333333333325,7.73,12.873333333333333,4.180000000000001,4.453149657346459,3.9706573347939,4.04507200383281,4.038907700673818,12.218150811698763,12.170122525918936,10.69966925972968,13.94818901415209,22.469453376205784,16.283333333333335,4.3012756441748845,-0.7393906936970396,13.099258627440902,14.218645514716869,3.8167938931297662,2.5132947193713173,4.182409278622257,10.95940621277376,-5.487150028721988,-0.9032728451069284,7.568198926689488,14.064697609001398,16.115107913669057,3.738376917774662,3.1758032635268734,1.9701249791291102
3Q23,7.766666666666666,8.799999999999999,6.666666666666667,8.733333333333333,3.5666666666666664,12.700000000000001,13.533333333333333,7.133333333333333,6.833333333333333,18.366666666666667,11.933333333333332,6.866666666666667,12.200000000000001,4.466666666666667,-0.7999999999999999,65.56666666666666,7.366666666666667,15.1,14.366666666666667,22.433333333333334,20.533333333333335,7.666666666666667,8.533333333333333,5.366666666666667,9.566666666666666,6.566666666666666,14.133333333333333,14.1,3.066666666666667,6.733333333333333,16.099999999999998,12.0,6.1000000000000005,12.366666666666667,4.0,83.8,6.0,3.966666666666667,15.033333333333333,23.2,20.7,6.3999999999999995,7.933333333333333,8.633333333333333,5.7,2.6333333333333333,5.333333333333333,7.866666666666667,9.666666666666666,6.3,21.433333333333334,13.866666666666667,6.033333333333334,10.699999999999998,12.299999999999999,11.633333333333333,22.266666666666666,21.033333333333335,15.033333333333333,,15.033333333333333,10.0,10.0,5.7,6.8,4.2,16.4,13.5,5.9,9.2,4.6,5.2,12.3,,-0.9,6.8,75.7,6.8,6.16,5.489999999999999,7.3933333333333335,8.743333333333334,7.236666666666667,4.030875046580129,3.3652700095840573,5.861531765568251,5.976126085506476,6.19444432510549,6.837993886561766,4.605321419530399,7.352941176470584,5.373265800484495,13.313333333333333,4.60984555334969,3.7412115491491704,9.177636945262568,9.624147277626824,3.8167938931297662,-4.601608771385072,-9.451804918425802,6.987779372810654,-5.516639356137403,-6.557813962264848,17.05258903638711,8.471211118464584,10.700389105058372,5.423485851346606,-0.00420998002199265,2.989362458101249
4Q23,6.833333333333333,7.466666666666666,6.2,9.933333333333334,4.066666666666666,9.6,10.166666666666666,3.3000000000000003,2.6333333333333333,12.966666666666667,8.700000000000001,6.633333333333333,11.466666666666667,3.866666666666667,3.9666666666666663,62.93333333333334,4.8999999999999995,10.933333333333332,13.133333333333333,14.700000000000001,18.5,7.0,7.633333333333333,5.0,11.166666666666666,3.0666666666666664,10.566666666666668,10.266666666666667,2.7999999999999994,2.433333333333333,11.533333333333331,9.266666666666667,6.733333333333333,11.366666666666667,2.0,72.56666666666666,2.4666666666666663,4.866666666666666,14.433333333333332,15.066666666666668,16.3,6.933333333333334,7.333333333333333,9.033333333333333,5.7,5.3,3.4,9.2,3.7000000000000006,6.8,14.866666666666667,13.733333333333334,9.299999999999999,10.699999999999998,13.366666666666667,10.133333333333333,13.699999999999998,19.9,12.033333333333333,,12.033333333333333,8.1,8.3,5.0,8.9,7.7,12.7,10.3,2.7,7.7,6.0,5.9,11.4,,3.9,6.7,12.8,2.6,9.956666666666665,4.59,9.933333333333332,15.29,2.276666666666667,-0.4369443781182573,0.3357734514957726,0.23673764708767772,0.2047726296075599,0.25831814622078914,-2.635073026248591,-2.6753587099420586,-1.543020641733095,-3.5312180143295846,11.920000000000002,3.102040140150919,3.3431213568830387,5.607243148708929,4.8724116575206295,8.251633986928098,-3.1980610466741055,-5.606181219092806,3.717415633851921,-2.053369257570921,-4.407891751513608,54.811471105131524,4.298356510745882,8.40286054827175,1.06388135802921,-4.511282854422046,2.0425368130627084
1Q24,5.3,5.633333333333333,4.6000000000000005,8.566666666666666,1.866666666666667,6.0,5.8999999999999995,11.133333333333333,1.1333333333333333,11.1,6.333333333333333,6.1000000000000005,7.666666666666667,3.8000000000000003,5.066666666666666,57.96666666666667,4.566666666666666,4.466666666666667,11.0,6.866666666666667,9.466666666666667,5.1000000000000005,5.433333333333334,3.8666666666666667,9.433333333333334,2.8333333333333335,6.666666666666667,5.833333333333333,5.333333333333333,0.9333333333333335,2.8666666666666667,6.166666666666667,6.3,7.466666666666666,0.7999999999999999,67.03333333333335,2.033333333333333,3.0666666666666664,12.233333333333334,6.933333333333333,3.766666666666667,5.8999999999999995,6.133333333333333,6.533333333333334,5.7,0.9,-2.066666666666667,4.666666666666667,15.333333333333334,6.8,15.033333333333333,10.833333333333334,4.233333333333333,10.699999999999998,5.0,8.1,5.8999999999999995,13.166666666666666,10.866666666666667,,10.866666666666667,6.0,6.2,1.4,8.4,4.3,10.8,5.9,8.6,6.3,7.5,3.3,7.6,,5.1,6.0,7.0,0.1,10.729999999999999,4.586666666666667,8.88,12.443333333333333,3.6733333333333333,0.8055163031009652,1.1416278337451995,-0.8539204734027139,-0.9213313152236687,-2.315837928719137,-3.8778029212096277,-4.147246128706968,-4.666601581567898,-1.147888108770756,9.233333333333333,3.0022039017223,3.6643571978445033,5.295476875443192,4.48954016064446,8.251633986928098,2.170313364097335,-1.0028676809014019,5.482188428638132,1.5633941681418406,5.695708489526674,29.29525346061921,10.622250157133873,6.098901098901099,0.19981231312101352,-3.086794797588477,1.4860627260503856
2Q24,5.466666666666666,5.433333333333334,4.7,5.933333333333334,2.566666666666667,6.033333333333334,5.8,8.533333333333333,7.866666666666667,12.700000000000001,5.866666666666667,4.1000000000000005,6.5,6.866666666666667,2.5,57.9,6.733333333333334,-0.20000000000000018,9.533333333333333,3.6666666666666665,1.5999999999999999,5.566666666666666,5.466666666666666,4.333333333333333,6.566666666666667,1.1333333333333333,7.1000000000000005,5.800000000000001,12.466666666666667,7.933333333333334,0.9333333333333335,5.733333333333333,4.133333333333334,6.2,1.3333333333333333,68.60000000000001,4.333333333333333,0.9333333333333332,10.233333333333334,3.3333333333333335,3.266666666666667,5.3,5.233333333333333,5.666666666666667,4.7,3.866666666666667,0.16666666666666666,4.866666666666666,6.333333333333333,5.3999999999999995,18.599999999999998,8.766666666666667,1.8,10.699999999999998,-0.633333333333333,8.066666666666666,3.9,-2.566666666666667,10.466666666666667,,10.466666666666667,5.5,5.6,2.1,6.7,2.8,11.3,5.8,8.5,4.4,6.9,0.9,6.5,,2.5,4.0,-2.2,5.0,5.986666666666667,5.033333333333334,7.776666666666666,10.543333333333333,4.976666666666667,1.5112702307567523,1.8106644675163135,-1.6552996832034335,-1.6914448074294135,-3.7634426606423763,-0.9767881525049815,-1.308293412423267,-2.1787180296810926,0.7141356857803149,8.243333333333334,3.412487006236997,5.812122003219766,7.9654101536572455,7.788300888165156,8.251633986928098,3.99432513107049,4.215668947403328,9.037760863668941,2.0641675786444122,6.204162545076083,17.765631384855265,3.637484586929718,-0.12391573729864103,-0.3887668424478889,-2.062963187345712,1.2388145549733887
