source,series,freq,period,value,unit
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2026-07,222.79,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2026-06,203.28,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2026-05,240.94,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2026-04,203.67,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2026-03,168.32,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2026-02,167.49,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2026-01,159.17,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-12,170.77,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-11,173.05,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-10,169.83,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-09,180.79,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-08,213.48,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-07,209.76,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-06,195.55,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-05,233.01,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-04,191.64,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-03,165.83,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-02,166.65,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2025-01,161.74,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-12,171.54,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-11,171.25,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-10,166.5,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-09,177.37,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-08,207.21,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-07,207.04,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-06,184.04,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-05,220.73,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-04,179.89,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-03,159.13,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-02,156.49,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2024-01,150.21,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2023-12,160.32,index_or_rate
ine_es,ine_hdpi_holiday_dwellings_EOT8076,M,2023-11,157.67,index_or_rate
